species_key,cantera_name,chnosz_name,formula,state,T_C,T_K,G_J_mol,source,extraction_date_utc,notes
adenine,Adenine(aq),adenine,C5H5N5,aq,0.0,273.16,318198.59627452807,seeded validation CSV,2026-06-17T20:07:55.049842+00:00,seeded from example_validation_gibbs.csv
adenine,Adenine(aq),adenine,C5H5N5,aq,10.0,283.15,316108.4797093877,seeded validation CSV,2026-06-17T20:07:55.049842+00:00,seeded from example_validation_gibbs.csv
adenine,Adenine(aq),adenine,C5H5N5,aq,20.0,293.15,313945.9513989303,seeded validation CSV,2026-06-17T20:07:55.049842+00:00,seeded from example_validation_gibbs.csv
adenine,Adenine(aq),adenine,C5H5N5,aq,30.0,303.15,311711.2555526369,seeded validation CSV,2026-06-17T20:07:55.049842+00:00,seeded from example_validation_gibbs.csv
adenine,Adenine(aq),adenine,C5H5N5,aq,40.0,313.15,309403.81381309114,seeded validation CSV,2026-06-17T20:07:55.049842+00:00,seeded from example_validation_gibbs.csv
adenine,Adenine(aq),adenine,C5H5N5,aq,50.0,323.15,307023.6601655981,seeded validation CSV,2026-06-17T20:07:55.049842+00:00,seeded from example_validation_gibbs.csv
adenine,Adenine(aq),adenine,C5H5N5,aq,60.0,333.15,304571.1358727771,seeded validation CSV,2026-06-17T20:07:55.049842+00:00,seeded from example_validation_gibbs.csv
adenine,Adenine(aq),adenine,C5H5N5,aq,70.0,343.15,302046.7250793852,seeded validation CSV,2026-06-17T20:07:55.049842+00:00,seeded from example_validation_gibbs.csv
adenine,Adenine(aq),adenine,C5H5N5,aq,80.0,353.15,299450.956939954,seeded validation CSV,2026-06-17T20:07:55.049842+00:00,seeded from example_validation_gibbs.csv
adenine,Adenine(aq),adenine,C5H5N5,aq,90.0,363.15,296784.3410057709,seeded validation CSV,2026-06-17T20:07:55.049842+00:00,seeded from example_validation_gibbs.csv
adenine,Adenine(aq),adenine,C5H5N5,aq,100.0,373.15,294047.4501078824,seeded validation CSV,2026-06-17T20:07:55.049842+00:00,seeded from example_validation_gibbs.csv
adenine,Adenine(aq),adenine,C5H5N5,aq,110.0,383.15,291244.527729233,seeded validation CSV,2026-06-17T20:07:55.049842+00:00,seeded from example_validation_gibbs.csv
adenine,Adenine(aq),adenine,C5H5N5,aq,120.0,393.15,288373.1439047453,seeded validation CSV,2026-06-17T20:07:55.049842+00:00,seeded from example_validation_gibbs.csv
adenine,Adenine(aq),adenine,C5H5N5,aq,130.0,403.15,285433.6664641514,seeded validation CSV,2026-06-17T20:07:55.049842+00:00,seeded from example_validation_gibbs.csv
adenine,Adenine(aq),adenine,C5H5N5,aq,140.0,413.15,282426.31160944887,seeded validation CSV,2026-06-17T20:07:55.049842+00:00,seeded from example_validation_gibbs.csv
adenine,Adenine(aq),adenine,C5H5N5,aq,150.0,423.15,279351.11114643764,seeded validation CSV,2026-06-17T20:07:55.049842+00:00,seeded from example_validation_gibbs.csv
adenine,Adenine(aq),adenine,C5H5N5,aq,160.0,433.15,276207.87484977324,seeded validation CSV,2026-06-17T20:07:55.049842+00:00,seeded from example_validation_gibbs.csv
adenine,Adenine(aq),adenine,C5H5N5,aq,170.0,443.15,272996.1458409819,seeded validation CSV,2026-06-17T20:07:55.049842+00:00,seeded from example_validation_gibbs.csv
adenine,Adenine(aq),adenine,C5H5N5,aq,180.0,453.15,269715.1464003735,seeded validation CSV,2026-06-17T20:07:55.049842+00:00,seeded from example_validation_gibbs.csv
adenine,Adenine(aq),adenine,C5H5N5,aq,190.0,463.15,266363.710865832,seeded validation CSV,2026-06-17T20:07:55.049842+00:00,seeded from example_validation_gibbs.csv
adenine,Adenine(aq),adenine,C5H5N5,aq,200.0,473.15,262940.2012350571,seeded validation CSV,2026-06-17T20:07:55.049842+00:00,seeded from example_validation_gibbs.csv
adenine,Adenine(aq),adenine,C5H5N5,aq,210.0,483.15,259442.3990379959,seeded validation CSV,2026-06-17T20:07:55.049842+00:00,seeded from example_validation_gibbs.csv
adenine,Adenine(aq),adenine,C5H5N5,aq,220.0,493.15,255867.36491920456,seeded validation CSV,2026-06-17T20:07:55.049842+00:00,seeded from example_validation_gibbs.csv
adenine,Adenine(aq),adenine,C5H5N5,aq,230.0,503.15,252211.252861978,seeded validation CSV,2026-06-17T20:07:55.049842+00:00,seeded from example_validation_gibbs.csv
adenine,Adenine(aq),adenine,C5H5N5,aq,240.0,513.15,248469.05991517188,seeded validation CSV,2026-06-17T20:07:55.049842+00:00,seeded from example_validation_gibbs.csv
adenine,Adenine(aq),adenine,C5H5N5,aq,250.0,523.15,244634.2819809967,seeded validation CSV,2026-06-17T20:07:55.049842+00:00,seeded from example_validation_gibbs.csv
adenine,Adenine(aq),adenine,C5H5N5,aq,260.0,533.15,240698.4293010537,seeded validation CSV,2026-06-17T20:07:55.049842+00:00,seeded from example_validation_gibbs.csv
adenine,Adenine(aq),adenine,C5H5N5,aq,270.0,543.15,236650.32604746468,seeded validation CSV,2026-06-17T20:07:55.049842+00:00,seeded from example_validation_gibbs.csv
adenine,Adenine(aq),adenine,C5H5N5,aq,280.0,553.15,232475.06632406663,seeded validation CSV,2026-06-17T20:07:55.049842+00:00,seeded from example_validation_gibbs.csv
