scenario,scenario_description,model_mode,yaml_file,target_product,T_C,T_K,P_Pa,species,X_initial,X_eq,initial_moles,n_eq_mol,n_total_eq_mol,target_X_eq,target_log10_X_eq,target_n_eq_mol,target_log10_n_eq_mol,formed_bool,formation_call,solver_status,error_message,element_balance_relative_spread,element_total_mole_estimates
validation,"Validation run: HCN + C2H2 + NH3 in water, 20 C",single_product,Adenine.yaml,Adenine(aq),20.0,293.15,100000.0,Adenine(aq),0.0,0.0037523452119672496,0.0,0.003999999996016872,1.0660000000159324,0.0037523452119672496,-2.4256972138015445,0.003999999996016872,-2.3979400091045004,True,significant,ok,,4.165940054816372e-16,C:1.06600000e+00;H:1.06600000e+00;N:1.06600000e+00;O:1.06600000e+00
validation,"Validation run: HCN + C2H2 + NH3 in water, 20 C",single_product,Adenine.yaml,Adenine(aq),20.0,293.15,100000.0,C2H2(aq),0.038817005545286505,0.03939962476488955,0.042,0.04199999999999999,1.0660000000159324,0.0037523452119672496,-2.4256972138015445,0.003999999996016872,-2.3979400091045004,True,significant,ok,,4.165940054816372e-16,C:1.06600000e+00;H:1.06600000e+00;N:1.06600000e+00;O:1.06600000e+00
validation,"Validation run: HCN + C2H2 + NH3 in water, 20 C",single_product,Adenine.yaml,Adenine(aq),20.0,293.15,100000.0,H2O(l),0.9242144177449167,0.9380863039259419,1.0,1.0,1.0660000000159324,0.0037523452119672496,-2.4256972138015445,0.003999999996016872,-2.3979400091045004,True,significant,ok,,4.165940054816372e-16,C:1.06600000e+00;H:1.06600000e+00;N:1.06600000e+00;O:1.06600000e+00
validation,"Validation run: HCN + C2H2 + NH3 in water, 20 C",single_product,Adenine.yaml,Adenine(aq),20.0,293.15,100000.0,HCN(aq),0.018484288354898334,1.8682584460757275e-11,0.02,1.9915635035464914e-11,1.0660000000159324,0.0037523452119672496,-2.4256972138015445,0.003999999996016872,-2.3979400091045004,True,significant,ok,,4.165940054816372e-16,C:1.06600000e+00;H:1.06600000e+00;N:1.06600000e+00;O:1.06600000e+00
validation,"Validation run: HCN + C2H2 + NH3 in water, 20 C",single_product,Adenine.yaml,Adenine(aq),20.0,293.15,100000.0,NH3(aq),0.018484288354898334,0.018761726078518837,0.02,0.02,1.0660000000159324,0.0037523452119672496,-2.4256972138015445,0.003999999996016872,-2.3979400091045004,True,significant,ok,,4.165940054816372e-16,C:1.06600000e+00;H:1.06600000e+00;N:1.06600000e+00;O:1.06600000e+00
validation,"Validation run: HCN + C2H2 + NH3 in water, 20 C",single_product,Cytosine.yaml,Cytosine(aq),20.0,293.15,100000.0,C2H2(aq),0.038817005545286505,0.037664783427495296,0.042,0.040000000000000015,1.0620000000000003,0.005649717514124223,-2.247973266361812,0.005999999999999926,-2.2218487496163615,True,significant,ok,,2.090815488936264e-16,C:1.06200000e+00;H:1.06200000e+00;N:1.06200000e+00;O:1.06200000e+00
validation,"Validation run: HCN + C2H2 + NH3 in water, 20 C",single_product,Cytosine.yaml,Cytosine(aq),20.0,293.15,100000.0,Cytosine(aq),0.0,0.005649717514124223,0.0,0.005999999999999926,1.0620000000000003,0.005649717514124223,-2.247973266361812,0.005999999999999926,-2.2218487496163615,True,significant,ok,,2.090815488936264e-16,C:1.06200000e+00;H:1.06200000e+00;N:1.06200000e+00;O:1.06200000e+00
validation,"Validation run: HCN + C2H2 + NH3 in water, 20 C",single_product,Cytosine.yaml,Cytosine(aq),20.0,293.15,100000.0,H2O(l),0.9242144177449167,0.9359698681732579,1.0,0.9940000000000001,1.0620000000000003,0.005649717514124223,-2.247973266361812,0.005999999999999926,-2.2218487496163615,True,significant,ok,,2.090815488936264e-16,C:1.06200000e+00;H:1.06200000e+00;N:1.06200000e+00;O:1.06200000e+00
validation,"Validation run: HCN + C2H2 + NH3 in water, 20 C",single_product,Cytosine.yaml,Cytosine(aq),20.0,293.15,100000.0,HCN(aq),0.018484288354898334,2.306134703640619e-16,0.02,2.449115055266338e-16,1.0620000000000003,0.005649717514124223,-2.247973266361812,0.005999999999999926,-2.2218487496163615,True,significant,ok,,2.090815488936264e-16,C:1.06200000e+00;H:1.06200000e+00;N:1.06200000e+00;O:1.06200000e+00
validation,"Validation run: HCN + C2H2 + NH3 in water, 20 C",single_product,Cytosine.yaml,Cytosine(aq),20.0,293.15,100000.0,NH3(aq),0.018484288354898334,0.02071563088512238,0.02,0.021999999999999974,1.0620000000000003,0.005649717514124223,-2.247973266361812,0.005999999999999926,-2.2218487496163615,True,significant,ok,,2.090815488936264e-16,C:1.06200000e+00;H:1.06200000e+00;N:1.06200000e+00;O:1.06200000e+00
