T_K,Alanine(aq),Arginine(aq),Asparagine(aq),AsparticAcid(aq),C2H2(aq),GlutamicAcid(aq),Glutamine(aq),Glycine(aq),H2O(l),HCN(aq),Histidine(aq),Isoleucine(aq),Leucine(aq),Lysine(aq),NH3(aq),Phenylalanine(aq),Proline(aq),Serine(aq),Threonine(aq),Tryptophan(aq),Tyrosine(aq),Valine(aq)
273.16,-367651.35986991465,-231889.1000557101,-519101.58137345547,-716117.8117343734,219981.94780577527,-717807.960665287,-521992.762839734,-366840.8194735163,-235517.0477434324,122578.697570142,-195907.2882943372,-338251.55602676456,-347441.15225399367,-331764.698824411,-24091.332915554085,-201300.2934228105,-302729.9303289398,-513680.2884874673,-496948.2513717424,-106370.85793822708,-378203.1881100183,-352564.94843076303
283.15,-369194.16596667934,-235070.90207187785,-521460.5385643664,-718361.5485309791,218901.18863866891,-720264.5628838253,-524502.6119381646,-368418.3934733708,-236163.22824036304,121464.36383799916,-198531.0092287368,-340072.01528641104,-349280.06055808766,-334027.05511690554,-25118.001842685087,-203409.89332576317,-304711.4726336121,-515597.6508941152,-498669.27524179686,-108607.34186664376,-380484.4427407457,-354270.2222867821
293.15,-370774.5235396709,-238331.04740446084,-523844.53444856,-720632.1327515302,217725.8809246951,-722768.3909230004,-527057.4222304982,-369994.91673219606,-236836.70379392983,120278.54433015273,-201218.265976792,-342022.52264107723,-351254.95158973185,-336364.7019791803,-26170.58399334103,-205647.47625966085,-306740.0134440105,-517539.58628286206,-500452.1324141733,-110977.9419824074,-382862.2624940244,-356078.0647009102
303.15,-372399.3411001977,-241681.0485790564,-526266.5690672764,-722942.8770853317,216471.0444764914,-725329.2521847939,-529668.9566636488,-371580.49949039926,-237535.88038595623,119031.96981950436,-203979.9774866114,-344101.91261241515,-353364.03068070376,-338787.9011723596,-27248.80499098962,-208015.65617004936,-308825.1379698503,-519516.3713699746,-502302.8577884016,-113486.73686565172,-385348.2403863004,-357989.31590776803
313.15,-374072.9059882247,-245128.23627679853,-528735.0232837895,-725302.2657015654,215145.63396860455,-727953.5064225702,-532344.7372693714,-373181.7454114416,-238259.89904349684,117730.97066540178,-206822.98024542743,-346308.89213756693,-355605.5815521516,-341302.8315312805,-28352.796377616985,-210515.4762042463,-310972.8092009551,-521534.5957533293,-504225.0627608799,-116135.58830783905,-387949.0460418344,-360004.0965427576
323.15,-375797.3038522055,-248676.0594982828,-531254.5464493266,-727715.0025410115,213755.82128446669,-730644.3838671155,-535088.6984637084,-374802.51888670266,-239007.94975326795,116380.03211354722,-209750.56788852936,-348641.26011781703,-357977.08733495115,-343912.3356959957,-29482.38208064912,-213146.1363570804,-313186.0228322248,-523597.8570095463,-506220.1935300745,-118924.10561411844,-390667.5737771727,-362121.3326502563
333.15,-377573.3698063395,-252325.77032165785,-533827.6428308164,-730183.619551311,212306.10473279515,-733403.3329464213,-537902.7261093426,-376445.0967139499,-239779.26889072568,114982.52417186934,-212764.0237426501,-351096.3755206804,-360475.6573842305,-346617.37377155223,-30637.22459727437,-215905.8537603008,-315466.0868389106,-525708.0357198037,-508288.4830184116,-121850.6822701984,-393504.5953781566,-364339.32614529954
343.15,-379401.19356276194,-256077.3184198984,-536455.5170480851,-732709.3338724144,210799.9056519532,-736230.7369977544,-540787.476502722,-378110.78267685865,-240573.14309119649,113541.09577704276,-215863.43463477812,-353671.39874505595,-363098.2461867799,-349417.795258046,-31816.901784028672,-218792.31369060552,-317813.30179859395,-527865.9746049787,-510429.4552164764,-124913.04068148328,-396459.63697445136,-366656.0525232776
353.15,-381280.40493588906,-259929.85674236785,-539138.5545080523,-735292.5351614737,209239.9110020529,-739126.3204191359,-543742.8408761456,-379800.25724627264,-241388.909044659,112057.9028990572,-219048.1508510185,-356363.4222463065,-365841.77084668446,-352312.77584033203,-33020.94978763653,-221802.91989574197,-320227.34630643146,-530071.864146745,-512642.2094710034,-128108.53553537976,-399531.47454975295,-369069.3248929318
363.15,-383210.3427819624,-263882.0410427027,-541876.6080110325,-737933.0765828778,207628.27992498723,-742089.3901074129,-546768.2218221911,-381513.7863885322,-242225.9491875384,110534.74792508362,-222317.05834143757,-359169.54308933567,-368703.1754808169,-355301.0767188186,-34248.88824189849,-224934.9390677472,-322707.5059988927,-532325.4723555684,-514925.588236034,-131434.3297130538,-402718.4275733517,-371576.88754954806
