amino_acid,NH3_frac,source_batch,ratio_snap,X_eq,log10_X_eq,formation_call,n_eq_mol,HCN_mol,C2H2_mol,yield_fraction_HCN,yield_pct_HCN
alanine,0.0,A_no_nh3,2.083333333333333,0.0199667221297836,-1.6996932259551167,significant,0.0199999999999999,0.02,0.0416666666666666,0.999999999999995,99.9999999999995
alanine,0.01,B_nh3,2.083333333333333,0.0197693574958813,-1.7040074450276346,significant,0.0199999999999999,0.02,0.0416666666666666,0.999999999999995,99.9999999999995
alanine,0.0158333333333333,B_nh3,2.083333333333333,0.0196560196560196,-1.7065044222332777,significant,0.0199999999999999,0.02,0.0416666666666666,0.999999999999995,99.9999999999995
alanine,0.0216666666666666,B_nh3,2.083333333333333,0.019543973941368,-1.708987125093545,significant,0.0199999999999999,0.02,0.0416666666666666,0.999999999999995,99.9999999999995
alanine,0.0274999999999999,B_nh3,2.083333333333333,0.0194331983805668,-1.7114557158840786,significant,0.0199999999999999,0.02,0.0416666666666666,0.999999999999995,99.9999999999995
alanine,0.0333333333333333,B_nh3,2.083333333333333,0.0193236714975845,-1.7139103541289564,significant,0.0199999999999999,0.02,0.0416666666666666,0.999999999999995,99.9999999999995
alanine,0.0391666666666666,B_nh3,2.083333333333333,0.0192153722978382,-1.716351196662531,significant,0.0199999999999999,0.02,0.0416666666666666,0.999999999999995,99.9999999999995
alanine,0.045,B_nh3,2.083333333333333,0.019108280254777,-1.718778397689573,significant,0.0199999999999999,0.02,0.0416666666666666,0.999999999999995,99.9999999999995
alanine,0.0508333333333333,B_nh3,2.083333333333333,0.0190023752969121,-1.721192108843725,significant,0.0199999999999999,0.02,0.0416666666666666,0.999999999999995,99.9999999999995
alanine,0.0566666666666666,B_nh3,2.083333333333333,0.0188976377952755,-1.7235924792443529,significant,0.0199999999999999,0.02,0.0416666666666666,0.999999999999995,99.9999999999995
alanine,0.0624999999999999,B_nh3,2.083333333333333,0.018794048551292,-1.7259796555518114,significant,0.0199999999999999,0.02,0.0416666666666666,0.999999999999995,99.9999999999995
alanine,0.0683333333333333,B_nh3,2.083333333333333,0.0186915887850467,-1.7283537820212291,significant,0.0199999999999999,0.02,0.0416666666666666,0.999999999999995,99.9999999999995
alanine,0.0741666666666666,B_nh3,2.083333333333333,0.0185902401239349,-1.730715000554815,significant,0.0199999999999999,0.02,0.0416666666666666,0.999999999999995,99.9999999999995
alanine,0.0799999999999999,B_nh3,2.083333333333333,0.0184899845916795,-1.7330634507527445,significant,0.0199999999999999,0.02,0.0416666666666666,0.999999999999995,99.9999999999995
alanine,0.0858333333333333,B_nh3,2.083333333333333,0.0183908045977011,-1.735399269962695,significant,0.0199999999999999,0.02,0.0416666666666666,0.999999999999995,99.9999999999995
alanine,0.0916666666666666,B_nh3,2.083333333333333,0.0182926829268292,-1.7377225933280371,significant,0.0199999999999999,0.02,0.0416666666666666,0.999999999999995,99.9999999999995
alanine,0.0974999999999999,B_nh3,2.083333333333333,0.0181956027293404,-1.7400335538347595,significant,0.0199999999999999,0.02,0.0416666666666666,0.999999999999995,99.9999999999995
alanine,0.1033333333333333,B_nh3,2.083333333333333,0.0180995475113122,-1.7423322823571488,significant,0.0199999999999999,0.02,0.0416666666666666,0.999999999999995,99.9999999999995
alanine,0.1091666666666666,B_nh3,2.083333333333333,0.0180045011252813,-1.7446189077022538,significant,0.0199999999999999,0.02,0.0416666666666666,0.999999999999995,99.9999999999995
