cantera_name,T_split_K,rmse_J_mol,max_abs_residual_J_mol,mean_abs_residual_J_mol
Alanine(aq),500.0,45.282963067751695,183.52001316240057,23.951910590115737
Arginine(aq),500.0,33.85836558743876,155.42091496562352,14.875335913915094
Asparagine(aq),500.0,29.73913434055338,121.42444245249499,15.828066883544365
AsparticAcid(aq),500.0,24.359728006322772,106.02804228989407,12.220299698847445
C2H2(aq),500.0,103.84926292258953,435.22989948134637,52.25079493262685
GlutamicAcid(aq),500.0,21.29773902187774,86.08023141673766,11.464817940508702
Glutamine(aq),500.0,26.184874603498514,116.67653369193431,12.536577380262315
Glycine(aq),500.0,33.80136113535558,152.2005637115799,15.531397559974147
H2O(l),500.0,0.009915639886994548,0.020352448598714545,0.008326337014104387
HCN(aq),500.0,27.905339388781396,113.09011378449213,14.806172338017571
Histidine(aq),500.0,39.08282759918714,173.30640800256515,18.79046450218103
Isoleucine(aq),500.0,16.66291108996307,74.93286127655301,7.86442142313861
Leucine(aq),500.0,12.880752669365842,54.73144259536639,6.8454684489406645
Lysine(aq),500.0,9.97260390600326,40.31318997195922,5.568325763105684
NH3(aq),500.0,10.2591420450536,44.61976657327614,5.038088547375178
Phenylalanine(aq),500.0,22.28181332605007,100.10616923851194,10.528587736193195
Proline(aq),500.0,36.115467896104555,145.02106716990238,19.777383553965546
Serine(aq),500.0,26.88322014044972,122.31833012960851,12.08222428397398
Threonine(aq),500.0,20.191000942151046,90.92995927995071,9.631035331799035
Tryptophan(aq),500.0,34.46896005381011,144.50372404773952,17.61049196273004
Tyrosine(aq),500.0,16.440732939423533,73.99492435215507,8.396281544747149
Valine(aq),500.0,29.698384151479075,121.18637918267632,15.512556819291172
