scenario,model_mode,yaml_file,target_product,T_C,T_K,P_Pa,species,X_initial,X_eq,initial_moles,solver_status,error_message,case_id,model_id,target_variant,runtime_seconds,study_id,substudy_id,H2O_mol,HCN_mol,C2H2_mol,NH3_mol,C2H2_over_HCN,deltaG_offset_kJ_mol
ALA_INV_000001,single_product_sensitivity,M_0d74ef0dfe9d.yaml,Alanine(aq),0.0,273.15,101325.0,H2O(l),0.9328358208955223,0.9486166007905137,1.0,ok,,ALA_INV_000001,M_0d74ef0dfe9d,Alanine(aq),0.006742041005054489,alanine,inventory_landscape,1.0,0.02,0.042,0.01,2.1,0.0
ALA_INV_000001,single_product_sensitivity,M_0d74ef0dfe9d.yaml,Alanine(aq),0.0,273.15,101325.0,HCN(aq),0.018656716417910446,1.8437016470082728e-46,0.02,ok,,ALA_INV_000001,M_0d74ef0dfe9d,Alanine(aq),0.006742041005054489,alanine,inventory_landscape,1.0,0.02,0.042,0.01,2.1,0.0
ALA_INV_000001,single_product_sensitivity,M_0d74ef0dfe9d.yaml,Alanine(aq),0.0,273.15,101325.0,C2H2(aq),0.03917910447761194,0.021739130434782608,0.042,ok,,ALA_INV_000001,M_0d74ef0dfe9d,Alanine(aq),0.006742041005054489,alanine,inventory_landscape,1.0,0.02,0.042,0.01,2.1,0.0
ALA_INV_000001,single_product_sensitivity,M_0d74ef0dfe9d.yaml,Alanine(aq),0.0,273.15,101325.0,NH3(aq),0.009328358208955223,0.009881422924901186,0.01,ok,,ALA_INV_000001,M_0d74ef0dfe9d,Alanine(aq),0.006742041005054489,alanine,inventory_landscape,1.0,0.02,0.042,0.01,2.1,0.0
ALA_INV_000001,single_product_sensitivity,M_0d74ef0dfe9d.yaml,Alanine(aq),0.0,273.15,101325.0,Alanine(aq),0.0,0.019762845849802372,0.0,ok,,ALA_INV_000001,M_0d74ef0dfe9d,Alanine(aq),0.006742041005054489,alanine,inventory_landscape,1.0,0.02,0.042,0.01,2.1,0.0
ALA_INV_000002,single_product_sensitivity,M_0d74ef0dfe9d.yaml,Alanine(aq),0.0,273.15,101325.0,H2O(l),0.9242144177449167,0.9393346379647748,1.0,ok,,ALA_INV_000002,M_0d74ef0dfe9d,Alanine(aq),0.0010541660012677312,alanine,inventory_landscape,1.0,0.02,0.042,0.02,2.1,0.0
ALA_INV_000002,single_product_sensitivity,M_0d74ef0dfe9d.yaml,Alanine(aq),0.0,273.15,101325.0,HCN(aq),0.018484288354898334,1.8803195877566954e-46,0.02,ok,,ALA_INV_000002,M_0d74ef0dfe9d,Alanine(aq),0.0010541660012677312,alanine,inventory_landscape,1.0,0.02,0.042,0.02,2.1,0.0
ALA_INV_000002,single_product_sensitivity,M_0d74ef0dfe9d.yaml,Alanine(aq),0.0,273.15,101325.0,C2H2(aq),0.038817005545286505,0.021526418786692758,0.042,ok,,ALA_INV_000002,M_0d74ef0dfe9d,Alanine(aq),0.0010541660012677312,alanine,inventory_landscape,1.0,0.02,0.042,0.02,2.1,0.0
ALA_INV_000002,single_product_sensitivity,M_0d74ef0dfe9d.yaml,Alanine(aq),0.0,273.15,101325.0,NH3(aq),0.018484288354898334,0.019569471624266144,0.02,ok,,ALA_INV_000002,M_0d74ef0dfe9d,Alanine(aq),0.0010541660012677312,alanine,inventory_landscape,1.0,0.02,0.042,0.02,2.1,0.0
ALA_INV_000002,single_product_sensitivity,M_0d74ef0dfe9d.yaml,Alanine(aq),0.0,273.15,101325.0,Alanine(aq),0.0,0.019569471624266144,0.0,ok,,ALA_INV_000002,M_0d74ef0dfe9d,Alanine(aq),0.0010541660012677312,alanine,inventory_landscape,1.0,0.02,0.042,0.02,2.1,0.0
