case_id,study_id,substudy_id,target_product,target_variant,H2O_mol,HCN_mol,C2H2_mol,NH3_mol,C2H2_over_HCN,deltaG_offset_kJ_mol,T_C,P_Pa,scenario_id,model_id,case_hash
ARG_INV_000001,arginine,inventory_landscape,Arginine(aq),Arginine(aq),1.0,0.02,0.042,0.01,2.1,0.0,0.0,101325.0,ARG_INV_000001,M_49a335dc6bb9,1dbb0b1bf6f92600
ARG_INV_000002,arginine,inventory_landscape,Arginine(aq),Arginine(aq),1.0,0.02,0.042,0.02,2.1,0.0,0.0,101325.0,ARG_INV_000002,M_49a335dc6bb9,466fdf420f77cb0a
ARG_INV_000003,arginine,inventory_landscape,Arginine(aq),Arginine(aq),1.0,0.02,0.042,0.03,2.1,0.0,0.0,101325.0,ARG_INV_000003,M_49a335dc6bb9,597a24dbc6637860
ARG_INV_000004,arginine,inventory_landscape,Arginine(aq),Arginine(aq),1.0,0.02,0.042,0.04,2.1,0.0,0.0,101325.0,ARG_INV_000004,M_49a335dc6bb9,6becc34525928dfe
ARG_INV_000005,arginine,inventory_landscape,Arginine(aq),Arginine(aq),1.0,0.02,0.042,0.05,2.1,0.0,0.0,101325.0,ARG_INV_000005,M_49a335dc6bb9,0abb1511ce9594f2
ARG_INV_000006,arginine,inventory_landscape,Arginine(aq),Arginine(aq),1.0,0.02,0.042,0.1,2.1,0.0,0.0,101325.0,ARG_INV_000006,M_49a335dc6bb9,c4998ad2dda3aeb8
ARG_DG_000001,arginine,deltaG_sweep,Arginine(aq),Arginine__dG_m200(aq),1.0,0.02,0.042,0.05,2.1,-200.0,0.0,101325.0,ARG_DG_000001,M_3bdcd1f3a0fe,6209ea076925f282
ARG_DG_000002,arginine,deltaG_sweep,Arginine(aq),Arginine__dG_m160(aq),1.0,0.02,0.042,0.05,2.1,-160.0,0.0,101325.0,ARG_DG_000002,M_bb8777389364,b97851bb3278d5a7
ARG_DG_000003,arginine,deltaG_sweep,Arginine(aq),Arginine__dG_m120(aq),1.0,0.02,0.042,0.05,2.1,-120.0,0.0,101325.0,ARG_DG_000003,M_15cdad376e97,d0ffa1e15fdc9e15
ARG_DG_000004,arginine,deltaG_sweep,Arginine(aq),Arginine__dG_m080(aq),1.0,0.02,0.042,0.05,2.1,-80.0,0.0,101325.0,ARG_DG_000004,M_3800d6055617,06848ae744b6d1b6
ARG_DG_000005,arginine,deltaG_sweep,Arginine(aq),Arginine__dG_m040(aq),1.0,0.02,0.042,0.05,2.1,-40.0,0.0,101325.0,ARG_DG_000005,M_4cfdf87989d2,a75a30c7043e3cdc
ARG_DG_000006,arginine,deltaG_sweep,Arginine(aq),Arginine__dG_000(aq),1.0,0.02,0.042,0.05,2.1,0.0,0.0,101325.0,ARG_DG_000006,M_69031b4d9f9e,2853d96c2f3716f0
ARG_DG_000007,arginine,deltaG_sweep,Arginine(aq),Arginine__dG_p040(aq),1.0,0.02,0.042,0.05,2.1,40.0,0.0,101325.0,ARG_DG_000007,M_7210d7a0b9a9,b041891cf31b7840
ARG_DG_000008,arginine,deltaG_sweep,Arginine(aq),Arginine__dG_p080(aq),1.0,0.02,0.042,0.05,2.1,80.0,0.0,101325.0,ARG_DG_000008,M_9163883da197,7b1baadf30501af2
ARG_DG_000009,arginine,deltaG_sweep,Arginine(aq),Arginine__dG_p120(aq),1.0,0.02,0.042,0.05,2.1,120.0,0.0,101325.0,ARG_DG_000009,M_f5892fa18944,b8f3e6168bf417f1
ARG_DG_000010,arginine,deltaG_sweep,Arginine(aq),Arginine__dG_p160(aq),1.0,0.02,0.042,0.05,2.1,160.0,0.0,101325.0,ARG_DG_000010,M_bf2956db0c7b,07c0943848ebe58c
ARG_DG_000011,arginine,deltaG_sweep,Arginine(aq),Arginine__dG_p200(aq),1.0,0.02,0.042,0.05,2.1,200.0,0.0,101325.0,ARG_DG_000011,M_6812e7b84e9e,742ae3851bd6cb2b
