case_id,study_id,substudy_id,target_product,target_variant,H2O_mol,HCN_mol,C2H2_mol,NH3_mol,C2H2_over_HCN,deltaG_offset_kJ_mol,T_C,P_Pa,scenario_id,model_id,case_hash
ASP_INV_000001,asparagine,inventory_landscape,Asparagine(aq),Asparagine(aq),1.0,0.02,0.042,0.01,2.1,0.0,0.0,101325.0,ASP_INV_000001,M_311f846fce8d,84d62801b55482a4
ASP_INV_000002,asparagine,inventory_landscape,Asparagine(aq),Asparagine(aq),1.0,0.02,0.042,0.02,2.1,0.0,0.0,101325.0,ASP_INV_000002,M_311f846fce8d,228084dfffb60d7f
ASP_INV_000003,asparagine,inventory_landscape,Asparagine(aq),Asparagine(aq),1.0,0.02,0.042,0.03,2.1,0.0,0.0,101325.0,ASP_INV_000003,M_311f846fce8d,2854b2d165bca90b
ASP_INV_000004,asparagine,inventory_landscape,Asparagine(aq),Asparagine(aq),1.0,0.02,0.042,0.04,2.1,0.0,0.0,101325.0,ASP_INV_000004,M_311f846fce8d,08b2244542b37564
ASP_INV_000005,asparagine,inventory_landscape,Asparagine(aq),Asparagine(aq),1.0,0.02,0.042,0.05,2.1,0.0,0.0,101325.0,ASP_INV_000005,M_311f846fce8d,9a5add518d24a5c7
ASP_INV_000006,asparagine,inventory_landscape,Asparagine(aq),Asparagine(aq),1.0,0.02,0.042,0.1,2.1,0.0,0.0,101325.0,ASP_INV_000006,M_311f846fce8d,9d1784f77882968c
ASP_DG_000001,asparagine,deltaG_sweep,Asparagine(aq),Asparagine__dG_m200(aq),1.0,0.02,0.042,0.05,2.1,-200.0,0.0,101325.0,ASP_DG_000001,M_05d7a31015ca,03b2b1fe50131e24
ASP_DG_000002,asparagine,deltaG_sweep,Asparagine(aq),Asparagine__dG_m160(aq),1.0,0.02,0.042,0.05,2.1,-160.0,0.0,101325.0,ASP_DG_000002,M_db5e76e8e632,bb72b1ca5230013e
ASP_DG_000003,asparagine,deltaG_sweep,Asparagine(aq),Asparagine__dG_m120(aq),1.0,0.02,0.042,0.05,2.1,-120.0,0.0,101325.0,ASP_DG_000003,M_8cfe626c58c1,30feac51788f0c53
ASP_DG_000004,asparagine,deltaG_sweep,Asparagine(aq),Asparagine__dG_m080(aq),1.0,0.02,0.042,0.05,2.1,-80.0,0.0,101325.0,ASP_DG_000004,M_976cd6534111,1de4a01b84c9861d
ASP_DG_000005,asparagine,deltaG_sweep,Asparagine(aq),Asparagine__dG_m040(aq),1.0,0.02,0.042,0.05,2.1,-40.0,0.0,101325.0,ASP_DG_000005,M_f42ad95f9800,e713e3153ceca887
ASP_DG_000006,asparagine,deltaG_sweep,Asparagine(aq),Asparagine__dG_000(aq),1.0,0.02,0.042,0.05,2.1,0.0,0.0,101325.0,ASP_DG_000006,M_f32fbb5d5f68,0f6946749d9d4176
ASP_DG_000007,asparagine,deltaG_sweep,Asparagine(aq),Asparagine__dG_p040(aq),1.0,0.02,0.042,0.05,2.1,40.0,0.0,101325.0,ASP_DG_000007,M_956019731545,cd6c2244d51bee8a
ASP_DG_000008,asparagine,deltaG_sweep,Asparagine(aq),Asparagine__dG_p080(aq),1.0,0.02,0.042,0.05,2.1,80.0,0.0,101325.0,ASP_DG_000008,M_69397c3cc890,cc54357829f8470b
ASP_DG_000009,asparagine,deltaG_sweep,Asparagine(aq),Asparagine__dG_p120(aq),1.0,0.02,0.042,0.05,2.1,120.0,0.0,101325.0,ASP_DG_000009,M_71b69761d47c,2ef917ccde79e767
ASP_DG_000010,asparagine,deltaG_sweep,Asparagine(aq),Asparagine__dG_p160(aq),1.0,0.02,0.042,0.05,2.1,160.0,0.0,101325.0,ASP_DG_000010,M_32a6a57944bc,4c42a5d2578a5210
ASP_DG_000011,asparagine,deltaG_sweep,Asparagine(aq),Asparagine__dG_p200(aq),1.0,0.02,0.042,0.05,2.1,200.0,0.0,101325.0,ASP_DG_000011,M_d5c6b0911d01,b0c434ceda3d2569
