model_id,yaml_path,model_mode,target_variant,base_species,thermo_variant_id,species_set_hash,thermo_hash
M_311f846fce8d,models/M_311f846fce8d.yaml,single_product_sensitivity,Asparagine(aq),H2O(l);HCN(aq);C2H2(aq);NH3(aq),base,75248ad2d443,0f28e66a8d5b
M_05d7a31015ca,models/M_05d7a31015ca.yaml,single_product_sensitivity,Asparagine__dG_m200(aq),H2O(l);HCN(aq);C2H2(aq);NH3(aq),dG_m200,aa605dae0196,5e8c74800d3b
M_db5e76e8e632,models/M_db5e76e8e632.yaml,single_product_sensitivity,Asparagine__dG_m160(aq),H2O(l);HCN(aq);C2H2(aq);NH3(aq),dG_m160,d5fd07d2420f,a22220dc496a
M_8cfe626c58c1,models/M_8cfe626c58c1.yaml,single_product_sensitivity,Asparagine__dG_m120(aq),H2O(l);HCN(aq);C2H2(aq);NH3(aq),dG_m120,21b359e7b488,bd55a2cc3247
M_976cd6534111,models/M_976cd6534111.yaml,single_product_sensitivity,Asparagine__dG_m080(aq),H2O(l);HCN(aq);C2H2(aq);NH3(aq),dG_m080,8f168283a4eb,145b55c9c324
M_f42ad95f9800,models/M_f42ad95f9800.yaml,single_product_sensitivity,Asparagine__dG_m040(aq),H2O(l);HCN(aq);C2H2(aq);NH3(aq),dG_m040,2dda2b8c541e,9d9c84bf9e6a
M_f32fbb5d5f68,models/M_f32fbb5d5f68.yaml,single_product_sensitivity,Asparagine__dG_000(aq),H2O(l);HCN(aq);C2H2(aq);NH3(aq),dG_000,fa5e04fe408a,ea218fdf7a3a
M_956019731545,models/M_956019731545.yaml,single_product_sensitivity,Asparagine__dG_p040(aq),H2O(l);HCN(aq);C2H2(aq);NH3(aq),dG_p040,9e628a83dbf8,c7d393470557
M_69397c3cc890,models/M_69397c3cc890.yaml,single_product_sensitivity,Asparagine__dG_p080(aq),H2O(l);HCN(aq);C2H2(aq);NH3(aq),dG_p080,0839a5359164,f1db6b0ccb7a
M_71b69761d47c,models/M_71b69761d47c.yaml,single_product_sensitivity,Asparagine__dG_p120(aq),H2O(l);HCN(aq);C2H2(aq);NH3(aq),dG_p120,b6198741609f,096ab06bdbea
M_32a6a57944bc,models/M_32a6a57944bc.yaml,single_product_sensitivity,Asparagine__dG_p160(aq),H2O(l);HCN(aq);C2H2(aq);NH3(aq),dG_p160,dbf3ba55d893,49c74e1fe504
M_d5c6b0911d01,models/M_d5c6b0911d01.yaml,single_product_sensitivity,Asparagine__dG_p200(aq),H2O(l);HCN(aq);C2H2(aq);NH3(aq),dG_p200,6231d89e8ce8,5ea1227cf37a
