case_id,study_id,substudy_id,target_product,target_variant,H2O_mol,HCN_mol,C2H2_mol,NH3_mol,C2H2_over_HCN,deltaG_offset_kJ_mol,T_C,P_Pa,scenario_id,model_id,case_hash
ASP_INV_000001,asparticacid,inventory_landscape,AsparticAcid(aq),AsparticAcid(aq),1.0,0.02,0.042,0.01,2.1,0.0,0.0,101325.0,ASP_INV_000001,M_b439542ee0cb,2975d7c71dfb6fc3
ASP_INV_000002,asparticacid,inventory_landscape,AsparticAcid(aq),AsparticAcid(aq),1.0,0.02,0.042,0.02,2.1,0.0,0.0,101325.0,ASP_INV_000002,M_b439542ee0cb,f773335f6800f81f
ASP_INV_000003,asparticacid,inventory_landscape,AsparticAcid(aq),AsparticAcid(aq),1.0,0.02,0.042,0.03,2.1,0.0,0.0,101325.0,ASP_INV_000003,M_b439542ee0cb,a0a4db62a097236a
ASP_INV_000004,asparticacid,inventory_landscape,AsparticAcid(aq),AsparticAcid(aq),1.0,0.02,0.042,0.04,2.1,0.0,0.0,101325.0,ASP_INV_000004,M_b439542ee0cb,a4b4ad56ec0e7faa
ASP_INV_000005,asparticacid,inventory_landscape,AsparticAcid(aq),AsparticAcid(aq),1.0,0.02,0.042,0.05,2.1,0.0,0.0,101325.0,ASP_INV_000005,M_b439542ee0cb,125c51c0762adc95
ASP_INV_000006,asparticacid,inventory_landscape,AsparticAcid(aq),AsparticAcid(aq),1.0,0.02,0.042,0.1,2.1,0.0,0.0,101325.0,ASP_INV_000006,M_b439542ee0cb,980ec19ea63fba82
ASP_DG_000001,asparticacid,deltaG_sweep,AsparticAcid(aq),AsparticAcid__dG_m200(aq),1.0,0.02,0.042,0.05,2.1,-200.0,0.0,101325.0,ASP_DG_000001,M_4433a22ced23,d10cdb1babe63752
ASP_DG_000002,asparticacid,deltaG_sweep,AsparticAcid(aq),AsparticAcid__dG_m160(aq),1.0,0.02,0.042,0.05,2.1,-160.0,0.0,101325.0,ASP_DG_000002,M_a36a0254e212,065b994449ae3d2e
ASP_DG_000003,asparticacid,deltaG_sweep,AsparticAcid(aq),AsparticAcid__dG_m120(aq),1.0,0.02,0.042,0.05,2.1,-120.0,0.0,101325.0,ASP_DG_000003,M_201d7b99b1eb,206c569de6e655e1
ASP_DG_000004,asparticacid,deltaG_sweep,AsparticAcid(aq),AsparticAcid__dG_m080(aq),1.0,0.02,0.042,0.05,2.1,-80.0,0.0,101325.0,ASP_DG_000004,M_825b674fa7ee,761a1523f3323cb8
ASP_DG_000005,asparticacid,deltaG_sweep,AsparticAcid(aq),AsparticAcid__dG_m040(aq),1.0,0.02,0.042,0.05,2.1,-40.0,0.0,101325.0,ASP_DG_000005,M_18432456ec52,c15a46182f112961
ASP_DG_000006,asparticacid,deltaG_sweep,AsparticAcid(aq),AsparticAcid__dG_000(aq),1.0,0.02,0.042,0.05,2.1,0.0,0.0,101325.0,ASP_DG_000006,M_089a7df7aeb0,c837d51fa56c0517
ASP_DG_000007,asparticacid,deltaG_sweep,AsparticAcid(aq),AsparticAcid__dG_p040(aq),1.0,0.02,0.042,0.05,2.1,40.0,0.0,101325.0,ASP_DG_000007,M_c32dd932ecff,7c82d2d3058ad6c7
ASP_DG_000008,asparticacid,deltaG_sweep,AsparticAcid(aq),AsparticAcid__dG_p080(aq),1.0,0.02,0.042,0.05,2.1,80.0,0.0,101325.0,ASP_DG_000008,M_0debade76a81,dc74e9ebb1056f9c
ASP_DG_000009,asparticacid,deltaG_sweep,AsparticAcid(aq),AsparticAcid__dG_p120(aq),1.0,0.02,0.042,0.05,2.1,120.0,0.0,101325.0,ASP_DG_000009,M_022a0b527865,6bc6fcdf3f43d5c9
ASP_DG_000010,asparticacid,deltaG_sweep,AsparticAcid(aq),AsparticAcid__dG_p160(aq),1.0,0.02,0.042,0.05,2.1,160.0,0.0,101325.0,ASP_DG_000010,M_b4c9275d5735,9fcfe41055c720e3
ASP_DG_000011,asparticacid,deltaG_sweep,AsparticAcid(aq),AsparticAcid__dG_p200(aq),1.0,0.02,0.042,0.05,2.1,200.0,0.0,101325.0,ASP_DG_000011,M_1da6b3bdf97c,ee08a232e852256f
