case_id,study_id,substudy_id,target_product,target_variant,model_id,NH3_mol,HCN_mol,C2H2_mol,C2H2_over_HCN,deltaG_offset_kJ_mol,T_C,P_Pa,X_eq,log10_X_eq,n_eq_mol,log10_n_eq_mol,formed_bool,formation_call,solver_status,runtime_seconds
ASP_DG_000001,asparticacid,deltaG_sweep,AsparticAcid(aq),AsparticAcid__dG_m200(aq),M_4433a22ced23,0.05,0.02,0.042,2.1,-200.0,0.0,101325.0,0.0069637883008356,-2.157154439906285,0.0074999999999999485,-2.124938736608303,True,significant,ok,0.0057972500071628
ASP_DG_000002,asparticacid,deltaG_sweep,AsparticAcid(aq),AsparticAcid__dG_m160(aq),M_a36a0254e212,0.05,0.02,0.042,2.1,-160.0,0.0,101325.0,0.0069637883008356,-2.157154439906285,0.0074999999999999485,-2.124938736608303,True,significant,ok,0.0054764999949838
ASP_DG_000003,asparticacid,deltaG_sweep,AsparticAcid(aq),AsparticAcid__dG_m120(aq),M_201d7b99b1eb,0.05,0.02,0.042,2.1,-120.0,0.0,101325.0,0.0069637883008356,-2.157154439906285,0.0074999999999999485,-2.124938736608303,True,significant,ok,0.0056243750004796
ASP_DG_000004,asparticacid,deltaG_sweep,AsparticAcid(aq),AsparticAcid__dG_m080(aq),M_825b674fa7ee,0.05,0.02,0.042,2.1,-80.0,0.0,101325.0,0.0069637883008356,-2.157154439906285,0.0074999999999999485,-2.124938736608303,True,significant,ok,0.0058354159991722
ASP_DG_000005,asparticacid,deltaG_sweep,AsparticAcid(aq),AsparticAcid__dG_m040(aq),M_18432456ec52,0.05,0.02,0.042,2.1,-40.0,0.0,101325.0,0.0069637883008356,-2.157154439906285,0.0074999999999999485,-2.124938736608303,True,significant,ok,0.0055775000073481
ASP_DG_000006,asparticacid,deltaG_sweep,AsparticAcid(aq),AsparticAcid__dG_000(aq),M_089a7df7aeb0,0.05,0.02,0.042,2.1,0.0,0.0,101325.0,0.0069637883008356,-2.157154439906285,0.0074999999999999485,-2.124938736608303,True,significant,ok,0.0057790840073721
ASP_DG_000007,asparticacid,deltaG_sweep,AsparticAcid(aq),AsparticAcid__dG_p040(aq),M_c32dd932ecff,0.05,0.02,0.042,2.1,40.0,0.0,101325.0,0.0069637883008356,-2.157154439906285,0.0074999999999999485,-2.124938736608303,True,significant,ok,0.005708417011192
ASP_DG_000008,asparticacid,deltaG_sweep,AsparticAcid(aq),AsparticAcid__dG_p080(aq),M_0debade76a81,0.05,0.02,0.042,2.1,80.0,0.0,101325.0,0.0069637883008356,-2.157154439906285,0.00749999999999995,-2.124938736608303,True,significant,ok,0.0060026249993825
ASP_DG_000009,asparticacid,deltaG_sweep,AsparticAcid(aq),AsparticAcid__dG_p120(aq),M_022a0b527865,0.05,0.02,0.042,2.1,120.0,0.0,101325.0,0.0069637883008098,-2.157154439907894,0.007499999999973036,-2.1249387366098613,True,significant,ok,0.0055224999960046
ASP_DG_000010,asparticacid,deltaG_sweep,AsparticAcid(aq),AsparticAcid__dG_p160(aq),M_b4c9275d5735,0.05,0.02,0.042,2.1,160.0,0.0,101325.0,0.0069637882817795,-2.1571544410947125,0.007499999980122501,-2.124938737759325,True,significant,ok,0.0055499159934697
ASP_DG_000011,asparticacid,deltaG_sweep,AsparticAcid(aq),AsparticAcid__dG_p200(aq),M_1da6b3bdf97c,0.05,0.02,0.042,2.1,200.0,0.0,101325.0,0.0069637742262323,-2.15715531766541,0.007499985318757528,-2.1249395867401444,True,significant,ok,0.0059397500008344
ASP_INV_000001,asparticacid,inventory_landscape,AsparticAcid(aq),AsparticAcid(aq),M_b439542ee0cb,0.01,0.02,0.042,2.1,0.0,0.0,101325.0,0.0072324011571841,-2.140717492997346,0.007499999999999928,-2.1249387366083043,True,significant,ok,0.0071077500033425
ASP_INV_000002,asparticacid,inventory_landscape,AsparticAcid(aq),AsparticAcid(aq),M_b439542ee0cb,0.02,0.02,0.042,2.1,0.0,0.0,101325.0,0.0071633237822349,-2.1448854182871457,0.007499999999999951,-2.1249387366083026,True,significant,ok,0.0012174590083304
ASP_INV_000003,asparticacid,inventory_landscape,AsparticAcid(aq),AsparticAcid(aq),M_b439542ee0cb,0.03,0.02,0.042,2.1,0.0,0.0,101325.0,0.0070955534531693,-2.149013723915729,0.0074999999999999555,-2.1249387366083026,True,significant,ok,0.0010875839943764
ASP_INV_000004,asparticacid,inventory_landscape,AsparticAcid(aq),AsparticAcid(aq),M_b439542ee0cb,0.04,0.02,0.042,2.1,0.0,0.0,101325.0,0.0070290534208059,-2.153103156032776,0.007499999999999909,-2.1249387366083052,True,significant,ok,0.0010148330038646
ASP_INV_000005,asparticacid,inventory_landscape,AsparticAcid(aq),AsparticAcid(aq),M_b439542ee0cb,0.05,0.02,0.042,2.1,0.0,0.0,101325.0,0.0069637883008356,-2.157154439906285,0.0074999999999999485,-2.124938736608303,True,significant,ok,0.0009693339961813
ASP_INV_000006,asparticacid,inventory_landscape,AsparticAcid(aq),AsparticAcid(aq),M_b439542ee0cb,0.1,0.02,0.042,2.1,0.0,0.0,101325.0,0.0066548358473824,-2.1768626526544086,0.007499999999999969,-2.1249387366083017,True,significant,ok,0.0009561250044498
