case_id,scenario_id,model_id,yaml_path,target_product,target_variant,T_C,P_Pa,case_hash,status,runtime_seconds,error_message
ASP_INV_000001,ASP_INV_000001,M_b439542ee0cb,models/M_b439542ee0cb.yaml,AsparticAcid(aq),AsparticAcid(aq),0.0,101325.0,2975d7c71dfb6fc3,ok,0.007107750003342517,
ASP_INV_000002,ASP_INV_000002,M_b439542ee0cb,models/M_b439542ee0cb.yaml,AsparticAcid(aq),AsparticAcid(aq),0.0,101325.0,f773335f6800f81f,ok,0.0012174590083304793,
ASP_INV_000003,ASP_INV_000003,M_b439542ee0cb,models/M_b439542ee0cb.yaml,AsparticAcid(aq),AsparticAcid(aq),0.0,101325.0,a0a4db62a097236a,ok,0.0010875839943764731,
ASP_INV_000004,ASP_INV_000004,M_b439542ee0cb,models/M_b439542ee0cb.yaml,AsparticAcid(aq),AsparticAcid(aq),0.0,101325.0,a4b4ad56ec0e7faa,ok,0.0010148330038646236,
ASP_INV_000005,ASP_INV_000005,M_b439542ee0cb,models/M_b439542ee0cb.yaml,AsparticAcid(aq),AsparticAcid(aq),0.0,101325.0,125c51c0762adc95,ok,0.0009693339961813763,
ASP_INV_000006,ASP_INV_000006,M_b439542ee0cb,models/M_b439542ee0cb.yaml,AsparticAcid(aq),AsparticAcid(aq),0.0,101325.0,980ec19ea63fba82,ok,0.0009561250044498593,
ASP_DG_000001,ASP_DG_000001,M_4433a22ced23,models/M_4433a22ced23.yaml,AsparticAcid(aq),AsparticAcid__dG_m200(aq),0.0,101325.0,d10cdb1babe63752,ok,0.005797250007162802,
ASP_DG_000002,ASP_DG_000002,M_a36a0254e212,models/M_a36a0254e212.yaml,AsparticAcid(aq),AsparticAcid__dG_m160(aq),0.0,101325.0,065b994449ae3d2e,ok,0.005476499994983897,
ASP_DG_000003,ASP_DG_000003,M_201d7b99b1eb,models/M_201d7b99b1eb.yaml,AsparticAcid(aq),AsparticAcid__dG_m120(aq),0.0,101325.0,206c569de6e655e1,ok,0.005624375000479631,
ASP_DG_000004,ASP_DG_000004,M_825b674fa7ee,models/M_825b674fa7ee.yaml,AsparticAcid(aq),AsparticAcid__dG_m080(aq),0.0,101325.0,761a1523f3323cb8,ok,0.005835415999172255,
ASP_DG_000005,ASP_DG_000005,M_18432456ec52,models/M_18432456ec52.yaml,AsparticAcid(aq),AsparticAcid__dG_m040(aq),0.0,101325.0,c15a46182f112961,ok,0.005577500007348135,
ASP_DG_000006,ASP_DG_000006,M_089a7df7aeb0,models/M_089a7df7aeb0.yaml,AsparticAcid(aq),AsparticAcid__dG_000(aq),0.0,101325.0,c837d51fa56c0517,ok,0.005779084007372148,
ASP_DG_000007,ASP_DG_000007,M_c32dd932ecff,models/M_c32dd932ecff.yaml,AsparticAcid(aq),AsparticAcid__dG_p040(aq),0.0,101325.0,7c82d2d3058ad6c7,ok,0.0057084170111920685,
ASP_DG_000008,ASP_DG_000008,M_0debade76a81,models/M_0debade76a81.yaml,AsparticAcid(aq),AsparticAcid__dG_p080(aq),0.0,101325.0,dc74e9ebb1056f9c,ok,0.006002624999382533,
ASP_DG_000009,ASP_DG_000009,M_022a0b527865,models/M_022a0b527865.yaml,AsparticAcid(aq),AsparticAcid__dG_p120(aq),0.0,101325.0,6bc6fcdf3f43d5c9,ok,0.005522499996004626,
ASP_DG_000010,ASP_DG_000010,M_b4c9275d5735,models/M_b4c9275d5735.yaml,AsparticAcid(aq),AsparticAcid__dG_p160(aq),0.0,101325.0,9fcfe41055c720e3,ok,0.005549915993469767,
ASP_DG_000011,ASP_DG_000011,M_1da6b3bdf97c,models/M_1da6b3bdf97c.yaml,AsparticAcid(aq),AsparticAcid__dG_p200(aq),0.0,101325.0,ee08a232e852256f,ok,0.005939750000834465,
