case_id,study_id,substudy_id,target_product,target_variant,H2O_mol,HCN_mol,C2H2_mol,NH3_mol,C2H2_over_HCN,deltaG_offset_kJ_mol,T_C,P_Pa,scenario_id,model_id,case_hash
GLU_INV_000001,glutamicacid,inventory_landscape,GlutamicAcid(aq),GlutamicAcid(aq),1.0,0.02,0.042,0.01,2.1,0.0,0.0,101325.0,GLU_INV_000001,M_d8159ac2501c,85a08950e720bb62
GLU_INV_000002,glutamicacid,inventory_landscape,GlutamicAcid(aq),GlutamicAcid(aq),1.0,0.02,0.042,0.02,2.1,0.0,0.0,101325.0,GLU_INV_000002,M_d8159ac2501c,bc174e8e103f85ea
GLU_INV_000003,glutamicacid,inventory_landscape,GlutamicAcid(aq),GlutamicAcid(aq),1.0,0.02,0.042,0.03,2.1,0.0,0.0,101325.0,GLU_INV_000003,M_d8159ac2501c,30ef7a99e818bc82
GLU_INV_000004,glutamicacid,inventory_landscape,GlutamicAcid(aq),GlutamicAcid(aq),1.0,0.02,0.042,0.04,2.1,0.0,0.0,101325.0,GLU_INV_000004,M_d8159ac2501c,8c0768a63e534019
GLU_INV_000005,glutamicacid,inventory_landscape,GlutamicAcid(aq),GlutamicAcid(aq),1.0,0.02,0.042,0.05,2.1,0.0,0.0,101325.0,GLU_INV_000005,M_d8159ac2501c,35c59e5c8fbb137f
GLU_INV_000006,glutamicacid,inventory_landscape,GlutamicAcid(aq),GlutamicAcid(aq),1.0,0.02,0.042,0.1,2.1,0.0,0.0,101325.0,GLU_INV_000006,M_d8159ac2501c,9c63a6ea92ad39a3
GLU_DG_000001,glutamicacid,deltaG_sweep,GlutamicAcid(aq),GlutamicAcid__dG_m200(aq),1.0,0.02,0.042,0.05,2.1,-200.0,0.0,101325.0,GLU_DG_000001,M_aca350b06283,cd189de6ca14de1c
GLU_DG_000002,glutamicacid,deltaG_sweep,GlutamicAcid(aq),GlutamicAcid__dG_m160(aq),1.0,0.02,0.042,0.05,2.1,-160.0,0.0,101325.0,GLU_DG_000002,M_e44eb86a6299,c8e4c28124c61f45
GLU_DG_000003,glutamicacid,deltaG_sweep,GlutamicAcid(aq),GlutamicAcid__dG_m120(aq),1.0,0.02,0.042,0.05,2.1,-120.0,0.0,101325.0,GLU_DG_000003,M_e02aa17618b9,cdb3436c0a2c1422
GLU_DG_000004,glutamicacid,deltaG_sweep,GlutamicAcid(aq),GlutamicAcid__dG_m080(aq),1.0,0.02,0.042,0.05,2.1,-80.0,0.0,101325.0,GLU_DG_000004,M_6589a3ca6a27,27f473051c583301
GLU_DG_000005,glutamicacid,deltaG_sweep,GlutamicAcid(aq),GlutamicAcid__dG_m040(aq),1.0,0.02,0.042,0.05,2.1,-40.0,0.0,101325.0,GLU_DG_000005,M_5ddc3f6f14ab,411c3b2b4f8e6ded
GLU_DG_000006,glutamicacid,deltaG_sweep,GlutamicAcid(aq),GlutamicAcid__dG_000(aq),1.0,0.02,0.042,0.05,2.1,0.0,0.0,101325.0,GLU_DG_000006,M_754c46fb7285,7aa9b02f272051a2
GLU_DG_000007,glutamicacid,deltaG_sweep,GlutamicAcid(aq),GlutamicAcid__dG_p040(aq),1.0,0.02,0.042,0.05,2.1,40.0,0.0,101325.0,GLU_DG_000007,M_37ddbfad251a,60abe72fe7f51cd6
GLU_DG_000008,glutamicacid,deltaG_sweep,GlutamicAcid(aq),GlutamicAcid__dG_p080(aq),1.0,0.02,0.042,0.05,2.1,80.0,0.0,101325.0,GLU_DG_000008,M_a363d3f911dc,57ae904429f74715
GLU_DG_000009,glutamicacid,deltaG_sweep,GlutamicAcid(aq),GlutamicAcid__dG_p120(aq),1.0,0.02,0.042,0.05,2.1,120.0,0.0,101325.0,GLU_DG_000009,M_cf1c8a472823,7ad13ba352b92af9
GLU_DG_000010,glutamicacid,deltaG_sweep,GlutamicAcid(aq),GlutamicAcid__dG_p160(aq),1.0,0.02,0.042,0.05,2.1,160.0,0.0,101325.0,GLU_DG_000010,M_74956aab931c,53f49918f1b3647d
GLU_DG_000011,glutamicacid,deltaG_sweep,GlutamicAcid(aq),GlutamicAcid__dG_p200(aq),1.0,0.02,0.042,0.05,2.1,200.0,0.0,101325.0,GLU_DG_000011,M_8bc5ae4b5cfc,03ab4aef64e142ed
