model_id,yaml_path,model_mode,target_variant,base_species,thermo_variant_id,species_set_hash,thermo_hash
M_d8159ac2501c,models/M_d8159ac2501c.yaml,single_product_sensitivity,GlutamicAcid(aq),H2O(l);HCN(aq);C2H2(aq);NH3(aq),base,178754a74e4d,9efd098d6ce9
M_aca350b06283,models/M_aca350b06283.yaml,single_product_sensitivity,GlutamicAcid__dG_m200(aq),H2O(l);HCN(aq);C2H2(aq);NH3(aq),dG_m200,55c0ff9fee84,13e435507e16
M_e44eb86a6299,models/M_e44eb86a6299.yaml,single_product_sensitivity,GlutamicAcid__dG_m160(aq),H2O(l);HCN(aq);C2H2(aq);NH3(aq),dG_m160,0c5d5b3b7822,4ecf179a9233
M_e02aa17618b9,models/M_e02aa17618b9.yaml,single_product_sensitivity,GlutamicAcid__dG_m120(aq),H2O(l);HCN(aq);C2H2(aq);NH3(aq),dG_m120,630e9074c8c9,2a453b279178
M_6589a3ca6a27,models/M_6589a3ca6a27.yaml,single_product_sensitivity,GlutamicAcid__dG_m080(aq),H2O(l);HCN(aq);C2H2(aq);NH3(aq),dG_m080,b61ca0131617,aaa5f8afca2b
M_5ddc3f6f14ab,models/M_5ddc3f6f14ab.yaml,single_product_sensitivity,GlutamicAcid__dG_m040(aq),H2O(l);HCN(aq);C2H2(aq);NH3(aq),dG_m040,a200378979e6,622311dcb1d3
M_754c46fb7285,models/M_754c46fb7285.yaml,single_product_sensitivity,GlutamicAcid__dG_000(aq),H2O(l);HCN(aq);C2H2(aq);NH3(aq),dG_000,7389109b1a19,2ddfa813b721
M_37ddbfad251a,models/M_37ddbfad251a.yaml,single_product_sensitivity,GlutamicAcid__dG_p040(aq),H2O(l);HCN(aq);C2H2(aq);NH3(aq),dG_p040,8dc9c24e3321,5a706466977d
M_a363d3f911dc,models/M_a363d3f911dc.yaml,single_product_sensitivity,GlutamicAcid__dG_p080(aq),H2O(l);HCN(aq);C2H2(aq);NH3(aq),dG_p080,16ce24a278ca,2d97c73503d4
M_cf1c8a472823,models/M_cf1c8a472823.yaml,single_product_sensitivity,GlutamicAcid__dG_p120(aq),H2O(l);HCN(aq);C2H2(aq);NH3(aq),dG_p120,56ac898e7ea7,3675f05bb6ad
M_74956aab931c,models/M_74956aab931c.yaml,single_product_sensitivity,GlutamicAcid__dG_p160(aq),H2O(l);HCN(aq);C2H2(aq);NH3(aq),dG_p160,155e76f1a836,894f683d497f
M_8bc5ae4b5cfc,models/M_8bc5ae4b5cfc.yaml,single_product_sensitivity,GlutamicAcid__dG_p200(aq),H2O(l);HCN(aq);C2H2(aq);NH3(aq),dG_p200,0e94864c00c1,511d5389db83
