case_id,scenario_id,model_id,yaml_path,target_product,target_variant,T_C,P_Pa,case_hash,status,runtime_seconds,error_message
GLU_INV_000001,GLU_INV_000001,M_d8159ac2501c,models/M_d8159ac2501c.yaml,GlutamicAcid(aq),GlutamicAcid(aq),0.0,101325.0,85a08950e720bb62,ok,0.006419500001356937,
GLU_INV_000002,GLU_INV_000002,M_d8159ac2501c,models/M_d8159ac2501c.yaml,GlutamicAcid(aq),GlutamicAcid(aq),0.0,101325.0,bc174e8e103f85ea,ok,0.0010714170057326555,
GLU_INV_000003,GLU_INV_000003,M_d8159ac2501c,models/M_d8159ac2501c.yaml,GlutamicAcid(aq),GlutamicAcid(aq),0.0,101325.0,30ef7a99e818bc82,ok,0.0010058750049211085,
GLU_INV_000004,GLU_INV_000004,M_d8159ac2501c,models/M_d8159ac2501c.yaml,GlutamicAcid(aq),GlutamicAcid(aq),0.0,101325.0,8c0768a63e534019,ok,0.0016542079974897206,
GLU_INV_000005,GLU_INV_000005,M_d8159ac2501c,models/M_d8159ac2501c.yaml,GlutamicAcid(aq),GlutamicAcid(aq),0.0,101325.0,35c59e5c8fbb137f,ok,0.0010895419982261956,
GLU_INV_000006,GLU_INV_000006,M_d8159ac2501c,models/M_d8159ac2501c.yaml,GlutamicAcid(aq),GlutamicAcid(aq),0.0,101325.0,9c63a6ea92ad39a3,ok,0.0010084999958053231,
GLU_DG_000001,GLU_DG_000001,M_aca350b06283,models/M_aca350b06283.yaml,GlutamicAcid(aq),GlutamicAcid__dG_m200(aq),0.0,101325.0,cd189de6ca14de1c,ok,0.00563341700762976,
GLU_DG_000002,GLU_DG_000002,M_e44eb86a6299,models/M_e44eb86a6299.yaml,GlutamicAcid(aq),GlutamicAcid__dG_m160(aq),0.0,101325.0,c8e4c28124c61f45,ok,0.00598274999356363,
GLU_DG_000003,GLU_DG_000003,M_e02aa17618b9,models/M_e02aa17618b9.yaml,GlutamicAcid(aq),GlutamicAcid__dG_m120(aq),0.0,101325.0,cdb3436c0a2c1422,ok,0.00560741699882783,
GLU_DG_000004,GLU_DG_000004,M_6589a3ca6a27,models/M_6589a3ca6a27.yaml,GlutamicAcid(aq),GlutamicAcid__dG_m080(aq),0.0,101325.0,27f473051c583301,ok,0.005559207987971604,
GLU_DG_000005,GLU_DG_000005,M_5ddc3f6f14ab,models/M_5ddc3f6f14ab.yaml,GlutamicAcid(aq),GlutamicAcid__dG_m040(aq),0.0,101325.0,411c3b2b4f8e6ded,ok,0.005923791992245242,
GLU_DG_000006,GLU_DG_000006,M_754c46fb7285,models/M_754c46fb7285.yaml,GlutamicAcid(aq),GlutamicAcid__dG_000(aq),0.0,101325.0,7aa9b02f272051a2,ok,0.005528875000891276,
GLU_DG_000007,GLU_DG_000007,M_37ddbfad251a,models/M_37ddbfad251a.yaml,GlutamicAcid(aq),GlutamicAcid__dG_p040(aq),0.0,101325.0,60abe72fe7f51cd6,ok,0.005892959001357667,
GLU_DG_000008,GLU_DG_000008,M_a363d3f911dc,models/M_a363d3f911dc.yaml,GlutamicAcid(aq),GlutamicAcid__dG_p080(aq),0.0,101325.0,57ae904429f74715,ok,0.005528749999939464,
GLU_DG_000009,GLU_DG_000009,M_cf1c8a472823,models/M_cf1c8a472823.yaml,GlutamicAcid(aq),GlutamicAcid__dG_p120(aq),0.0,101325.0,7ad13ba352b92af9,ok,0.006090750001021661,
GLU_DG_000010,GLU_DG_000010,M_74956aab931c,models/M_74956aab931c.yaml,GlutamicAcid(aq),GlutamicAcid__dG_p160(aq),0.0,101325.0,53f49918f1b3647d,ok,0.005648582999128848,
GLU_DG_000011,GLU_DG_000011,M_8bc5ae4b5cfc,models/M_8bc5ae4b5cfc.yaml,GlutamicAcid(aq),GlutamicAcid__dG_p200(aq),0.0,101325.0,03ab4aef64e142ed,ok,0.005588833009824157,
