case_id,study_id,substudy_id,target_product,target_variant,H2O_mol,HCN_mol,C2H2_mol,NH3_mol,C2H2_over_HCN,deltaG_offset_kJ_mol,T_C,P_Pa,scenario_id,model_id,case_hash
GLU_INV_000001,glutamine,inventory_landscape,Glutamine(aq),Glutamine(aq),1.0,0.02,0.042,0.01,2.1,0.0,0.0,101325.0,GLU_INV_000001,M_b9e610ff2a36,7178fdc6f8c93131
GLU_INV_000002,glutamine,inventory_landscape,Glutamine(aq),Glutamine(aq),1.0,0.02,0.042,0.02,2.1,0.0,0.0,101325.0,GLU_INV_000002,M_b9e610ff2a36,dcee328f8726dab1
GLU_INV_000003,glutamine,inventory_landscape,Glutamine(aq),Glutamine(aq),1.0,0.02,0.042,0.03,2.1,0.0,0.0,101325.0,GLU_INV_000003,M_b9e610ff2a36,94f87a1d2257887c
GLU_INV_000004,glutamine,inventory_landscape,Glutamine(aq),Glutamine(aq),1.0,0.02,0.042,0.04,2.1,0.0,0.0,101325.0,GLU_INV_000004,M_b9e610ff2a36,62b5231ced048c9a
GLU_INV_000005,glutamine,inventory_landscape,Glutamine(aq),Glutamine(aq),1.0,0.02,0.042,0.05,2.1,0.0,0.0,101325.0,GLU_INV_000005,M_b9e610ff2a36,a8f70f33e3ea436c
GLU_INV_000006,glutamine,inventory_landscape,Glutamine(aq),Glutamine(aq),1.0,0.02,0.042,0.1,2.1,0.0,0.0,101325.0,GLU_INV_000006,M_b9e610ff2a36,070ff6a85271e009
GLU_DG_000001,glutamine,deltaG_sweep,Glutamine(aq),Glutamine__dG_m200(aq),1.0,0.02,0.042,0.05,2.1,-200.0,0.0,101325.0,GLU_DG_000001,M_061e3fb063a8,9a090b89350f77ca
GLU_DG_000002,glutamine,deltaG_sweep,Glutamine(aq),Glutamine__dG_m160(aq),1.0,0.02,0.042,0.05,2.1,-160.0,0.0,101325.0,GLU_DG_000002,M_98733f58ccbb,8bfd4b870a1fc7d4
GLU_DG_000003,glutamine,deltaG_sweep,Glutamine(aq),Glutamine__dG_m120(aq),1.0,0.02,0.042,0.05,2.1,-120.0,0.0,101325.0,GLU_DG_000003,M_6f36f328f32c,dece59c48aece9ca
GLU_DG_000004,glutamine,deltaG_sweep,Glutamine(aq),Glutamine__dG_m080(aq),1.0,0.02,0.042,0.05,2.1,-80.0,0.0,101325.0,GLU_DG_000004,M_6a660bb9f9b0,48a06bd5a70642b3
GLU_DG_000005,glutamine,deltaG_sweep,Glutamine(aq),Glutamine__dG_m040(aq),1.0,0.02,0.042,0.05,2.1,-40.0,0.0,101325.0,GLU_DG_000005,M_50f76385d12b,1423cc35770a053e
GLU_DG_000006,glutamine,deltaG_sweep,Glutamine(aq),Glutamine__dG_000(aq),1.0,0.02,0.042,0.05,2.1,0.0,0.0,101325.0,GLU_DG_000006,M_b1e28abd2857,5c1873d29ff3eacd
GLU_DG_000007,glutamine,deltaG_sweep,Glutamine(aq),Glutamine__dG_p040(aq),1.0,0.02,0.042,0.05,2.1,40.0,0.0,101325.0,GLU_DG_000007,M_073611c47c32,8c782bd81beeade2
GLU_DG_000008,glutamine,deltaG_sweep,Glutamine(aq),Glutamine__dG_p080(aq),1.0,0.02,0.042,0.05,2.1,80.0,0.0,101325.0,GLU_DG_000008,M_89f0f253da4b,d7ef61c7d3b6eec6
GLU_DG_000009,glutamine,deltaG_sweep,Glutamine(aq),Glutamine__dG_p120(aq),1.0,0.02,0.042,0.05,2.1,120.0,0.0,101325.0,GLU_DG_000009,M_27e7a9cd4374,83bb2576b2994e9b
GLU_DG_000010,glutamine,deltaG_sweep,Glutamine(aq),Glutamine__dG_p160(aq),1.0,0.02,0.042,0.05,2.1,160.0,0.0,101325.0,GLU_DG_000010,M_30acba030d1e,f91d56610977e9b4
GLU_DG_000011,glutamine,deltaG_sweep,Glutamine(aq),Glutamine__dG_p200(aq),1.0,0.02,0.042,0.05,2.1,200.0,0.0,101325.0,GLU_DG_000011,M_977180e1d50a,4a2e5ed537f97568
