cantera_name,range_label,T_low_K,T_high_K,a0,a1,a2,a3,a4,a5,a6,a7,a8
Alanine(aq),low,273.16,500.0,131.13268521415475,7.385881941246692,-494.9466776388193,4.663713173338516,-0.0157335960515267,2.360894289695202e-05,-1.3386051801061693e-08,47.630039334327066,1966.2830981294603
Alanine(aq),high,500.0,643.15,1191.4403106708664,1580.367026606326,-2657.427605219808,49.93429082750972,-0.2575100846404283,0.0005036144967986,-3.352689881558061e-07,-447.6435846169388,8026.653340364762
Arginine(aq),low,273.16,500.0,17633.58249035026,38890.15668326448,-2723.808389753045,25.292947616235605,-0.0920469903284604,0.0001513257130742,-9.398154362206797e-08,8073.563648129251,11088.86048355907
Arginine(aq),high,500.0,643.15,31946.25435056741,94915.0737135754,-48907.186778203366,671.3357758265448,-2.683232107426351,0.0042679857386309,-2.3921179925782385e-06,2217.431171032093,163468.8829610588
Asparagine(aq),low,273.16,500.0,-148422.6432577403,3706.352804140604,-2006.2443881015324,20.108452648007848,-0.075219522231359,0.0001253193547524,-7.840738850288084e-08,82234.46470757469,7867.186827559129
Asparagine(aq),high,500.0,643.15,-729932.3898340922,30587.68708605544,-62586.06681419525,866.8243518009313,-3.4519409830002608,0.0054564052736053,-3.036160908194794e-06,247475.615000472,207215.35154541943
AsparticAcid(aq),low,273.16,500.0,25468.495894617485,-129.4014122733682,-1984.0952742609693,20.05874121662367,-0.0751431667894985,0.0001251802281911,-7.824821402869281e-08,75742.92289055088,7740.1071390070065
AsparticAcid(aq),high,500.0,643.15,111427.5207680574,-23428.512837481976,-44131.81896059456,625.1065475518558,-2.509925516188231,0.0039879962172057,-2.228099350469773e-06,192013.70209094585,144088.09562894647
C2H2(aq),low,273.16,500.0,-10.499360092132838,-5016.126593868173,578.3935644872704,-4.6871633270889,0.0152707068329605,-2.240907398829311e-05,1.2550523173944621e-08,-1487.2183358925586,-2405.28009751061
C2H2(aq),high,500.0,643.15,-4438.666897159207,16354.881748241163,20951.27025762561,-337.1336516921018,1.4958373355658097,-0.0025947643191073,1.5700901752906996e-06,1083.9442100701262,-64978.87654941424
GlutamicAcid(aq),low,273.16,500.0,-5383.668333755204,-363.75865834972086,-1732.98648006425,17.67735225169028,-0.0664615501558562,0.0001110692748803,-6.964670164349027e-08,55701.51800058173,6743.250303464537
GlutamicAcid(aq),high,500.0,643.15,-172.88034328320114,-8456.05948108102,-42195.26028152868,606.8310127527641,-2.44541739275113,0.00388762417244,-2.1704400301473454e-06,-63667.35138170685,136443.2648417529
Glutamine(aq),low,273.16,500.0,-53007.68495971831,18445.96349698404,-2219.948511707432,21.396544783513484,-0.0789664837639346,0.0001307180787003,-8.148344635876262e-08,29207.11823602058,8877.915704732994
Glutamine(aq),high,500.0,643.15,-5967.75993118502,23076.25805878028,-43570.990297978606,620.2747561469951,-2.499776060305916,0.0039830276909175,-2.230578711224863e-06,-77997.04663004099,142094.92533298468
Glycine(aq),low,273.16,500.0,4135.432224899117,-9042.503561023756,-1264.5001724691406,13.297562180754296,-0.050555529191723,8.493337743641899e-05,-5.345729515152762e-08,102640.41949705656,4830.999846590199
