scenario,model_mode,yaml_file,target_product,T_C,T_K,P_Pa,species,X_initial,X_eq,initial_moles,solver_status,error_message,case_id,model_id,target_variant,runtime_seconds,study_id,substudy_id,H2O_mol,HCN_mol,C2H2_mol,NH3_mol,C2H2_over_HCN,deltaG_offset_kJ_mol
GLU_INV_000001,single_product_sensitivity,M_b9e610ff2a36.yaml,Glutamine(aq),0.0,273.15,101325.0,H2O(l),0.9328358208955223,0.9493318485523385,1.0,ok,,GLU_INV_000001,M_b9e610ff2a36,Glutamine(aq),0.007235041994135827,glutamine,inventory_landscape,1.0,0.02,0.042,0.01,2.1,0.0
GLU_INV_000001,single_product_sensitivity,M_b9e610ff2a36.yaml,Glutamine(aq),0.0,273.15,101325.0,HCN(aq),0.018656716417910446,5.329345439859824e-34,0.02,ok,,GLU_INV_000001,M_b9e610ff2a36,Glutamine(aq),0.007235041994135827,glutamine,inventory_landscape,1.0,0.02,0.042,0.01,2.1,0.0
GLU_INV_000001,single_product_sensitivity,M_b9e610ff2a36.yaml,Glutamine(aq),0.0,273.15,101325.0,C2H2(aq),0.03917910447761194,0.029788418708240543,0.042,ok,,GLU_INV_000001,M_b9e610ff2a36,Glutamine(aq),0.007235041994135827,glutamine,inventory_landscape,1.0,0.02,0.042,0.01,2.1,0.0
GLU_INV_000001,single_product_sensitivity,M_b9e610ff2a36.yaml,Glutamine(aq),0.0,273.15,101325.0,NH3(aq),0.009328358208955223,0.012527839643652559,0.01,ok,,GLU_INV_000001,M_b9e610ff2a36,Glutamine(aq),0.007235041994135827,glutamine,inventory_landscape,1.0,0.02,0.042,0.01,2.1,0.0
GLU_INV_000001,single_product_sensitivity,M_b9e610ff2a36.yaml,Glutamine(aq),0.0,273.15,101325.0,Glutamine(aq),0.0,0.008351893095768372,0.0,ok,,GLU_INV_000001,M_b9e610ff2a36,Glutamine(aq),0.007235041994135827,glutamine,inventory_landscape,1.0,0.02,0.042,0.01,2.1,0.0
GLU_INV_000002,single_product_sensitivity,M_b9e610ff2a36.yaml,Glutamine(aq),0.0,273.15,101325.0,H2O(l),0.9242144177449167,0.9401709401709404,1.0,ok,,GLU_INV_000002,M_b9e610ff2a36,Glutamine(aq),0.0011258340091444552,glutamine,inventory_landscape,1.0,0.02,0.042,0.02,2.1,0.0
GLU_INV_000002,single_product_sensitivity,M_b9e610ff2a36.yaml,Glutamine(aq),0.0,273.15,101325.0,HCN(aq),0.018484288354898334,5.858481857853028e-34,0.02,ok,,GLU_INV_000002,M_b9e610ff2a36,Glutamine(aq),0.0011258340091444552,glutamine,inventory_landscape,1.0,0.02,0.042,0.02,2.1,0.0
GLU_INV_000002,single_product_sensitivity,M_b9e610ff2a36.yaml,Glutamine(aq),0.0,273.15,101325.0,C2H2(aq),0.038817005545286505,0.02950096498483596,0.042,ok,,GLU_INV_000002,M_b9e610ff2a36,Glutamine(aq),0.0011258340091444552,glutamine,inventory_landscape,1.0,0.02,0.042,0.02,2.1,0.0
GLU_INV_000002,single_product_sensitivity,M_b9e610ff2a36.yaml,Glutamine(aq),0.0,273.15,101325.0,NH3(aq),0.018484288354898334,0.022056796250344634,0.02,ok,,GLU_INV_000002,M_b9e610ff2a36,Glutamine(aq),0.0011258340091444552,glutamine,inventory_landscape,1.0,0.02,0.042,0.02,2.1,0.0
GLU_INV_000002,single_product_sensitivity,M_b9e610ff2a36.yaml,Glutamine(aq),0.0,273.15,101325.0,Glutamine(aq),0.0,0.008271298593879239,0.0,ok,,GLU_INV_000002,M_b9e610ff2a36,Glutamine(aq),0.0011258340091444552,glutamine,inventory_landscape,1.0,0.02,0.042,0.02,2.1,0.0
