case_id,study_id,substudy_id,target_product,target_variant,H2O_mol,HCN_mol,C2H2_mol,NH3_mol,C2H2_over_HCN,deltaG_offset_kJ_mol,T_C,P_Pa,scenario_id,model_id,case_hash
GLY_INV_000001,glycine,inventory_landscape,Glycine(aq),Glycine(aq),1.0,0.02,0.042,0.01,2.1,0.0,0.0,101325.0,GLY_INV_000001,M_badfe1d3e92b,81fcf9f63b784848
GLY_INV_000002,glycine,inventory_landscape,Glycine(aq),Glycine(aq),1.0,0.02,0.042,0.02,2.1,0.0,0.0,101325.0,GLY_INV_000002,M_badfe1d3e92b,9338f48beda00817
GLY_INV_000003,glycine,inventory_landscape,Glycine(aq),Glycine(aq),1.0,0.02,0.042,0.03,2.1,0.0,0.0,101325.0,GLY_INV_000003,M_badfe1d3e92b,12070aeaf8d47549
GLY_INV_000004,glycine,inventory_landscape,Glycine(aq),Glycine(aq),1.0,0.02,0.042,0.04,2.1,0.0,0.0,101325.0,GLY_INV_000004,M_badfe1d3e92b,257c6613fdecea0c
GLY_INV_000005,glycine,inventory_landscape,Glycine(aq),Glycine(aq),1.0,0.02,0.042,0.05,2.1,0.0,0.0,101325.0,GLY_INV_000005,M_badfe1d3e92b,b8996507fa30687e
GLY_INV_000006,glycine,inventory_landscape,Glycine(aq),Glycine(aq),1.0,0.02,0.042,0.1,2.1,0.0,0.0,101325.0,GLY_INV_000006,M_badfe1d3e92b,5ae7f73d14c9f8d6
GLY_DG_000001,glycine,deltaG_sweep,Glycine(aq),Glycine__dG_m200(aq),1.0,0.02,0.042,0.05,2.1,-200.0,0.0,101325.0,GLY_DG_000001,M_319794f095fd,3eae49f323b79c73
GLY_DG_000002,glycine,deltaG_sweep,Glycine(aq),Glycine__dG_m160(aq),1.0,0.02,0.042,0.05,2.1,-160.0,0.0,101325.0,GLY_DG_000002,M_3a84907066e7,059ab0a483437491
GLY_DG_000003,glycine,deltaG_sweep,Glycine(aq),Glycine__dG_m120(aq),1.0,0.02,0.042,0.05,2.1,-120.0,0.0,101325.0,GLY_DG_000003,M_81afb6fc1d27,ca51734c803f5824
GLY_DG_000004,glycine,deltaG_sweep,Glycine(aq),Glycine__dG_m080(aq),1.0,0.02,0.042,0.05,2.1,-80.0,0.0,101325.0,GLY_DG_000004,M_e0771dce76ec,383bca35b09a6471
GLY_DG_000005,glycine,deltaG_sweep,Glycine(aq),Glycine__dG_m040(aq),1.0,0.02,0.042,0.05,2.1,-40.0,0.0,101325.0,GLY_DG_000005,M_093a4e494ac1,9a89febb789bfec5
GLY_DG_000006,glycine,deltaG_sweep,Glycine(aq),Glycine__dG_000(aq),1.0,0.02,0.042,0.05,2.1,0.0,0.0,101325.0,GLY_DG_000006,M_1729b89e0bd0,a7be82ec280314a1
GLY_DG_000007,glycine,deltaG_sweep,Glycine(aq),Glycine__dG_p040(aq),1.0,0.02,0.042,0.05,2.1,40.0,0.0,101325.0,GLY_DG_000007,M_6cc8a181f012,c4b73bba2cbee7ab
GLY_DG_000008,glycine,deltaG_sweep,Glycine(aq),Glycine__dG_p080(aq),1.0,0.02,0.042,0.05,2.1,80.0,0.0,101325.0,GLY_DG_000008,M_5578719842a4,b12a6e3869b8ba12
GLY_DG_000009,glycine,deltaG_sweep,Glycine(aq),Glycine__dG_p120(aq),1.0,0.02,0.042,0.05,2.1,120.0,0.0,101325.0,GLY_DG_000009,M_f6aac2186b74,357663a713173299
GLY_DG_000010,glycine,deltaG_sweep,Glycine(aq),Glycine__dG_p160(aq),1.0,0.02,0.042,0.05,2.1,160.0,0.0,101325.0,GLY_DG_000010,M_aaae960aec9d,7ff4fa5b50f594d3
GLY_DG_000011,glycine,deltaG_sweep,Glycine(aq),Glycine__dG_p200(aq),1.0,0.02,0.042,0.05,2.1,200.0,0.0,101325.0,GLY_DG_000011,M_373e6d140286,5e1a41eb3e1ea1e3
