scenario,model_mode,yaml_file,target_product,T_C,T_K,P_Pa,species,X_initial,X_eq,initial_moles,solver_status,error_message,case_id,model_id,target_variant,runtime_seconds,study_id,substudy_id,H2O_mol,HCN_mol,C2H2_mol,NH3_mol,C2H2_over_HCN,deltaG_offset_kJ_mol
GLY_INV_000001,single_product_sensitivity,M_badfe1d3e92b.yaml,Glycine(aq),0.0,273.15,101325.0,H2O(l),0.9328358208955223,0.9353905496624879,1.0,ok,,GLY_INV_000001,M_badfe1d3e92b,Glycine(aq),0.006664207990979776,glycine,inventory_landscape,1.0,0.02,0.042,0.01,2.1,0.0
GLY_INV_000001,single_product_sensitivity,M_badfe1d3e92b.yaml,Glycine(aq),0.0,273.15,101325.0,HCN(aq),0.018656716417910446,2.510543473261251e-22,0.02,ok,,GLY_INV_000001,M_badfe1d3e92b,Glycine(aq),0.006664207990979776,glycine,inventory_landscape,1.0,0.02,0.042,0.01,2.1,0.0
GLY_INV_000001,single_product_sensitivity,M_badfe1d3e92b.yaml,Glycine(aq),0.0,273.15,101325.0,C2H2(aq),0.03917910447761194,0.03567984570877531,0.042,ok,,GLY_INV_000001,M_badfe1d3e92b,Glycine(aq),0.006664207990979776,glycine,inventory_landscape,1.0,0.02,0.042,0.01,2.1,0.0
GLY_INV_000001,single_product_sensitivity,M_badfe1d3e92b.yaml,Glycine(aq),0.0,273.15,101325.0,NH3(aq),0.009328358208955223,0.014464802314368364,0.01,ok,,GLY_INV_000001,M_badfe1d3e92b,Glycine(aq),0.006664207990979776,glycine,inventory_landscape,1.0,0.02,0.042,0.01,2.1,0.0
GLY_INV_000001,single_product_sensitivity,M_badfe1d3e92b.yaml,Glycine(aq),0.0,273.15,101325.0,Glycine(aq),0.0,0.014464802314368367,0.0,ok,,GLY_INV_000001,M_badfe1d3e92b,Glycine(aq),0.006664207990979776,glycine,inventory_landscape,1.0,0.02,0.042,0.01,2.1,0.0
GLY_INV_000002,single_product_sensitivity,M_badfe1d3e92b.yaml,Glycine(aq),0.0,273.15,101325.0,H2O(l),0.9242144177449167,0.9264565425023877,1.0,ok,,GLY_INV_000002,M_badfe1d3e92b,Glycine(aq),0.0012522089964477345,glycine,inventory_landscape,1.0,0.02,0.042,0.02,2.1,0.0
GLY_INV_000002,single_product_sensitivity,M_badfe1d3e92b.yaml,Glycine(aq),0.0,273.15,101325.0,HCN(aq),0.018484288354898334,2.873133973552087e-22,0.02,ok,,GLY_INV_000002,M_badfe1d3e92b,Glycine(aq),0.0012522089964477345,glycine,inventory_landscape,1.0,0.02,0.042,0.02,2.1,0.0
GLY_INV_000002,single_product_sensitivity,M_badfe1d3e92b.yaml,Glycine(aq),0.0,273.15,101325.0,C2H2(aq),0.038817005545286505,0.03533906399235912,0.042,ok,,GLY_INV_000002,M_badfe1d3e92b,Glycine(aq),0.0012522089964477345,glycine,inventory_landscape,1.0,0.02,0.042,0.02,2.1,0.0
GLY_INV_000002,single_product_sensitivity,M_badfe1d3e92b.yaml,Glycine(aq),0.0,273.15,101325.0,NH3(aq),0.018484288354898334,0.02387774594078319,0.02,ok,,GLY_INV_000002,M_badfe1d3e92b,Glycine(aq),0.0012522089964477345,glycine,inventory_landscape,1.0,0.02,0.042,0.02,2.1,0.0
GLY_INV_000002,single_product_sensitivity,M_badfe1d3e92b.yaml,Glycine(aq),0.0,273.15,101325.0,Glycine(aq),0.0,0.014326647564469918,0.0,ok,,GLY_INV_000002,M_badfe1d3e92b,Glycine(aq),0.0012522089964477345,glycine,inventory_landscape,1.0,0.02,0.042,0.02,2.1,0.0
GLY_INV_000003,single_product_sensitivity,M_badfe1d3e92b.yaml,Glycine(aq),0.0,273.15,101325.0,H2O(l),0.9157509157509157,0.9176915799432355,1.0,ok,,GLY_INV_000003,M_badfe1d3e92b,Glycine(aq),0.0010526670084800571,glycine,inventory_landscape,1.0,0.02,0.042,0.03,2.1,0.0
GLY_INV_000003,single_product_sensitivity,M_badfe1d3e92b.yaml,Glycine(aq),0.0,273.15,101325.0,HCN(aq),0.018315018315018312,3.147633187141052e-22,0.02,ok,,GLY_INV_000003,M_badfe1d3e92b,Glycine(aq),0.0010526670084800571,glycine,inventory_landscape,1.0,0.02,0.042,0.03,2.1,0.0
GLY_INV_000003,single_product_sensitivity,M_badfe1d3e92b.yaml,Glycine(aq),0.0,273.15,101325.0,C2H2(aq),0.038461538461538464,0.035004730368968805,0.042,ok,,GLY_INV_000003,M_badfe1d3e92b,Glycine(aq),0.0010526670084800571,glycine,inventory_landscape,1.0,0.02,0.042,0.03,2.1,0.0
GLY_INV_000003,single_product_sensitivity,M_badfe1d3e92b.yaml,Glycine(aq),0.0,273.15,101325.0,NH3(aq),0.02747252747252747,0.03311258278145695,0.03,ok,,GLY_INV_000003,M_badfe1d3e92b,Glycine(aq),0.0010526670084800571,glycine,inventory_landscape,1.0,0.02,0.042,0.03,2.1,0.0
GLY_INV_000003,single_product_sensitivity,M_badfe1d3e92b.yaml,Glycine(aq),0.0,273.15,101325.0,Glycine(aq),0.0,0.014191106906338697,0.0,ok,,GLY_INV_000003,M_badfe1d3e92b,Glycine(aq),0.0010526670084800571,glycine,inventory_landscape,1.0,0.02,0.042,0.03,2.1,0.0
GLY_INV_000004,single_product_sensitivity,M_badfe1d3e92b.yaml,Glycine(aq),0.0,273.15,101325.0,H2O(l),0.9074410163339383,0.9090909090909092,1.0,ok,,GLY_INV_000004,M_badfe1d3e92b,Glycine(aq),0.001017792004859075,glycine,inventory_landscape,1.0,0.02,0.042,0.04,2.1,0.0
GLY_INV_000004,single_product_sensitivity,M_badfe1d3e92b.yaml,Glycine(aq),0.0,273.15,101325.0,HCN(aq),0.018148820326678763,3.375493741473971e-22,0.02,ok,,GLY_INV_000004,M_badfe1d3e92b,Glycine(aq),0.001017792004859075,glycine,inventory_landscape,1.0,0.02,0.042,0.04,2.1,0.0
GLY_INV_000004,single_product_sensitivity,M_badfe1d3e92b.yaml,Glycine(aq),0.0,273.15,101325.0,C2H2(aq),0.038112522686025406,0.03467666354264293,0.042,ok,,GLY_INV_000004,M_badfe1d3e92b,Glycine(aq),0.001017792004859075,glycine,inventory_landscape,1.0,0.02,0.042,0.04,2.1,0.0
GLY_INV_000004,single_product_sensitivity,M_badfe1d3e92b.yaml,Glycine(aq),0.0,273.15,101325.0,NH3(aq),0.03629764065335753,0.042174320524835995,0.04,ok,,GLY_INV_000004,M_badfe1d3e92b,Glycine(aq),0.001017792004859075,glycine,inventory_landscape,1.0,0.02,0.042,0.04,2.1,0.0
GLY_INV_000004,single_product_sensitivity,M_badfe1d3e92b.yaml,Glycine(aq),0.0,273.15,101325.0,Glycine(aq),0.0,0.014058106841611996,0.0,ok,,GLY_INV_000004,M_badfe1d3e92b,Glycine(aq),0.001017792004859075,glycine,inventory_landscape,1.0,0.02,0.042,0.04,2.1,0.0
GLY_INV_000005,single_product_sensitivity,M_badfe1d3e92b.yaml,Glycine(aq),0.0,273.15,101325.0,H2O(l),0.8992805755395683,0.9006499535747448,1.0,ok,,GLY_INV_000005,M_badfe1d3e92b,Glycine(aq),0.0009668749989941716,glycine,inventory_landscape,1.0,0.02,0.042,0.05,2.1,0.0
GLY_INV_000005,single_product_sensitivity,M_badfe1d3e92b.yaml,Glycine(aq),0.0,273.15,101325.0,HCN(aq),0.017985611510791366,3.57407213802836e-22,0.02,ok,,GLY_INV_000005,M_badfe1d3e92b,Glycine(aq),0.0009668749989941716,glycine,inventory_landscape,1.0,0.02,0.042,0.05,2.1,0.0
