case_id,study_id,substudy_id,target_product,target_variant,H2O_mol,HCN_mol,C2H2_mol,NH3_mol,C2H2_over_HCN,deltaG_offset_kJ_mol,T_C,P_Pa,scenario_id,model_id,case_hash
HIS_INV_000001,histidine,inventory_landscape,Histidine(aq),Histidine(aq),1.0,0.02,0.042,0.01,2.1,0.0,0.0,101325.0,HIS_INV_000001,M_3d28fa691bc3,eaab1367d61dc675
HIS_INV_000002,histidine,inventory_landscape,Histidine(aq),Histidine(aq),1.0,0.02,0.042,0.02,2.1,0.0,0.0,101325.0,HIS_INV_000002,M_3d28fa691bc3,dc93b36f2975c01f
HIS_INV_000003,histidine,inventory_landscape,Histidine(aq),Histidine(aq),1.0,0.02,0.042,0.03,2.1,0.0,0.0,101325.0,HIS_INV_000003,M_3d28fa691bc3,08c136f10c696994
HIS_INV_000004,histidine,inventory_landscape,Histidine(aq),Histidine(aq),1.0,0.02,0.042,0.04,2.1,0.0,0.0,101325.0,HIS_INV_000004,M_3d28fa691bc3,ea927b3e9eaa7616
HIS_INV_000005,histidine,inventory_landscape,Histidine(aq),Histidine(aq),1.0,0.02,0.042,0.05,2.1,0.0,0.0,101325.0,HIS_INV_000005,M_3d28fa691bc3,610c648154a545d0
HIS_INV_000006,histidine,inventory_landscape,Histidine(aq),Histidine(aq),1.0,0.02,0.042,0.1,2.1,0.0,0.0,101325.0,HIS_INV_000006,M_3d28fa691bc3,152b307838afd63a
HIS_DG_000001,histidine,deltaG_sweep,Histidine(aq),Histidine__dG_m200(aq),1.0,0.02,0.042,0.05,2.1,-200.0,0.0,101325.0,HIS_DG_000001,M_a0da5a90d3a9,5300c9e7540e82de
HIS_DG_000002,histidine,deltaG_sweep,Histidine(aq),Histidine__dG_m160(aq),1.0,0.02,0.042,0.05,2.1,-160.0,0.0,101325.0,HIS_DG_000002,M_e5224823e4e0,5429d2cca3d792c6
HIS_DG_000003,histidine,deltaG_sweep,Histidine(aq),Histidine__dG_m120(aq),1.0,0.02,0.042,0.05,2.1,-120.0,0.0,101325.0,HIS_DG_000003,M_e7a42b31ef0d,98ba53a7ae0b9c60
HIS_DG_000004,histidine,deltaG_sweep,Histidine(aq),Histidine__dG_m080(aq),1.0,0.02,0.042,0.05,2.1,-80.0,0.0,101325.0,HIS_DG_000004,M_b6d07dfd6527,f0b200e91fea6a89
HIS_DG_000005,histidine,deltaG_sweep,Histidine(aq),Histidine__dG_m040(aq),1.0,0.02,0.042,0.05,2.1,-40.0,0.0,101325.0,HIS_DG_000005,M_732a96194f52,718255ffaa3dfd48
HIS_DG_000006,histidine,deltaG_sweep,Histidine(aq),Histidine__dG_000(aq),1.0,0.02,0.042,0.05,2.1,0.0,0.0,101325.0,HIS_DG_000006,M_c571c71426b9,e2283ffce55d316b
HIS_DG_000007,histidine,deltaG_sweep,Histidine(aq),Histidine__dG_p040(aq),1.0,0.02,0.042,0.05,2.1,40.0,0.0,101325.0,HIS_DG_000007,M_c7f15cd3fb91,12924107be3037ec
HIS_DG_000008,histidine,deltaG_sweep,Histidine(aq),Histidine__dG_p080(aq),1.0,0.02,0.042,0.05,2.1,80.0,0.0,101325.0,HIS_DG_000008,M_39e486ef4ff7,466bbb34526c7026
HIS_DG_000009,histidine,deltaG_sweep,Histidine(aq),Histidine__dG_p120(aq),1.0,0.02,0.042,0.05,2.1,120.0,0.0,101325.0,HIS_DG_000009,M_a4d26da39a2f,349fd62250581b7a
HIS_DG_000010,histidine,deltaG_sweep,Histidine(aq),Histidine__dG_p160(aq),1.0,0.02,0.042,0.05,2.1,160.0,0.0,101325.0,HIS_DG_000010,M_4a914d8da323,2d559044e422f843
HIS_DG_000011,histidine,deltaG_sweep,Histidine(aq),Histidine__dG_p200(aq),1.0,0.02,0.042,0.05,2.1,200.0,0.0,101325.0,HIS_DG_000011,M_9ffffa198e7a,c6466d7cbcef4c01
