study_id,substudy_id,target_product,target_variant,model_id,T_C,P_Pa,runtime_seconds,H2O_mol,HCN_mol,C2H2_mol,NH3_mol,C2H2_over_HCN,deltaG_offset_kJ_mol,case_id,X_eq,log10_X_eq,n_eq_mol,log10_n_eq_mol,formed_bool,formation_call,solver_status,error_message,element_balance_relative_spread,suspect_balance
histidine,deltaG_sweep,Histidine(aq),Histidine__dG_m200(aq),M_a0da5a90d3a9,0.0,101325.0,0.005914749999647,1.0,0.02,0.042,0.05,2.1,-200.0,HIS_DG_000001,0.0055555555555555,-2.2552725051033105,0.005999999999999951,-2.22184874961636,True,significant,ok,nan,5.139921410301642e-15,False
histidine,deltaG_sweep,Histidine(aq),Histidine__dG_m160(aq),M_e5224823e4e0,0.0,101325.0,0.0055407500040018,1.0,0.02,0.042,0.05,2.1,-160.0,HIS_DG_000002,0.0055555555555555,-2.2552725051033105,0.005999999999999951,-2.22184874961636,True,significant,ok,nan,5.139921410301642e-15,False
histidine,deltaG_sweep,Histidine(aq),Histidine__dG_m120(aq),M_e7a42b31ef0d,0.0,101325.0,0.0058039580035256,1.0,0.02,0.042,0.05,2.1,-120.0,HIS_DG_000003,0.0055555555555555,-2.2552725051033105,0.005999999999999951,-2.22184874961636,True,significant,ok,nan,5.139921410301642e-15,False
histidine,deltaG_sweep,Histidine(aq),Histidine__dG_m080(aq),M_b6d07dfd6527,0.0,101325.0,0.0054959999979473,1.0,0.02,0.042,0.05,2.1,-80.0,HIS_DG_000004,0.0055555555555555,-2.2552725051033105,0.005999999999999951,-2.22184874961636,True,significant,ok,nan,5.139921410301642e-15,False
histidine,deltaG_sweep,Histidine(aq),Histidine__dG_m040(aq),M_732a96194f52,0.0,101325.0,0.0057248750090366,1.0,0.02,0.042,0.05,2.1,-40.0,HIS_DG_000005,0.0055555555555555,-2.2552725051033105,0.005999999999999951,-2.22184874961636,True,significant,ok,nan,5.139921410301642e-15,False
histidine,deltaG_sweep,Histidine(aq),Histidine__dG_000(aq),M_c571c71426b9,0.0,101325.0,0.0055205840035341,1.0,0.02,0.042,0.05,2.1,0.0,HIS_DG_000006,0.0055555555555555,-2.2552725051033105,0.005999999999999951,-2.22184874961636,True,significant,ok,nan,5.139921410301642e-15,False
histidine,deltaG_sweep,Histidine(aq),Histidine__dG_p040(aq),M_c7f15cd3fb91,0.0,101325.0,0.0055112909903982,1.0,0.02,0.042,0.05,2.1,40.0,HIS_DG_000007,0.0055555555555555,-2.2552725051033105,0.005999999999999951,-2.22184874961636,True,significant,ok,nan,5.139921410301642e-15,False
histidine,deltaG_sweep,Histidine(aq),Histidine__dG_p080(aq),M_39e486ef4ff7,0.0,101325.0,0.0055379169934894,1.0,0.02,0.042,0.05,2.1,80.0,HIS_DG_000008,0.0055555555555555,-2.2552725051033105,0.005999999999999951,-2.22184874961636,True,significant,ok,nan,5.139921410301642e-15,False
histidine,deltaG_sweep,Histidine(aq),Histidine__dG_p120(aq),M_a4d26da39a2f,0.0,101325.0,0.0055653750023338,1.0,0.02,0.042,0.05,2.1,120.0,HIS_DG_000009,0.0055555555555555,-2.2552725051033105,0.005999999999999951,-2.22184874961636,True,significant,ok,nan,5.139921410301642e-15,False
histidine,deltaG_sweep,Histidine(aq),Histidine__dG_p160(aq),M_4a914d8da323,0.0,101325.0,0.0061549169913632,1.0,0.02,0.042,0.05,2.1,160.0,HIS_DG_000010,0.0055555555555555,-2.2552725051033105,0.005999999999999947,-2.22184874961636,True,significant,ok,nan,1.8503717077085924e-15,False
