case_id,study_id,substudy_id,target_product,target_variant,model_id,NH3_mol,HCN_mol,C2H2_mol,C2H2_over_HCN,deltaG_offset_kJ_mol,T_C,P_Pa,X_eq,log10_X_eq,n_eq_mol,log10_n_eq_mol,formed_bool,formation_call,solver_status,runtime_seconds
HIS_DG_000001,histidine,deltaG_sweep,Histidine(aq),Histidine__dG_m200(aq),M_a0da5a90d3a9,0.05,0.02,0.042,2.1,-200.0,0.0,101325.0,0.0055555555555555,-2.2552725051033105,0.005999999999999951,-2.22184874961636,True,significant,ok,0.005914749999647
HIS_DG_000002,histidine,deltaG_sweep,Histidine(aq),Histidine__dG_m160(aq),M_e5224823e4e0,0.05,0.02,0.042,2.1,-160.0,0.0,101325.0,0.0055555555555555,-2.2552725051033105,0.005999999999999951,-2.22184874961636,True,significant,ok,0.0055407500040018
HIS_DG_000003,histidine,deltaG_sweep,Histidine(aq),Histidine__dG_m120(aq),M_e7a42b31ef0d,0.05,0.02,0.042,2.1,-120.0,0.0,101325.0,0.0055555555555555,-2.2552725051033105,0.005999999999999951,-2.22184874961636,True,significant,ok,0.0058039580035256
HIS_DG_000004,histidine,deltaG_sweep,Histidine(aq),Histidine__dG_m080(aq),M_b6d07dfd6527,0.05,0.02,0.042,2.1,-80.0,0.0,101325.0,0.0055555555555555,-2.2552725051033105,0.005999999999999951,-2.22184874961636,True,significant,ok,0.0054959999979473
HIS_DG_000005,histidine,deltaG_sweep,Histidine(aq),Histidine__dG_m040(aq),M_732a96194f52,0.05,0.02,0.042,2.1,-40.0,0.0,101325.0,0.0055555555555555,-2.2552725051033105,0.005999999999999951,-2.22184874961636,True,significant,ok,0.0057248750090366
HIS_DG_000006,histidine,deltaG_sweep,Histidine(aq),Histidine__dG_000(aq),M_c571c71426b9,0.05,0.02,0.042,2.1,0.0,0.0,101325.0,0.0055555555555555,-2.2552725051033105,0.005999999999999951,-2.22184874961636,True,significant,ok,0.0055205840035341
HIS_DG_000007,histidine,deltaG_sweep,Histidine(aq),Histidine__dG_p040(aq),M_c7f15cd3fb91,0.05,0.02,0.042,2.1,40.0,0.0,101325.0,0.0055555555555555,-2.2552725051033105,0.005999999999999951,-2.22184874961636,True,significant,ok,0.0055112909903982
HIS_DG_000008,histidine,deltaG_sweep,Histidine(aq),Histidine__dG_p080(aq),M_39e486ef4ff7,0.05,0.02,0.042,2.1,80.0,0.0,101325.0,0.0055555555555555,-2.2552725051033105,0.005999999999999951,-2.22184874961636,True,significant,ok,0.0055379169934894
HIS_DG_000009,histidine,deltaG_sweep,Histidine(aq),Histidine__dG_p120(aq),M_a4d26da39a2f,0.05,0.02,0.042,2.1,120.0,0.0,101325.0,0.0055555555555555,-2.2552725051033105,0.005999999999999951,-2.22184874961636,True,significant,ok,0.0055653750023338
HIS_DG_000010,histidine,deltaG_sweep,Histidine(aq),Histidine__dG_p160(aq),M_4a914d8da323,0.05,0.02,0.042,2.1,160.0,0.0,101325.0,0.0055555555555555,-2.2552725051033105,0.005999999999999947,-2.22184874961636,True,significant,ok,0.0061549169913632
HIS_DG_000011,histidine,deltaG_sweep,Histidine(aq),Histidine__dG_p200(aq),M_9ffffa198e7a,0.05,0.02,0.042,2.1,200.0,0.0,101325.0,0.0055555555555487,-2.255272505103842,0.005999999999992815,-2.2218487496168766,True,significant,ok,0.0057070000038947
HIS_INV_000001,histidine,inventory_landscape,Histidine(aq),Histidine(aq),M_3d28fa691bc3,0.01,0.02,0.042,2.1,0.0,0.0,101325.0,0.0057692307692307,-2.2388820889151417,0.005999999999999941,-2.2218487496163606,True,significant,ok,0.0072919169906526
HIS_INV_000002,histidine,inventory_landscape,Histidine(aq),Histidine(aq),M_3d28fa691bc3,0.02,0.02,0.042,2.1,0.0,0.0,101325.0,0.0057142857142857,-2.2430380486862953,0.005999999999999995,-2.2218487496163566,True,significant,ok,0.0011295410076854
HIS_INV_000003,histidine,inventory_landscape,Histidine(aq),Histidine(aq),M_3d28fa691bc3,0.03,0.02,0.042,2.1,0.0,0.0,101325.0,0.0056603773584905,-2.247154614881132,0.005999999999999943,-2.2218487496163606,True,significant,ok,0.0010345830087317
HIS_INV_000004,histidine,inventory_landscape,Histidine(aq),Histidine(aq),M_3d28fa691bc3,0.04,0.02,0.042,2.1,0.0,0.0,101325.0,0.005607476635514,-2.2512325273015676,0.005999999999999985,-2.2218487496163575,True,significant,ok,0.0010496670001884
HIS_INV_000005,histidine,inventory_landscape,Histidine(aq),Histidine(aq),M_3d28fa691bc3,0.05,0.02,0.042,2.1,0.0,0.0,101325.0,0.0055555555555555,-2.2552725051033105,0.005999999999999951,-2.22184874961636,True,significant,ok,0.0009645410027587
HIS_INV_000006,histidine,inventory_landscape,Histidine(aq),Histidine(aq),M_3d28fa691bc3,0.1,0.02,0.042,2.1,0.0,0.0,101325.0,0.0053097345132743,-2.274927193099779,0.005999999999999963,-2.2218487496163593,True,significant,ok,0.0012250409927219
