case_id,scenario_id,model_id,yaml_path,target_product,target_variant,T_C,P_Pa,case_hash,status,runtime_seconds,error_message
HIS_INV_000001,HIS_INV_000001,M_3d28fa691bc3,models/M_3d28fa691bc3.yaml,Histidine(aq),Histidine(aq),0.0,101325.0,eaab1367d61dc675,ok,0.00729191699065268,
HIS_INV_000002,HIS_INV_000002,M_3d28fa691bc3,models/M_3d28fa691bc3.yaml,Histidine(aq),Histidine(aq),0.0,101325.0,dc93b36f2975c01f,ok,0.001129541007685475,
HIS_INV_000003,HIS_INV_000003,M_3d28fa691bc3,models/M_3d28fa691bc3.yaml,Histidine(aq),Histidine(aq),0.0,101325.0,08c136f10c696994,ok,0.0010345830087317154,
HIS_INV_000004,HIS_INV_000004,M_3d28fa691bc3,models/M_3d28fa691bc3.yaml,Histidine(aq),Histidine(aq),0.0,101325.0,ea927b3e9eaa7616,ok,0.0010496670001884922,
HIS_INV_000005,HIS_INV_000005,M_3d28fa691bc3,models/M_3d28fa691bc3.yaml,Histidine(aq),Histidine(aq),0.0,101325.0,610c648154a545d0,ok,0.0009645410027587786,
HIS_INV_000006,HIS_INV_000006,M_3d28fa691bc3,models/M_3d28fa691bc3.yaml,Histidine(aq),Histidine(aq),0.0,101325.0,152b307838afd63a,ok,0.0012250409927219152,
HIS_DG_000001,HIS_DG_000001,M_a0da5a90d3a9,models/M_a0da5a90d3a9.yaml,Histidine(aq),Histidine__dG_m200(aq),0.0,101325.0,5300c9e7540e82de,ok,0.005914749999647029,
HIS_DG_000002,HIS_DG_000002,M_e5224823e4e0,models/M_e5224823e4e0.yaml,Histidine(aq),Histidine__dG_m160(aq),0.0,101325.0,5429d2cca3d792c6,ok,0.005540750004001893,
HIS_DG_000003,HIS_DG_000003,M_e7a42b31ef0d,models/M_e7a42b31ef0d.yaml,Histidine(aq),Histidine__dG_m120(aq),0.0,101325.0,98ba53a7ae0b9c60,ok,0.005803958003525622,
HIS_DG_000004,HIS_DG_000004,M_b6d07dfd6527,models/M_b6d07dfd6527.yaml,Histidine(aq),Histidine__dG_m080(aq),0.0,101325.0,f0b200e91fea6a89,ok,0.005495999997947365,
HIS_DG_000005,HIS_DG_000005,M_732a96194f52,models/M_732a96194f52.yaml,Histidine(aq),Histidine__dG_m040(aq),0.0,101325.0,718255ffaa3dfd48,ok,0.005724875009036623,
HIS_DG_000006,HIS_DG_000006,M_c571c71426b9,models/M_c571c71426b9.yaml,Histidine(aq),Histidine__dG_000(aq),0.0,101325.0,e2283ffce55d316b,ok,0.005520584003534168,
HIS_DG_000007,HIS_DG_000007,M_c7f15cd3fb91,models/M_c7f15cd3fb91.yaml,Histidine(aq),Histidine__dG_p040(aq),0.0,101325.0,12924107be3037ec,ok,0.005511290990398265,
HIS_DG_000008,HIS_DG_000008,M_39e486ef4ff7,models/M_39e486ef4ff7.yaml,Histidine(aq),Histidine__dG_p080(aq),0.0,101325.0,466bbb34526c7026,ok,0.005537916993489489,
HIS_DG_000009,HIS_DG_000009,M_a4d26da39a2f,models/M_a4d26da39a2f.yaml,Histidine(aq),Histidine__dG_p120(aq),0.0,101325.0,349fd62250581b7a,ok,0.005565375002333894,
HIS_DG_000010,HIS_DG_000010,M_4a914d8da323,models/M_4a914d8da323.yaml,Histidine(aq),Histidine__dG_p160(aq),0.0,101325.0,2d559044e422f843,ok,0.0061549169913632795,
HIS_DG_000011,HIS_DG_000011,M_9ffffa198e7a,models/M_9ffffa198e7a.yaml,Histidine(aq),Histidine__dG_p200(aq),0.0,101325.0,c6466d7cbcef4c01,ok,0.005707000003894791,
