scenario,model_mode,yaml_file,target_product,T_C,T_K,P_Pa,species,X_initial,X_eq,initial_moles,solver_status,error_message,case_id,model_id,target_variant,runtime_seconds,study_id,substudy_id,H2O_mol,HCN_mol,C2H2_mol,NH3_mol,C2H2_over_HCN,deltaG_offset_kJ_mol
ISO_INV_000001,single_product_sensitivity,M_68ce2d69476b.yaml,Isoleucine(aq),0.0,273.15,101325.0,H2O(l),0.9328358208955223,0.9589041095890413,1.0,ok,,ISO_INV_000001,M_68ce2d69476b,Isoleucine(aq),0.008280082998680882,isoleucine,inventory_landscape,1.0,0.02,0.042,0.01,2.1,0.0
ISO_INV_000001,single_product_sensitivity,M_68ce2d69476b.yaml,Isoleucine(aq),0.0,273.15,101325.0,HCN(aq),0.018656716417910446,0.019569471624266144,0.02,ok,,ISO_INV_000001,M_68ce2d69476b,Isoleucine(aq),0.008280082998680882,isoleucine,inventory_landscape,1.0,0.02,0.042,0.01,2.1,0.0
ISO_INV_000001,single_product_sensitivity,M_68ce2d69476b.yaml,Isoleucine(aq),0.0,273.15,101325.0,C2H2(aq),0.03917910447761194,0.01174168297455969,0.042,ok,,ISO_INV_000001,M_68ce2d69476b,Isoleucine(aq),0.008280082998680882,isoleucine,inventory_landscape,1.0,0.02,0.042,0.01,2.1,0.0
ISO_INV_000001,single_product_sensitivity,M_68ce2d69476b.yaml,Isoleucine(aq),0.0,273.15,101325.0,NH3(aq),0.009328358208955223,4.121480516578132e-93,0.01,ok,,ISO_INV_000001,M_68ce2d69476b,Isoleucine(aq),0.008280082998680882,isoleucine,inventory_landscape,1.0,0.02,0.042,0.01,2.1,0.0
ISO_INV_000001,single_product_sensitivity,M_68ce2d69476b.yaml,Isoleucine(aq),0.0,273.15,101325.0,Isoleucine(aq),0.0,0.009784735812133072,0.0,ok,,ISO_INV_000001,M_68ce2d69476b,Isoleucine(aq),0.008280082998680882,isoleucine,inventory_landscape,1.0,0.02,0.042,0.01,2.1,0.0
ISO_INV_000002,single_product_sensitivity,M_68ce2d69476b.yaml,Isoleucine(aq),0.0,273.15,101325.0,H2O(l),0.9242144177449167,0.9604743083003955,1.0,ok,,ISO_INV_000002,M_68ce2d69476b,Isoleucine(aq),0.0011056670045945793,isoleucine,inventory_landscape,1.0,0.02,0.042,0.02,2.1,0.0
ISO_INV_000002,single_product_sensitivity,M_68ce2d69476b.yaml,Isoleucine(aq),0.0,273.15,101325.0,HCN(aq),0.018484288354898334,0.01976284584980237,0.02,ok,,ISO_INV_000002,M_68ce2d69476b,Isoleucine(aq),0.0011056670045945793,isoleucine,inventory_landscape,1.0,0.02,0.042,0.02,2.1,0.0
ISO_INV_000002,single_product_sensitivity,M_68ce2d69476b.yaml,Isoleucine(aq),0.0,273.15,101325.0,C2H2(aq),0.038817005545286505,1.1661388908837874e-32,0.042,ok,,ISO_INV_000002,M_68ce2d69476b,Isoleucine(aq),0.0011056670045945793,isoleucine,inventory_landscape,1.0,0.02,0.042,0.02,2.1,0.0
ISO_INV_000002,single_product_sensitivity,M_68ce2d69476b.yaml,Isoleucine(aq),0.0,273.15,101325.0,NH3(aq),0.018484288354898334,0.005928853754940709,0.02,ok,,ISO_INV_000002,M_68ce2d69476b,Isoleucine(aq),0.0011056670045945793,isoleucine,inventory_landscape,1.0,0.02,0.042,0.02,2.1,0.0
ISO_INV_000002,single_product_sensitivity,M_68ce2d69476b.yaml,Isoleucine(aq),0.0,273.15,101325.0,Isoleucine(aq),0.0,0.01383399209486166,0.0,ok,,ISO_INV_000002,M_68ce2d69476b,Isoleucine(aq),0.0011056670045945793,isoleucine,inventory_landscape,1.0,0.02,0.042,0.02,2.1,0.0
ISO_INV_000003,single_product_sensitivity,M_68ce2d69476b.yaml,Isoleucine(aq),0.0,273.15,101325.0,H2O(l),0.9157509157509157,0.9510763209393347,1.0,ok,,ISO_INV_000003,M_68ce2d69476b,Isoleucine(aq),0.001514541989308782,isoleucine,inventory_landscape,1.0,0.02,0.042,0.03,2.1,0.0
ISO_INV_000003,single_product_sensitivity,M_68ce2d69476b.yaml,Isoleucine(aq),0.0,273.15,101325.0,HCN(aq),0.018315018315018312,0.019569471624266147,0.02,ok,,ISO_INV_000003,M_68ce2d69476b,Isoleucine(aq),0.001514541989308782,isoleucine,inventory_landscape,1.0,0.02,0.042,0.03,2.1,0.0
ISO_INV_000003,single_product_sensitivity,M_68ce2d69476b.yaml,Isoleucine(aq),0.0,273.15,101325.0,C2H2(aq),0.038461538461538464,8.464623086664961e-33,0.042,ok,,ISO_INV_000003,M_68ce2d69476b,Isoleucine(aq),0.001514541989308782,isoleucine,inventory_landscape,1.0,0.02,0.042,0.03,2.1,0.0
ISO_INV_000003,single_product_sensitivity,M_68ce2d69476b.yaml,Isoleucine(aq),0.0,273.15,101325.0,NH3(aq),0.02747252747252747,0.015655577299412915,0.03,ok,,ISO_INV_000003,M_68ce2d69476b,Isoleucine(aq),0.001514541989308782,isoleucine,inventory_landscape,1.0,0.02,0.042,0.03,2.1,0.0
ISO_INV_000003,single_product_sensitivity,M_68ce2d69476b.yaml,Isoleucine(aq),0.0,273.15,101325.0,Isoleucine(aq),0.0,0.013698630136986302,0.0,ok,,ISO_INV_000003,M_68ce2d69476b,Isoleucine(aq),0.001514541989308782,isoleucine,inventory_landscape,1.0,0.02,0.042,0.03,2.1,0.0
ISO_INV_000004,single_product_sensitivity,M_68ce2d69476b.yaml,Isoleucine(aq),0.0,273.15,101325.0,H2O(l),0.9074410163339383,0.941860465116279,1.0,ok,,ISO_INV_000004,M_68ce2d69476b,Isoleucine(aq),0.0014268329978222027,isoleucine,inventory_landscape,1.0,0.02,0.042,0.04,2.1,0.0
ISO_INV_000004,single_product_sensitivity,M_68ce2d69476b.yaml,Isoleucine(aq),0.0,273.15,101325.0,HCN(aq),0.018148820326678763,0.019379844961240313,0.02,ok,,ISO_INV_000004,M_68ce2d69476b,Isoleucine(aq),0.0014268329978222027,isoleucine,inventory_landscape,1.0,0.02,0.042,0.04,2.1,0.0
ISO_INV_000004,single_product_sensitivity,M_68ce2d69476b.yaml,Isoleucine(aq),0.0,273.15,101325.0,C2H2(aq),0.038112522686025406,7.246734828384322e-33,0.042,ok,,ISO_INV_000004,M_68ce2d69476b,Isoleucine(aq),0.0014268329978222027,isoleucine,inventory_landscape,1.0,0.02,0.042,0.04,2.1,0.0
ISO_INV_000004,single_product_sensitivity,M_68ce2d69476b.yaml,Isoleucine(aq),0.0,273.15,101325.0,NH3(aq),0.03629764065335753,0.025193798449612406,0.04,ok,,ISO_INV_000004,M_68ce2d69476b,Isoleucine(aq),0.0014268329978222027,isoleucine,inventory_landscape,1.0,0.02,0.042,0.04,2.1,0.0
ISO_INV_000004,single_product_sensitivity,M_68ce2d69476b.yaml,Isoleucine(aq),0.0,273.15,101325.0,Isoleucine(aq),0.0,0.01356589147286822,0.0,ok,,ISO_INV_000004,M_68ce2d69476b,Isoleucine(aq),0.0014268329978222027,isoleucine,inventory_landscape,1.0,0.02,0.042,0.04,2.1,0.0
ISO_INV_000005,single_product_sensitivity,M_68ce2d69476b.yaml,Isoleucine(aq),0.0,273.15,101325.0,H2O(l),0.8992805755395683,0.9328214971209214,1.0,ok,,ISO_INV_000005,M_68ce2d69476b,Isoleucine(aq),0.0011447500000940636,isoleucine,inventory_landscape,1.0,0.02,0.042,0.05,2.1,0.0
ISO_INV_000005,single_product_sensitivity,M_68ce2d69476b.yaml,Isoleucine(aq),0.0,273.15,101325.0,HCN(aq),0.017985611510791366,0.019193857965451058,0.02,ok,,ISO_INV_000005,M_68ce2d69476b,Isoleucine(aq),0.0011447500000940636,isoleucine,inventory_landscape,1.0,0.02,0.042,0.05,2.1,0.0
ISO_INV_000005,single_product_sensitivity,M_68ce2d69476b.yaml,Isoleucine(aq),0.0,273.15,101325.0,C2H2(aq),0.03776978417266187,6.543719375431947e-33,0.042,ok,,ISO_INV_000005,M_68ce2d69476b,Isoleucine(aq),0.0011447500000940636,isoleucine,inventory_landscape,1.0,0.02,0.042,0.05,2.1,0.0
ISO_INV_000005,single_product_sensitivity,M_68ce2d69476b.yaml,Isoleucine(aq),0.0,273.15,101325.0,NH3(aq),0.044964028776978415,0.034548944337811895,0.05,ok,,ISO_INV_000005,M_68ce2d69476b,Isoleucine(aq),0.0011447500000940636,isoleucine,inventory_landscape,1.0,0.02,0.042,0.05,2.1,0.0
ISO_INV_000005,single_product_sensitivity,M_68ce2d69476b.yaml,Isoleucine(aq),0.0,273.15,101325.0,Isoleucine(aq),0.0,0.013435700575815739,0.0,ok,,ISO_INV_000005,M_68ce2d69476b,Isoleucine(aq),0.0011447500000940636,isoleucine,inventory_landscape,1.0,0.02,0.042,0.05,2.1,0.0
ISO_INV_000006,single_product_sensitivity,M_68ce2d69476b.yaml,Isoleucine(aq),0.0,273.15,101325.0,H2O(l),0.8605851979345955,0.89010989010989,1.0,ok,,ISO_INV_000006,M_68ce2d69476b,Isoleucine(aq),0.001271499990252778,isoleucine,inventory_landscape,1.0,0.02,0.042,0.1,2.1,0.0
ISO_INV_000006,single_product_sensitivity,M_68ce2d69476b.yaml,Isoleucine(aq),0.0,273.15,101325.0,HCN(aq),0.017211703958691912,0.018315018315018316,0.02,ok,,ISO_INV_000006,M_68ce2d69476b,Isoleucine(aq),0.001271499990252778,isoleucine,inventory_landscape,1.0,0.02,0.042,0.1,2.1,0.0
