case_id,study_id,substudy_id,target_product,target_variant,model_id,NH3_mol,HCN_mol,C2H2_mol,C2H2_over_HCN,deltaG_offset_kJ_mol,T_C,P_Pa,X_eq,log10_X_eq,n_eq_mol,log10_n_eq_mol,formed_bool,formation_call,solver_status,runtime_seconds
ISO_DG_000001,isoleucine,deltaG_sweep,Isoleucine(aq),Isoleucine__dG_m200(aq),M_778e2f8bc45f,0.05,0.02,0.042,2.1,-200.0,0.0,101325.0,0.0134357005758157,-1.8717396832852689,0.013999999999999981,-1.8538719643217625,True,significant,ok,0.0097964589949697
ISO_DG_000002,isoleucine,deltaG_sweep,Isoleucine(aq),Isoleucine__dG_m160(aq),M_52cf6925a956,0.05,0.02,0.042,2.1,-160.0,0.0,101325.0,0.0134357005758157,-1.8717396832852689,0.013999999999999981,-1.8538719643217625,True,significant,ok,0.0181836670089978
ISO_DG_000003,isoleucine,deltaG_sweep,Isoleucine(aq),Isoleucine__dG_m120(aq),M_091285c4ff1d,0.05,0.02,0.042,2.1,-120.0,0.0,101325.0,0.0134357005758157,-1.8717396832852689,0.013999999999999981,-1.8538719643217625,True,significant,ok,0.0095798750116955
ISO_DG_000004,isoleucine,deltaG_sweep,Isoleucine(aq),Isoleucine__dG_m080(aq),M_5d6a2eeb4ee4,0.05,0.02,0.042,2.1,-80.0,0.0,101325.0,0.0134357005758157,-1.8717396832852689,0.013999999999999981,-1.8538719643217625,True,significant,ok,0.0091511670034378
ISO_DG_000005,isoleucine,deltaG_sweep,Isoleucine(aq),Isoleucine__dG_m040(aq),M_23e386c29b50,0.05,0.02,0.042,2.1,-40.0,0.0,101325.0,0.0134357005758157,-1.8717396832852689,0.013999999999999981,-1.8538719643217625,True,significant,ok,0.0143895000073825
ISO_DG_000006,isoleucine,deltaG_sweep,Isoleucine(aq),Isoleucine__dG_000(aq),M_b9cf7a446896,0.05,0.02,0.042,2.1,0.0,0.0,101325.0,0.0134357005758157,-1.8717396832852689,0.013999999999999981,-1.8538719643217625,True,significant,ok,0.0198225839994847
ISO_DG_000007,isoleucine,deltaG_sweep,Isoleucine(aq),Isoleucine__dG_p040(aq),M_45d9b08d1a5b,0.05,0.02,0.042,2.1,40.0,0.0,101325.0,0.0134357005758157,-1.8717396832852689,0.013999999999999981,-1.8538719643217625,True,significant,ok,0.0083414999971864
ISO_DG_000008,isoleucine,deltaG_sweep,Isoleucine(aq),Isoleucine__dG_p080(aq),M_1c88cb31f1ae,0.05,0.02,0.042,2.1,80.0,0.0,101325.0,0.0134357005758157,-1.8717396832852689,0.013999999999999981,-1.8538719643217625,True,significant,ok,0.0095302500121761
ISO_DG_000009,isoleucine,deltaG_sweep,Isoleucine(aq),Isoleucine__dG_p120(aq),M_a290f76c82e5,0.05,0.02,0.042,2.1,120.0,0.0,101325.0,0.0134357005758157,-1.8717396832852689,0.013999999999999981,-1.8538719643217625,True,significant,ok,0.0158836250047897
ISO_DG_000010,isoleucine,deltaG_sweep,Isoleucine(aq),Isoleucine__dG_p160(aq),M_f9efd4daf67f,0.05,0.02,0.042,2.1,160.0,0.0,101325.0,0.0134357005758157,-1.8717396832852689,0.013999999999999981,-1.8538719643217625,True,significant,ok,0.0195391669985838
ISO_DG_000011,isoleucine,deltaG_sweep,Isoleucine(aq),Isoleucine__dG_p200(aq),M_70a8d2196992,0.05,0.02,0.042,2.1,200.0,0.0,101325.0,0.0134357005758157,-1.8717396832852689,0.013999999999999981,-1.8538719643217625,True,significant,ok,0.0086819579883012
ISO_INV_000001,isoleucine,inventory_landscape,Isoleucine(aq),Isoleucine(aq),M_68ce2d69476b,0.01,0.02,0.042,2.1,0.0,0.0,101325.0,0.009784735812133,-2.009450895798697,0.009999999999999948,-2.000000000000002,True,significant,ok,0.0082800829986808
ISO_INV_000002,isoleucine,inventory_landscape,Isoleucine(aq),Isoleucine(aq),M_68ce2d69476b,0.02,0.02,0.042,2.1,0.0,0.0,101325.0,0.0138339920948616,-1.859052476825544,0.013999999999999966,-1.853871964321763,True,significant,ok,0.0011056670045945
ISO_INV_000003,isoleucine,inventory_landscape,Isoleucine(aq),Isoleucine(aq),M_68ce2d69476b,0.03,0.02,0.042,2.1,0.0,0.0,101325.0,0.0136986301369863,-1.863322860120456,0.014000000000000002,-1.8538719643217618,True,significant,ok,0.0015145419893087
ISO_INV_000004,isoleucine,inventory_landscape,Isoleucine(aq),Isoleucine(aq),M_68ce2d69476b,0.04,0.02,0.042,2.1,0.0,0.0,101325.0,0.0135658914728682,-1.867551661612955,0.013999999999999988,-1.8538719643217623,True,significant,ok,0.0014268329978222
ISO_INV_000005,isoleucine,inventory_landscape,Isoleucine(aq),Isoleucine(aq),M_68ce2d69476b,0.05,0.02,0.042,2.1,0.0,0.0,101325.0,0.0134357005758157,-1.8717396832852689,0.013999999999999981,-1.8538719643217625,True,significant,ok,0.001144750000094
ISO_INV_000006,isoleucine,inventory_landscape,Isoleucine(aq),Isoleucine(aq),M_68ce2d69476b,0.1,0.02,0.042,2.1,0.0,0.0,101325.0,0.0128205128205128,-1.892094602690481,0.013999999999999983,-1.8538719643217625,True,significant,ok,0.0012714999902527
