case_id,scenario_id,model_id,yaml_path,target_product,target_variant,T_C,P_Pa,case_hash,status,runtime_seconds,error_message
ISO_INV_000001,ISO_INV_000001,M_68ce2d69476b,models/M_68ce2d69476b.yaml,Isoleucine(aq),Isoleucine(aq),0.0,101325.0,fcc4948d4fe6c985,ok,0.008280082998680882,
ISO_INV_000002,ISO_INV_000002,M_68ce2d69476b,models/M_68ce2d69476b.yaml,Isoleucine(aq),Isoleucine(aq),0.0,101325.0,871c91997cc2b983,ok,0.0011056670045945793,
ISO_INV_000003,ISO_INV_000003,M_68ce2d69476b,models/M_68ce2d69476b.yaml,Isoleucine(aq),Isoleucine(aq),0.0,101325.0,1ea562e53b2d4116,ok,0.001514541989308782,
ISO_INV_000004,ISO_INV_000004,M_68ce2d69476b,models/M_68ce2d69476b.yaml,Isoleucine(aq),Isoleucine(aq),0.0,101325.0,731666245d6b27c8,ok,0.0014268329978222027,
ISO_INV_000005,ISO_INV_000005,M_68ce2d69476b,models/M_68ce2d69476b.yaml,Isoleucine(aq),Isoleucine(aq),0.0,101325.0,ed5a1c78db91f7c0,ok,0.0011447500000940636,
ISO_INV_000006,ISO_INV_000006,M_68ce2d69476b,models/M_68ce2d69476b.yaml,Isoleucine(aq),Isoleucine(aq),0.0,101325.0,84b9b8e88446e198,ok,0.001271499990252778,
ISO_DG_000001,ISO_DG_000001,M_778e2f8bc45f,models/M_778e2f8bc45f.yaml,Isoleucine(aq),Isoleucine__dG_m200(aq),0.0,101325.0,a6c1b2e950692866,ok,0.009796458994969726,
ISO_DG_000002,ISO_DG_000002,M_52cf6925a956,models/M_52cf6925a956.yaml,Isoleucine(aq),Isoleucine__dG_m160(aq),0.0,101325.0,2885c60cd0f6d47c,ok,0.018183667008997872,
ISO_DG_000003,ISO_DG_000003,M_091285c4ff1d,models/M_091285c4ff1d.yaml,Isoleucine(aq),Isoleucine__dG_m120(aq),0.0,101325.0,5306a9098080699c,ok,0.009579875011695549,
ISO_DG_000004,ISO_DG_000004,M_5d6a2eeb4ee4,models/M_5d6a2eeb4ee4.yaml,Isoleucine(aq),Isoleucine__dG_m080(aq),0.0,101325.0,1a5cc5ec3e3184d1,ok,0.009151167003437877,
ISO_DG_000005,ISO_DG_000005,M_23e386c29b50,models/M_23e386c29b50.yaml,Isoleucine(aq),Isoleucine__dG_m040(aq),0.0,101325.0,9bbf6e9fb2814a77,ok,0.014389500007382594,
ISO_DG_000006,ISO_DG_000006,M_b9cf7a446896,models/M_b9cf7a446896.yaml,Isoleucine(aq),Isoleucine__dG_000(aq),0.0,101325.0,b2b3130e8dc54b03,ok,0.019822583999484777,
ISO_DG_000007,ISO_DG_000007,M_45d9b08d1a5b,models/M_45d9b08d1a5b.yaml,Isoleucine(aq),Isoleucine__dG_p040(aq),0.0,101325.0,b1f958856bdd6c1b,ok,0.008341499997186475,
ISO_DG_000008,ISO_DG_000008,M_1c88cb31f1ae,models/M_1c88cb31f1ae.yaml,Isoleucine(aq),Isoleucine__dG_p080(aq),0.0,101325.0,41de62f395beae8f,ok,0.009530250012176111,
ISO_DG_000009,ISO_DG_000009,M_a290f76c82e5,models/M_a290f76c82e5.yaml,Isoleucine(aq),Isoleucine__dG_p120(aq),0.0,101325.0,d1d1b65d90eec6e2,ok,0.015883625004789792,
ISO_DG_000010,ISO_DG_000010,M_f9efd4daf67f,models/M_f9efd4daf67f.yaml,Isoleucine(aq),Isoleucine__dG_p160(aq),0.0,101325.0,e566086c885b4d91,ok,0.019539166998583823,
ISO_DG_000011,ISO_DG_000011,M_70a8d2196992,models/M_70a8d2196992.yaml,Isoleucine(aq),Isoleucine__dG_p200(aq),0.0,101325.0,81f4244b7a8a05b2,ok,0.008681957988301292,
