study_id,substudy_id,target_product,target_variant,model_id,T_C,P_Pa,runtime_seconds,H2O_mol,HCN_mol,C2H2_mol,NH3_mol,C2H2_over_HCN,deltaG_offset_kJ_mol,case_id,X_eq,log10_X_eq,n_eq_mol,log10_n_eq_mol,formed_bool,formation_call,solver_status,error_message,element_balance_relative_spread,suspect_balance
leucine,deltaG_sweep,Leucine(aq),Leucine__dG_m200(aq),M_81a084a53c46,0.0,101325.0,0.0075188750051893,1.0,0.02,0.042,0.05,2.1,-200.0,LEU_DG_000001,0.0134357005758157,-1.8717396832852689,0.013999999999999981,-1.8538719643217625,True,significant,ok,nan,3.1964194566943037e-15,False
leucine,deltaG_sweep,Leucine(aq),Leucine__dG_m160(aq),M_65d9179cac52,0.0,101325.0,0.006206292004208,1.0,0.02,0.042,0.05,2.1,-160.0,LEU_DG_000002,0.0134357005758157,-1.8717396832852689,0.013999999999999981,-1.8538719643217625,True,significant,ok,nan,3.1964194566943037e-15,False
leucine,deltaG_sweep,Leucine(aq),Leucine__dG_m120(aq),M_8ce79298d8d0,0.0,101325.0,0.006380833001458,1.0,0.02,0.042,0.05,2.1,-120.0,LEU_DG_000003,0.0134357005758157,-1.8717396832852689,0.013999999999999981,-1.8538719643217625,True,significant,ok,nan,3.1964194566943037e-15,False
leucine,deltaG_sweep,Leucine(aq),Leucine__dG_m080(aq),M_b3587eb16649,0.0,101325.0,0.006005625007674,1.0,0.02,0.042,0.05,2.1,-80.0,LEU_DG_000004,0.0134357005758157,-1.8717396832852689,0.013999999999999981,-1.8538719643217625,True,significant,ok,nan,3.1964194566943037e-15,False
leucine,deltaG_sweep,Leucine(aq),Leucine__dG_m040(aq),M_83a56b736286,0.0,101325.0,0.0064073329995153,1.0,0.02,0.042,0.05,2.1,-40.0,LEU_DG_000005,0.0134357005758157,-1.8717396832852689,0.013999999999999981,-1.8538719643217625,True,significant,ok,nan,3.1964194566943037e-15,False
leucine,deltaG_sweep,Leucine(aq),Leucine__dG_000(aq),M_0e18ed62be40,0.0,101325.0,0.0060617080016527,1.0,0.02,0.042,0.05,2.1,0.0,LEU_DG_000006,0.0134357005758157,-1.8717396832852689,0.013999999999999981,-1.8538719643217625,True,significant,ok,nan,3.1964194566943037e-15,False
leucine,deltaG_sweep,Leucine(aq),Leucine__dG_p040(aq),M_f85cfbacd567,0.0,101325.0,0.011444042000221,1.0,0.02,0.042,0.05,2.1,40.0,LEU_DG_000007,0.0134357005758157,-1.8717396832852689,0.013999999999999981,-1.8538719643217625,True,significant,ok,nan,3.1964194566943037e-15,False
leucine,deltaG_sweep,Leucine(aq),Leucine__dG_p080(aq),M_b235c25d0af4,0.0,101325.0,0.0065463339997222,1.0,0.02,0.042,0.05,2.1,80.0,LEU_DG_000008,0.0134357005758157,-1.8717396832852689,0.013999999999999981,-1.8538719643217625,True,significant,ok,nan,3.1964194566943037e-15,False
leucine,deltaG_sweep,Leucine(aq),Leucine__dG_p120(aq),M_bef1f9a3bf14,0.0,101325.0,0.0061943330074427,1.0,0.02,0.042,0.05,2.1,120.0,LEU_DG_000009,0.0134357005758157,-1.8717396832852689,0.013999999999999981,-1.8538719643217625,True,significant,ok,nan,3.1964194566943037e-15,False
leucine,deltaG_sweep,Leucine(aq),Leucine__dG_p160(aq),M_40a21582dece,0.0,101325.0,0.0076007090101484,1.0,0.02,0.042,0.05,2.1,160.0,LEU_DG_000010,0.0134357005758157,-1.8717396832852689,0.013999999999999981,-1.8538719643217625,True,significant,ok,nan,3.1964194566943037e-15,False
