case_id,scenario_id,model_id,yaml_path,target_product,target_variant,T_C,P_Pa,case_hash,status,runtime_seconds,error_message
LEU_INV_000001,LEU_INV_000001,M_93d276dffea4,models/M_93d276dffea4.yaml,Leucine(aq),Leucine(aq),0.0,101325.0,31adde6022a60b8f,ok,0.007611624998389743,
LEU_INV_000002,LEU_INV_000002,M_93d276dffea4,models/M_93d276dffea4.yaml,Leucine(aq),Leucine(aq),0.0,101325.0,1d342d1a8167cddb,ok,0.0013067920081084594,
LEU_INV_000003,LEU_INV_000003,M_93d276dffea4,models/M_93d276dffea4.yaml,Leucine(aq),Leucine(aq),0.0,101325.0,1a7e8ab00b221329,ok,0.0015807500021765009,
LEU_INV_000004,LEU_INV_000004,M_93d276dffea4,models/M_93d276dffea4.yaml,Leucine(aq),Leucine(aq),0.0,101325.0,204e21e17426ed7e,ok,0.0014597090048482642,
LEU_INV_000005,LEU_INV_000005,M_93d276dffea4,models/M_93d276dffea4.yaml,Leucine(aq),Leucine(aq),0.0,101325.0,f86abfcc7985930f,ok,0.001504582993220538,
LEU_INV_000006,LEU_INV_000006,M_93d276dffea4,models/M_93d276dffea4.yaml,Leucine(aq),Leucine(aq),0.0,101325.0,0dca219af0421c38,ok,0.0011476670042611659,
LEU_DG_000001,LEU_DG_000001,M_81a084a53c46,models/M_81a084a53c46.yaml,Leucine(aq),Leucine__dG_m200(aq),0.0,101325.0,c3e31b6bd4cb7f4d,ok,0.007518875005189329,
LEU_DG_000002,LEU_DG_000002,M_65d9179cac52,models/M_65d9179cac52.yaml,Leucine(aq),Leucine__dG_m160(aq),0.0,101325.0,64f962b0483329ea,ok,0.0062062920042080805,
LEU_DG_000003,LEU_DG_000003,M_8ce79298d8d0,models/M_8ce79298d8d0.yaml,Leucine(aq),Leucine__dG_m120(aq),0.0,101325.0,d5f2ecbda4f77a2a,ok,0.006380833001458086,
LEU_DG_000004,LEU_DG_000004,M_b3587eb16649,models/M_b3587eb16649.yaml,Leucine(aq),Leucine__dG_m080(aq),0.0,101325.0,8856b451c2a34eb2,ok,0.006005625007674098,
LEU_DG_000005,LEU_DG_000005,M_83a56b736286,models/M_83a56b736286.yaml,Leucine(aq),Leucine__dG_m040(aq),0.0,101325.0,32da554222dd6abc,ok,0.006407332999515347,
LEU_DG_000006,LEU_DG_000006,M_0e18ed62be40,models/M_0e18ed62be40.yaml,Leucine(aq),Leucine__dG_000(aq),0.0,101325.0,9ac4f665884bb26e,ok,0.0060617080016527325,
LEU_DG_000007,LEU_DG_000007,M_f85cfbacd567,models/M_f85cfbacd567.yaml,Leucine(aq),Leucine__dG_p040(aq),0.0,101325.0,cb131fa53ec7fdd4,ok,0.011444042000221089,
LEU_DG_000008,LEU_DG_000008,M_b235c25d0af4,models/M_b235c25d0af4.yaml,Leucine(aq),Leucine__dG_p080(aq),0.0,101325.0,c507676eacc77b9f,ok,0.006546333999722265,
LEU_DG_000009,LEU_DG_000009,M_bef1f9a3bf14,models/M_bef1f9a3bf14.yaml,Leucine(aq),Leucine__dG_p120(aq),0.0,101325.0,9d494961762540a5,ok,0.006194333007442765,
LEU_DG_000010,LEU_DG_000010,M_40a21582dece,models/M_40a21582dece.yaml,Leucine(aq),Leucine__dG_p160(aq),0.0,101325.0,fb465a660e6b099d,ok,0.007600709010148421,
LEU_DG_000011,LEU_DG_000011,M_fa83dbf529e5,models/M_fa83dbf529e5.yaml,Leucine(aq),Leucine__dG_p200(aq),0.0,101325.0,626c9f8696e7fb91,ok,0.008582374997786246,
