case_id,study_id,substudy_id,target_product,target_variant,H2O_mol,HCN_mol,C2H2_mol,NH3_mol,C2H2_over_HCN,deltaG_offset_kJ_mol,T_C,P_Pa,scenario_id,model_id,case_hash
LYS_INV_000001,lysine,inventory_landscape,Lysine(aq),Lysine(aq),1.0,0.02,0.042,0.01,2.1,0.0,0.0,101325.0,LYS_INV_000001,M_2ef2c3a4f1b6,bb8e34693d9a13fb
LYS_INV_000002,lysine,inventory_landscape,Lysine(aq),Lysine(aq),1.0,0.02,0.042,0.02,2.1,0.0,0.0,101325.0,LYS_INV_000002,M_2ef2c3a4f1b6,21af2261668312e9
LYS_INV_000003,lysine,inventory_landscape,Lysine(aq),Lysine(aq),1.0,0.02,0.042,0.03,2.1,0.0,0.0,101325.0,LYS_INV_000003,M_2ef2c3a4f1b6,70e865565d1db8e1
LYS_INV_000004,lysine,inventory_landscape,Lysine(aq),Lysine(aq),1.0,0.02,0.042,0.04,2.1,0.0,0.0,101325.0,LYS_INV_000004,M_2ef2c3a4f1b6,6cab3439d9a3e76c
LYS_INV_000005,lysine,inventory_landscape,Lysine(aq),Lysine(aq),1.0,0.02,0.042,0.05,2.1,0.0,0.0,101325.0,LYS_INV_000005,M_2ef2c3a4f1b6,bfa77a7cea9786b4
LYS_INV_000006,lysine,inventory_landscape,Lysine(aq),Lysine(aq),1.0,0.02,0.042,0.1,2.1,0.0,0.0,101325.0,LYS_INV_000006,M_2ef2c3a4f1b6,ca444e39f21f0212
LYS_DG_000001,lysine,deltaG_sweep,Lysine(aq),Lysine__dG_m200(aq),1.0,0.02,0.042,0.05,2.1,-200.0,0.0,101325.0,LYS_DG_000001,M_e3c1f95ff58d,4093e0514c870680
LYS_DG_000002,lysine,deltaG_sweep,Lysine(aq),Lysine__dG_m160(aq),1.0,0.02,0.042,0.05,2.1,-160.0,0.0,101325.0,LYS_DG_000002,M_8ededdb20164,fd87b0da45ea10d4
LYS_DG_000003,lysine,deltaG_sweep,Lysine(aq),Lysine__dG_m120(aq),1.0,0.02,0.042,0.05,2.1,-120.0,0.0,101325.0,LYS_DG_000003,M_24307822855c,dd3b1aef9391dfab
LYS_DG_000004,lysine,deltaG_sweep,Lysine(aq),Lysine__dG_m080(aq),1.0,0.02,0.042,0.05,2.1,-80.0,0.0,101325.0,LYS_DG_000004,M_90b2d3df7df0,156d1fe996d69cc8
LYS_DG_000005,lysine,deltaG_sweep,Lysine(aq),Lysine__dG_m040(aq),1.0,0.02,0.042,0.05,2.1,-40.0,0.0,101325.0,LYS_DG_000005,M_efcf4b463ff8,e503bb30ea7e05f1
LYS_DG_000006,lysine,deltaG_sweep,Lysine(aq),Lysine__dG_000(aq),1.0,0.02,0.042,0.05,2.1,0.0,0.0,101325.0,LYS_DG_000006,M_58dc5700bf92,6c255bd1e5d99b02
LYS_DG_000007,lysine,deltaG_sweep,Lysine(aq),Lysine__dG_p040(aq),1.0,0.02,0.042,0.05,2.1,40.0,0.0,101325.0,LYS_DG_000007,M_4e05bd30a7ab,2a25eb0443eeb164
LYS_DG_000008,lysine,deltaG_sweep,Lysine(aq),Lysine__dG_p080(aq),1.0,0.02,0.042,0.05,2.1,80.0,0.0,101325.0,LYS_DG_000008,M_fe500f1c4c0d,098fd5a576525ea7
LYS_DG_000009,lysine,deltaG_sweep,Lysine(aq),Lysine__dG_p120(aq),1.0,0.02,0.042,0.05,2.1,120.0,0.0,101325.0,LYS_DG_000009,M_2f1471c27b48,20a8d5077a3aef1e
LYS_DG_000010,lysine,deltaG_sweep,Lysine(aq),Lysine__dG_p160(aq),1.0,0.02,0.042,0.05,2.1,160.0,0.0,101325.0,LYS_DG_000010,M_e364b475502c,d97e386aa29848a5
LYS_DG_000011,lysine,deltaG_sweep,Lysine(aq),Lysine__dG_p200(aq),1.0,0.02,0.042,0.05,2.1,200.0,0.0,101325.0,LYS_DG_000011,M_ed0bcface25c,fb7e20fb851bbc02
