study_id,substudy_id,target_product,target_variant,model_id,T_C,P_Pa,runtime_seconds,H2O_mol,HCN_mol,C2H2_mol,NH3_mol,C2H2_over_HCN,deltaG_offset_kJ_mol,case_id,X_eq,log10_X_eq,n_eq_mol,log10_n_eq_mol,formed_bool,formation_call,solver_status,error_message,element_balance_relative_spread,suspect_balance
lysine,deltaG_sweep,Lysine(aq),Lysine__dG_m200(aq),M_e3c1f95ff58d,0.0,101325.0,0.0057098329998552,1.0,0.02,0.042,0.05,2.1,-200.0,LYS_DG_000001,0.0153996577853825,-1.8124889300447935,0.01574999999999998,-1.8027194418743813,True,significant,ok,nan,2.822370925470938e-15,False
lysine,deltaG_sweep,Lysine(aq),Lysine__dG_m160(aq),M_8ededdb20164,0.0,101325.0,0.0055537500011269,1.0,0.02,0.042,0.05,2.1,-160.0,LYS_DG_000002,0.0153996577853825,-1.8124889300447935,0.01574999999999998,-1.8027194418743813,True,significant,ok,nan,2.822370925470938e-15,False
lysine,deltaG_sweep,Lysine(aq),Lysine__dG_m120(aq),M_24307822855c,0.0,101325.0,0.0060022090037819,1.0,0.02,0.042,0.05,2.1,-120.0,LYS_DG_000003,0.0153996577853825,-1.8124889300447935,0.01574999999999998,-1.8027194418743813,True,significant,ok,nan,2.822370925470938e-15,False
lysine,deltaG_sweep,Lysine(aq),Lysine__dG_m080(aq),M_90b2d3df7df0,0.0,101325.0,0.0056502090010326,1.0,0.02,0.042,0.05,2.1,-80.0,LYS_DG_000004,0.0153996577853825,-1.8124889300447935,0.01574999999999998,-1.8027194418743813,True,significant,ok,nan,2.822370925470938e-15,False
lysine,deltaG_sweep,Lysine(aq),Lysine__dG_m040(aq),M_efcf4b463ff8,0.0,101325.0,0.0058072079991688,1.0,0.02,0.042,0.05,2.1,-40.0,LYS_DG_000005,0.0153996577853825,-1.8124889300447935,0.01574999999999998,-1.8027194418743813,True,significant,ok,nan,2.822370925470938e-15,False
lysine,deltaG_sweep,Lysine(aq),Lysine__dG_000(aq),M_58dc5700bf92,0.0,101325.0,0.0055253750033443,1.0,0.02,0.042,0.05,2.1,0.0,LYS_DG_000006,0.0153996577853825,-1.8124889300447935,0.01574999999999998,-1.8027194418743813,True,significant,ok,nan,2.822370925470938e-15,False
lysine,deltaG_sweep,Lysine(aq),Lysine__dG_p040(aq),M_4e05bd30a7ab,0.0,101325.0,0.0059233329957351,1.0,0.02,0.042,0.05,2.1,40.0,LYS_DG_000007,0.0153996577853825,-1.8124889300447935,0.01574999999999998,-1.8027194418743813,True,significant,ok,nan,2.822370925470938e-15,False
lysine,deltaG_sweep,Lysine(aq),Lysine__dG_p080(aq),M_fe500f1c4c0d,0.0,101325.0,0.0055434160021832,1.0,0.02,0.042,0.05,2.1,80.0,LYS_DG_000008,0.0153996577853825,-1.8124889300447935,0.01574999999999998,-1.8027194418743813,True,significant,ok,nan,2.822370925470938e-15,False
lysine,deltaG_sweep,Lysine(aq),Lysine__dG_p120(aq),M_2f1471c27b48,0.0,101325.0,0.0055415419919881,1.0,0.02,0.042,0.05,2.1,120.0,LYS_DG_000009,0.0153996577853825,-1.8124889300447935,0.01574999999999998,-1.8027194418743813,True,significant,ok,nan,2.822370925470938e-15,False
lysine,deltaG_sweep,Lysine(aq),Lysine__dG_p160(aq),M_e364b475502c,0.0,101325.0,0.0059330829972168,1.0,0.02,0.042,0.05,2.1,160.0,LYS_DG_000010,0.0153996577853825,-1.8124889300447935,0.015749999999999986,-1.802719441874381,True,significant,ok,nan,4.55921457191459e-15,False
lysine,deltaG_sweep,Lysine(aq),Lysine__dG_p200(aq),M_ed0bcface25c,0.0,101325.0,0.005602874996839,1.0,0.02,0.042,0.05,2.1,200.0,LYS_DG_000011,0.0153996577853825,-1.8124889300447935,0.01574999999999998,-1.8027194418743813,True,significant,ok,nan,2.822370925470938e-15,False
lysine,inventory_landscape,Lysine(aq),Lysine(aq),M_2ef2c3a4f1b6,0.0,101325.0,0.0065459579927846,1.0,0.02,0.042,0.01,2.1,0.0,LYS_INV_000001,0.0072850898494414,-2.1375650875623546,0.007499999999999941,-2.1249387366083035,True,significant,ok,nan,6.686141576178681e-15,False
lysine,inventory_landscape,Lysine(aq),Lysine(aq),M_2ef2c3a4f1b6,0.0,101325.0,0.0010691659990698,1.0,0.02,0.042,0.02,2.1,0.0,LYS_INV_000002,0.0150451354062186,-1.822603899255976,0.014999999999999975,-1.8239087409443195,True,significant,ok,nan,5.2337494641306165e-15,False
lysine,inventory_landscape,Lysine(aq),Lysine(aq),M_2ef2c3a4f1b6,0.0,101325.0,0.0009843330044532,1.0,0.02,0.042,0.03,2.1,0.0,LYS_INV_000003,0.0157068062827225,-1.8039121125280655,0.015749999999999997,-1.8027194418743808,True,significant,ok,nan,1.7714852549491392e-15,False
lysine,inventory_landscape,Lysine(aq),Lysine(aq),M_2ef2c3a4f1b6,0.0,101325.0,0.0009787090093595,1.0,0.02,0.042,0.04,2.1,0.0,LYS_INV_000004,0.0155517156257714,-1.8082216937300069,0.01575,-1.8027194418743806,True,significant,ok,nan,1.0962458895336021e-15,False
