scenario,model_mode,yaml_file,target_product,T_C,T_K,P_Pa,species,X_initial,X_eq,initial_moles,solver_status,error_message,case_id,model_id,target_variant,runtime_seconds,study_id,substudy_id,H2O_mol,HCN_mol,C2H2_mol,NH3_mol,C2H2_over_HCN,deltaG_offset_kJ_mol
PHE_INV_000001,single_product_sensitivity,M_fa595e829adc.yaml,Phenylalanine(aq),0.0,273.15,101325.0,H2O(l),0.9328358208955223,0.9702112294638021,1.0,ok,,PHE_INV_000001,M_fa595e829adc,Phenylalanine(aq),0.0069852080050623044,phenylalanine,inventory_landscape,1.0,0.02,0.042,0.01,2.1,0.0
PHE_INV_000001,single_product_sensitivity,M_fa595e829adc.yaml,Phenylalanine(aq),0.0,273.15,101325.0,HCN(aq),0.018656716417910446,0.0009026900162484252,0.02,ok,,PHE_INV_000001,M_fa595e829adc,Phenylalanine(aq),0.0069852080050623044,phenylalanine,inventory_landscape,1.0,0.02,0.042,0.01,2.1,0.0
PHE_INV_000001,single_product_sensitivity,M_fa595e829adc.yaml,Phenylalanine(aq),0.0,273.15,101325.0,C2H2(aq),0.03917910447761194,1.1199524637329288e-39,0.042,ok,,PHE_INV_000001,M_fa595e829adc,Phenylalanine(aq),0.0069852080050623044,phenylalanine,inventory_landscape,1.0,0.02,0.042,0.01,2.1,0.0
PHE_INV_000001,single_product_sensitivity,M_fa595e829adc.yaml,Phenylalanine(aq),0.0,273.15,101325.0,NH3(aq),0.009328358208955223,0.017512186315219353,0.01,ok,,PHE_INV_000001,M_fa595e829adc,Phenylalanine(aq),0.0069852080050623044,phenylalanine,inventory_landscape,1.0,0.02,0.042,0.01,2.1,0.0
PHE_INV_000001,single_product_sensitivity,M_fa595e829adc.yaml,Phenylalanine(aq),0.0,273.15,101325.0,Phenylalanine(aq),0.0,0.011373894204730095,0.0,ok,,PHE_INV_000001,M_fa595e829adc,Phenylalanine(aq),0.0069852080050623044,phenylalanine,inventory_landscape,1.0,0.02,0.042,0.01,2.1,0.0
PHE_INV_000002,single_product_sensitivity,M_fa595e829adc.yaml,Phenylalanine(aq),0.0,273.15,101325.0,H2O(l),0.9242144177449167,0.960672148730783,1.0,ok,,PHE_INV_000002,M_fa595e829adc,Phenylalanine(aq),0.001071499995305203,phenylalanine,inventory_landscape,1.0,0.02,0.042,0.02,2.1,0.0
PHE_INV_000002,single_product_sensitivity,M_fa595e829adc.yaml,Phenylalanine(aq),0.0,273.15,101325.0,HCN(aq),0.018484288354898334,0.0008938148015731174,0.02,ok,,PHE_INV_000002,M_fa595e829adc,Phenylalanine(aq),0.001071499995305203,phenylalanine,inventory_landscape,1.0,0.02,0.042,0.02,2.1,0.0
PHE_INV_000002,single_product_sensitivity,M_fa595e829adc.yaml,Phenylalanine(aq),0.0,273.15,101325.0,C2H2(aq),0.038817005545286505,1.2218215971616268e-39,0.042,ok,,PHE_INV_000002,M_fa595e829adc,Phenylalanine(aq),0.001071499995305203,phenylalanine,inventory_landscape,1.0,0.02,0.042,0.02,2.1,0.0
PHE_INV_000002,single_product_sensitivity,M_fa595e829adc.yaml,Phenylalanine(aq),0.0,273.15,101325.0,NH3(aq),0.018484288354898334,0.027171969967822656,0.02,ok,,PHE_INV_000002,M_fa595e829adc,Phenylalanine(aq),0.001071499995305203,phenylalanine,inventory_landscape,1.0,0.02,0.042,0.02,2.1,0.0
PHE_INV_000002,single_product_sensitivity,M_fa595e829adc.yaml,Phenylalanine(aq),0.0,273.15,101325.0,Phenylalanine(aq),0.0,0.011262066499821234,0.0,ok,,PHE_INV_000002,M_fa595e829adc,Phenylalanine(aq),0.001071499995305203,phenylalanine,inventory_landscape,1.0,0.02,0.042,0.02,2.1,0.0
PHE_INV_000003,single_product_sensitivity,M_fa595e829adc.yaml,Phenylalanine(aq),0.0,273.15,101325.0,H2O(l),0.9157509157509157,0.9513188174898212,1.0,ok,,PHE_INV_000003,M_fa595e829adc,Phenylalanine(aq),0.0010010830010287464,phenylalanine,inventory_landscape,1.0,0.02,0.042,0.03,2.1,0.0
PHE_INV_000003,single_product_sensitivity,M_fa595e829adc.yaml,Phenylalanine(aq),0.0,273.15,101325.0,HCN(aq),0.018315018315018312,0.0008851124092759798,0.02,ok,,PHE_INV_000003,M_fa595e829adc,Phenylalanine(aq),0.0010010830010287464,phenylalanine,inventory_landscape,1.0,0.02,0.042,0.03,2.1,0.0
PHE_INV_000003,single_product_sensitivity,M_fa595e829adc.yaml,Phenylalanine(aq),0.0,273.15,101325.0,C2H2(aq),0.038461538461538464,1.2993081977492057e-39,0.042,ok,,PHE_INV_000003,M_fa595e829adc,Phenylalanine(aq),0.0010010830010287464,phenylalanine,inventory_landscape,1.0,0.02,0.042,0.03,2.1,0.0
PHE_INV_000003,single_product_sensitivity,M_fa595e829adc.yaml,Phenylalanine(aq),0.0,273.15,101325.0,NH3(aq),0.02747252747252747,0.03664365374402548,0.03,ok,,PHE_INV_000003,M_fa595e829adc,Phenylalanine(aq),0.0010010830010287464,phenylalanine,inventory_landscape,1.0,0.02,0.042,0.03,2.1,0.0
PHE_INV_000003,single_product_sensitivity,M_fa595e829adc.yaml,Phenylalanine(aq),0.0,273.15,101325.0,Phenylalanine(aq),0.0,0.011152416356877323,0.0,ok,,PHE_INV_000003,M_fa595e829adc,Phenylalanine(aq),0.0010010830010287464,phenylalanine,inventory_landscape,1.0,0.02,0.042,0.03,2.1,0.0
PHE_INV_000004,single_product_sensitivity,M_fa595e829adc.yaml,Phenylalanine(aq),0.0,273.15,101325.0,H2O(l),0.9074410163339383,0.9421458625525948,1.0,ok,,PHE_INV_000004,M_fa595e829adc,Phenylalanine(aq),0.0009905830083880574,phenylalanine,inventory_landscape,1.0,0.02,0.042,0.04,2.1,0.0
PHE_INV_000004,single_product_sensitivity,M_fa595e829adc.yaml,Phenylalanine(aq),0.0,273.15,101325.0,HCN(aq),0.018148820326678763,0.0008765778401122043,0.02,ok,,PHE_INV_000004,M_fa595e829adc,Phenylalanine(aq),0.0009905830083880574,phenylalanine,inventory_landscape,1.0,0.02,0.042,0.04,2.1,0.0
PHE_INV_000004,single_product_sensitivity,M_fa595e829adc.yaml,Phenylalanine(aq),0.0,273.15,101325.0,C2H2(aq),0.038112522686025406,1.3633678427170285e-39,0.042,ok,,PHE_INV_000004,M_fa595e829adc,Phenylalanine(aq),0.0009905830083880574,phenylalanine,inventory_landscape,1.0,0.02,0.042,0.04,2.1,0.0
PHE_INV_000004,single_product_sensitivity,M_fa595e829adc.yaml,Phenylalanine(aq),0.0,273.15,101325.0,NH3(aq),0.03629764065335753,0.04593267882187938,0.04,ok,,PHE_INV_000004,M_fa595e829adc,Phenylalanine(aq),0.0009905830083880574,phenylalanine,inventory_landscape,1.0,0.02,0.042,0.04,2.1,0.0
PHE_INV_000004,single_product_sensitivity,M_fa595e829adc.yaml,Phenylalanine(aq),0.0,273.15,101325.0,Phenylalanine(aq),0.0,0.011044880785413746,0.0,ok,,PHE_INV_000004,M_fa595e829adc,Phenylalanine(aq),0.0009905830083880574,phenylalanine,inventory_landscape,1.0,0.02,0.042,0.04,2.1,0.0
PHE_INV_000005,single_product_sensitivity,M_fa595e829adc.yaml,Phenylalanine(aq),0.0,273.15,101325.0,H2O(l),0.8992805755395683,0.9331481159923598,1.0,ok,,PHE_INV_000005,M_fa595e829adc,Phenylalanine(aq),0.001427458002581261,phenylalanine,inventory_landscape,1.0,0.02,0.042,0.05,2.1,0.0
PHE_INV_000005,single_product_sensitivity,M_fa595e829adc.yaml,Phenylalanine(aq),0.0,273.15,101325.0,HCN(aq),0.017985611510791366,0.0008682062858135048,0.02,ok,,PHE_INV_000005,M_fa595e829adc,Phenylalanine(aq),0.001427458002581261,phenylalanine,inventory_landscape,1.0,0.02,0.042,0.05,2.1,0.0
PHE_INV_000005,single_product_sensitivity,M_fa595e829adc.yaml,Phenylalanine(aq),0.0,273.15,101325.0,C2H2(aq),0.03776978417266187,1.4188391567008694e-39,0.042,ok,,PHE_INV_000005,M_fa595e829adc,Phenylalanine(aq),0.001427458002581261,phenylalanine,inventory_landscape,1.0,0.02,0.042,0.05,2.1,0.0
PHE_INV_000005,single_product_sensitivity,M_fa595e829adc.yaml,Phenylalanine(aq),0.0,273.15,101325.0,NH3(aq),0.044964028776978415,0.05504427852057648,0.05,ok,,PHE_INV_000005,M_fa595e829adc,Phenylalanine(aq),0.001427458002581261,phenylalanine,inventory_landscape,1.0,0.02,0.042,0.05,2.1,0.0
PHE_INV_000005,single_product_sensitivity,M_fa595e829adc.yaml,Phenylalanine(aq),0.0,273.15,101325.0,Phenylalanine(aq),0.0,0.010939399201250217,0.0,ok,,PHE_INV_000005,M_fa595e829adc,Phenylalanine(aq),0.001427458002581261,phenylalanine,inventory_landscape,1.0,0.02,0.042,0.05,2.1,0.0
PHE_INV_000006,single_product_sensitivity,M_fa595e829adc.yaml,Phenylalanine(aq),0.0,273.15,101325.0,H2O(l),0.8605851979345955,0.8906198210142526,1.0,ok,,PHE_INV_000006,M_fa595e829adc,Phenylalanine(aq),0.0011013749899575487,phenylalanine,inventory_landscape,1.0,0.02,0.042,0.1,2.1,0.0
PHE_INV_000006,single_product_sensitivity,M_fa595e829adc.yaml,Phenylalanine(aq),0.0,273.15,101325.0,HCN(aq),0.017211703958691912,0.0008286377195889926,0.02,ok,,PHE_INV_000006,M_fa595e829adc,Phenylalanine(aq),0.0011013749899575487,phenylalanine,inventory_landscape,1.0,0.02,0.042,0.1,2.1,0.0
PHE_INV_000006,single_product_sensitivity,M_fa595e829adc.yaml,Phenylalanine(aq),0.0,273.15,101325.0,C2H2(aq),0.03614457831325302,1.630435234650407e-39,0.042,ok,,PHE_INV_000006,M_fa595e829adc,Phenylalanine(aq),0.0011013749899575487,phenylalanine,inventory_landscape,1.0,0.02,0.042,0.1,2.1,0.0
PHE_INV_000006,single_product_sensitivity,M_fa595e829adc.yaml,Phenylalanine(aq),0.0,273.15,101325.0,NH3(aq),0.08605851979345956,0.09811070599933708,0.1,ok,,PHE_INV_000006,M_fa595e829adc,Phenylalanine(aq),0.0011013749899575487,phenylalanine,inventory_landscape,1.0,0.02,0.042,0.1,2.1,0.0
