case_id,study_id,substudy_id,target_product,target_variant,H2O_mol,HCN_mol,C2H2_mol,NH3_mol,C2H2_over_HCN,deltaG_offset_kJ_mol,T_C,P_Pa,scenario_id,model_id,case_hash
PRO_INV_000001,proline,inventory_landscape,Proline(aq),Proline(aq),1.0,0.02,0.042,0.01,2.1,0.0,0.0,101325.0,PRO_INV_000001,M_ca07d559b188,a467c61569523805
PRO_INV_000002,proline,inventory_landscape,Proline(aq),Proline(aq),1.0,0.02,0.042,0.02,2.1,0.0,0.0,101325.0,PRO_INV_000002,M_ca07d559b188,5b8a6b5ac4c7d73f
PRO_INV_000003,proline,inventory_landscape,Proline(aq),Proline(aq),1.0,0.02,0.042,0.03,2.1,0.0,0.0,101325.0,PRO_INV_000003,M_ca07d559b188,99daa6206b1e77d6
PRO_INV_000004,proline,inventory_landscape,Proline(aq),Proline(aq),1.0,0.02,0.042,0.04,2.1,0.0,0.0,101325.0,PRO_INV_000004,M_ca07d559b188,a2eb6cfd89999695
PRO_INV_000005,proline,inventory_landscape,Proline(aq),Proline(aq),1.0,0.02,0.042,0.05,2.1,0.0,0.0,101325.0,PRO_INV_000005,M_ca07d559b188,e37c55f404840543
PRO_INV_000006,proline,inventory_landscape,Proline(aq),Proline(aq),1.0,0.02,0.042,0.1,2.1,0.0,0.0,101325.0,PRO_INV_000006,M_ca07d559b188,338bcec938db656d
PRO_DG_000001,proline,deltaG_sweep,Proline(aq),Proline__dG_m200(aq),1.0,0.02,0.042,0.05,2.1,-200.0,0.0,101325.0,PRO_DG_000001,M_dd4cf420b818,1126e593868bc4e5
PRO_DG_000002,proline,deltaG_sweep,Proline(aq),Proline__dG_m160(aq),1.0,0.02,0.042,0.05,2.1,-160.0,0.0,101325.0,PRO_DG_000002,M_d2fed00085c2,1f6e6031d7aeb47c
PRO_DG_000003,proline,deltaG_sweep,Proline(aq),Proline__dG_m120(aq),1.0,0.02,0.042,0.05,2.1,-120.0,0.0,101325.0,PRO_DG_000003,M_4650e199e97b,5d6aa5c21b0a0b49
PRO_DG_000004,proline,deltaG_sweep,Proline(aq),Proline__dG_m080(aq),1.0,0.02,0.042,0.05,2.1,-80.0,0.0,101325.0,PRO_DG_000004,M_21063c3a787a,330a414b8e3ff440
PRO_DG_000005,proline,deltaG_sweep,Proline(aq),Proline__dG_m040(aq),1.0,0.02,0.042,0.05,2.1,-40.0,0.0,101325.0,PRO_DG_000005,M_9717b513e0e2,523010cd962a38aa
PRO_DG_000006,proline,deltaG_sweep,Proline(aq),Proline__dG_000(aq),1.0,0.02,0.042,0.05,2.1,0.0,0.0,101325.0,PRO_DG_000006,M_5846b8b6a179,4da8b0e31e12a02c
PRO_DG_000007,proline,deltaG_sweep,Proline(aq),Proline__dG_p040(aq),1.0,0.02,0.042,0.05,2.1,40.0,0.0,101325.0,PRO_DG_000007,M_d9a050b9102a,ea34b14827357338
PRO_DG_000008,proline,deltaG_sweep,Proline(aq),Proline__dG_p080(aq),1.0,0.02,0.042,0.05,2.1,80.0,0.0,101325.0,PRO_DG_000008,M_a226d20f4e8e,23f7e45f524642aa
PRO_DG_000009,proline,deltaG_sweep,Proline(aq),Proline__dG_p120(aq),1.0,0.02,0.042,0.05,2.1,120.0,0.0,101325.0,PRO_DG_000009,M_948a48449007,1a913bb23a8be236
PRO_DG_000010,proline,deltaG_sweep,Proline(aq),Proline__dG_p160(aq),1.0,0.02,0.042,0.05,2.1,160.0,0.0,101325.0,PRO_DG_000010,M_bd3d93be7918,66b7f6c91e2ec6ad
PRO_DG_000011,proline,deltaG_sweep,Proline(aq),Proline__dG_p200(aq),1.0,0.02,0.042,0.05,2.1,200.0,0.0,101325.0,PRO_DG_000011,M_d17b7b0d9ab5,657599324edf12dd
