case_id,study_id,substudy_id,target_product,target_variant,model_id,NH3_mol,HCN_mol,C2H2_mol,C2H2_over_HCN,deltaG_offset_kJ_mol,T_C,P_Pa,X_eq,log10_X_eq,n_eq_mol,log10_n_eq_mol,formed_bool,formation_call,solver_status,runtime_seconds
PRO_DG_000001,proline,deltaG_sweep,Proline(aq),Proline__dG_m200(aq),M_dd4cf420b818,0.05,0.02,0.042,2.1,-200.0,0.0,101325.0,0.0193798449612403,-1.7126497016272115,0.019999999999999997,-1.698970004336019,True,significant,ok,0.0066557499958435
PRO_DG_000002,proline,deltaG_sweep,Proline(aq),Proline__dG_m160(aq),M_d2fed00085c2,0.05,0.02,0.042,2.1,-160.0,0.0,101325.0,0.0193798449612403,-1.7126497016272115,0.019999999999999997,-1.698970004336019,True,significant,ok,0.006134249997558
PRO_DG_000003,proline,deltaG_sweep,Proline(aq),Proline__dG_m120(aq),M_4650e199e97b,0.05,0.02,0.042,2.1,-120.0,0.0,101325.0,0.0193798449612403,-1.7126497016272115,0.019999999999999997,-1.698970004336019,True,significant,ok,0.008396665987675
PRO_DG_000004,proline,deltaG_sweep,Proline(aq),Proline__dG_m080(aq),M_21063c3a787a,0.05,0.02,0.042,2.1,-80.0,0.0,101325.0,0.0193798449612403,-1.7126497016272115,0.019999999999999997,-1.698970004336019,True,significant,ok,0.0067834170040441
PRO_DG_000005,proline,deltaG_sweep,Proline(aq),Proline__dG_m040(aq),M_9717b513e0e2,0.05,0.02,0.042,2.1,-40.0,0.0,101325.0,0.0193798449612403,-1.7126497016272115,0.019999999999999997,-1.698970004336019,True,significant,ok,0.0069847919949097
PRO_DG_000006,proline,deltaG_sweep,Proline(aq),Proline__dG_000(aq),M_5846b8b6a179,0.05,0.02,0.042,2.1,0.0,0.0,101325.0,0.0193798449612403,-1.7126497016272115,0.020000000000000004,-1.6989700043360187,True,significant,ok,0.0057908750022761
PRO_DG_000007,proline,deltaG_sweep,Proline(aq),Proline__dG_p040(aq),M_d9a050b9102a,0.05,0.02,0.042,2.1,40.0,0.0,101325.0,0.0193798449612403,-1.7126497016272115,0.019999999999999997,-1.698970004336019,True,significant,ok,0.0059853749989997
PRO_DG_000008,proline,deltaG_sweep,Proline(aq),Proline__dG_p080(aq),M_a226d20f4e8e,0.05,0.02,0.042,2.1,80.0,0.0,101325.0,0.0193798449612403,-1.7126497016272115,0.020000000000000004,-1.6989700043360187,True,significant,ok,0.005973666004138
PRO_DG_000009,proline,deltaG_sweep,Proline(aq),Proline__dG_p120(aq),M_948a48449007,0.05,0.02,0.042,2.1,120.0,0.0,101325.0,0.0193798449612403,-1.7126497016272115,0.020000000000000004,-1.6989700043360187,True,significant,ok,0.0073774589982349
PRO_DG_000010,proline,deltaG_sweep,Proline(aq),Proline__dG_p160(aq),M_bd3d93be7918,0.05,0.02,0.042,2.1,160.0,0.0,101325.0,0.0193798449612403,-1.7126497016272115,0.019999999999999997,-1.698970004336019,True,significant,ok,0.008445291998214
PRO_DG_000011,proline,deltaG_sweep,Proline(aq),Proline__dG_p200(aq),M_d17b7b0d9ab5,0.05,0.02,0.042,2.1,200.0,0.0,101325.0,0.0193798449612403,-1.7126497016272115,0.019999999999999997,-1.698970004336019,True,significant,ok,0.0086645419942215
PRO_INV_000001,proline,inventory_landscape,Proline(aq),Proline(aq),M_ca07d559b188,0.01,0.02,0.042,2.1,0.0,0.0,101325.0,0.0201612903225806,-1.6954816764901985,0.019999999999999983,-1.6989700043360192,True,significant,ok,0.0085663750069215
PRO_INV_000002,proline,inventory_landscape,Proline(aq),Proline(aq),M_ca07d559b188,0.02,0.02,0.042,2.1,0.0,0.0,101325.0,0.0199600798403193,-1.699837725867247,0.019999999999999976,-1.6989700043360194,True,significant,ok,0.0012043750029988
PRO_INV_000003,proline,inventory_landscape,Proline(aq),Proline(aq),M_ca07d559b188,0.03,0.02,0.042,2.1,0.0,0.0,101325.0,0.0197628458498023,-1.7041505168398008,0.019999999999999952,-1.6989700043360199,True,significant,ok,0.0012597919994732
PRO_INV_000004,proline,inventory_landscape,Proline(aq),Proline(aq),M_ca07d559b188,0.04,0.02,0.042,2.1,0.0,0.0,101325.0,0.0195694716242661,-1.7084209001347137,0.019999999999999983,-1.6989700043360192,True,significant,ok,0.001314666995313
PRO_INV_000005,proline,inventory_landscape,Proline(aq),Proline(aq),M_ca07d559b188,0.05,0.02,0.042,2.1,0.0,0.0,101325.0,0.0193798449612403,-1.7126497016272115,0.020000000000000004,-1.6989700043360187,True,significant,ok,0.0010997920035151
PRO_INV_000006,proline,inventory_landscape,Proline(aq),Proline(aq),M_ca07d559b188,0.1,0.02,0.042,2.1,0.0,0.0,101325.0,0.0184842883548983,-1.7331972651065704,0.019999999999999962,-1.6989700043360196,True,significant,ok,0.0010444579966133
