case_id,study_id,substudy_id,target_product,target_variant,H2O_mol,HCN_mol,C2H2_mol,NH3_mol,C2H2_over_HCN,deltaG_offset_kJ_mol,T_C,P_Pa,scenario_id,model_id,case_hash
SER_INV_000001,serine,inventory_landscape,Serine(aq),Serine(aq),1.0,0.02,0.042,0.01,2.1,0.0,0.0,101325.0,SER_INV_000001,M_daa244b2e9b7,b19b0c2cd472b118
SER_INV_000002,serine,inventory_landscape,Serine(aq),Serine(aq),1.0,0.02,0.042,0.02,2.1,0.0,0.0,101325.0,SER_INV_000002,M_daa244b2e9b7,1a4f30b405921b06
SER_INV_000003,serine,inventory_landscape,Serine(aq),Serine(aq),1.0,0.02,0.042,0.03,2.1,0.0,0.0,101325.0,SER_INV_000003,M_daa244b2e9b7,dfaebb005bcfc2ea
SER_INV_000004,serine,inventory_landscape,Serine(aq),Serine(aq),1.0,0.02,0.042,0.04,2.1,0.0,0.0,101325.0,SER_INV_000004,M_daa244b2e9b7,b082bc9477c13994
SER_INV_000005,serine,inventory_landscape,Serine(aq),Serine(aq),1.0,0.02,0.042,0.05,2.1,0.0,0.0,101325.0,SER_INV_000005,M_daa244b2e9b7,7bc820156aa6e7ab
SER_INV_000006,serine,inventory_landscape,Serine(aq),Serine(aq),1.0,0.02,0.042,0.1,2.1,0.0,0.0,101325.0,SER_INV_000006,M_daa244b2e9b7,fd63d346b7f5095c
SER_DG_000001,serine,deltaG_sweep,Serine(aq),Serine__dG_m200(aq),1.0,0.02,0.042,0.05,2.1,-200.0,0.0,101325.0,SER_DG_000001,M_c68cdd0d8195,54e4998ab7b47106
SER_DG_000002,serine,deltaG_sweep,Serine(aq),Serine__dG_m160(aq),1.0,0.02,0.042,0.05,2.1,-160.0,0.0,101325.0,SER_DG_000002,M_1b087787f2c4,d593fbc934a28ea6
SER_DG_000003,serine,deltaG_sweep,Serine(aq),Serine__dG_m120(aq),1.0,0.02,0.042,0.05,2.1,-120.0,0.0,101325.0,SER_DG_000003,M_101c1b6765c1,6fe9f8c30450f1b0
SER_DG_000004,serine,deltaG_sweep,Serine(aq),Serine__dG_m080(aq),1.0,0.02,0.042,0.05,2.1,-80.0,0.0,101325.0,SER_DG_000004,M_e5ca8ea2701e,72fa57216daf359e
SER_DG_000005,serine,deltaG_sweep,Serine(aq),Serine__dG_m040(aq),1.0,0.02,0.042,0.05,2.1,-40.0,0.0,101325.0,SER_DG_000005,M_37f5ed544d3c,f9c0e98a27816070
SER_DG_000006,serine,deltaG_sweep,Serine(aq),Serine__dG_000(aq),1.0,0.02,0.042,0.05,2.1,0.0,0.0,101325.0,SER_DG_000006,M_e47b82f180a4,de5684994c1fbb48
SER_DG_000007,serine,deltaG_sweep,Serine(aq),Serine__dG_p040(aq),1.0,0.02,0.042,0.05,2.1,40.0,0.0,101325.0,SER_DG_000007,M_b8c42041f6f5,ffba96bd63fb5a94
SER_DG_000008,serine,deltaG_sweep,Serine(aq),Serine__dG_p080(aq),1.0,0.02,0.042,0.05,2.1,80.0,0.0,101325.0,SER_DG_000008,M_9bd8fdbaf4c4,7b52cb40c85c657a
SER_DG_000009,serine,deltaG_sweep,Serine(aq),Serine__dG_p120(aq),1.0,0.02,0.042,0.05,2.1,120.0,0.0,101325.0,SER_DG_000009,M_b80f25520713,363cc8bd82281988
SER_DG_000010,serine,deltaG_sweep,Serine(aq),Serine__dG_p160(aq),1.0,0.02,0.042,0.05,2.1,160.0,0.0,101325.0,SER_DG_000010,M_489a8d50ec60,0ed49b745a3c439b
SER_DG_000011,serine,deltaG_sweep,Serine(aq),Serine__dG_p200(aq),1.0,0.02,0.042,0.05,2.1,200.0,0.0,101325.0,SER_DG_000011,M_4f87fa912f31,3a5e0b8e7cd4405a
