model_id,yaml_path,model_mode,target_variant,base_species,thermo_variant_id,species_set_hash,thermo_hash
M_daa244b2e9b7,models/M_daa244b2e9b7.yaml,single_product_sensitivity,Serine(aq),H2O(l);HCN(aq);C2H2(aq);NH3(aq),base,91535e34066a,71ff33a75cd6
M_c68cdd0d8195,models/M_c68cdd0d8195.yaml,single_product_sensitivity,Serine__dG_m200(aq),H2O(l);HCN(aq);C2H2(aq);NH3(aq),dG_m200,45e071086d9f,06d6e1046b7f
M_1b087787f2c4,models/M_1b087787f2c4.yaml,single_product_sensitivity,Serine__dG_m160(aq),H2O(l);HCN(aq);C2H2(aq);NH3(aq),dG_m160,2b661a775a83,61a236486297
M_101c1b6765c1,models/M_101c1b6765c1.yaml,single_product_sensitivity,Serine__dG_m120(aq),H2O(l);HCN(aq);C2H2(aq);NH3(aq),dG_m120,fe000555c029,039a7b1c52ab
M_e5ca8ea2701e,models/M_e5ca8ea2701e.yaml,single_product_sensitivity,Serine__dG_m080(aq),H2O(l);HCN(aq);C2H2(aq);NH3(aq),dG_m080,2ada5f96648c,818e5cdfc538
M_37f5ed544d3c,models/M_37f5ed544d3c.yaml,single_product_sensitivity,Serine__dG_m040(aq),H2O(l);HCN(aq);C2H2(aq);NH3(aq),dG_m040,1a36f533b26e,86bd46554db5
M_e47b82f180a4,models/M_e47b82f180a4.yaml,single_product_sensitivity,Serine__dG_000(aq),H2O(l);HCN(aq);C2H2(aq);NH3(aq),dG_000,b18df7936fdf,ce9e803c6f7e
M_b8c42041f6f5,models/M_b8c42041f6f5.yaml,single_product_sensitivity,Serine__dG_p040(aq),H2O(l);HCN(aq);C2H2(aq);NH3(aq),dG_p040,3dfff07b40ff,e6933f33267d
M_9bd8fdbaf4c4,models/M_9bd8fdbaf4c4.yaml,single_product_sensitivity,Serine__dG_p080(aq),H2O(l);HCN(aq);C2H2(aq);NH3(aq),dG_p080,46cf311941c5,a8c1a55b9bcd
M_b80f25520713,models/M_b80f25520713.yaml,single_product_sensitivity,Serine__dG_p120(aq),H2O(l);HCN(aq);C2H2(aq);NH3(aq),dG_p120,3ef74f317125,f8acf37f88b0
M_489a8d50ec60,models/M_489a8d50ec60.yaml,single_product_sensitivity,Serine__dG_p160(aq),H2O(l);HCN(aq);C2H2(aq);NH3(aq),dG_p160,5f3ff5f689c7,265eca00c49b
M_4f87fa912f31,models/M_4f87fa912f31.yaml,single_product_sensitivity,Serine__dG_p200(aq),H2O(l);HCN(aq);C2H2(aq);NH3(aq),dG_p200,15a0ced65b1b,debbadc69e48
