scenario,model_mode,yaml_file,target_product,T_C,T_K,P_Pa,species,X_initial,X_eq,initial_moles,solver_status,error_message,case_id,model_id,target_variant,runtime_seconds,study_id,substudy_id,H2O_mol,HCN_mol,C2H2_mol,NH3_mol,C2H2_over_HCN,deltaG_offset_kJ_mol,n_total_eq_mol,n_eq_mol,element_balance_relative_spread,element_total_mole_estimates
SER_DG_000001,single_product_sensitivity,M_c68cdd0d8195.yaml,Serine(aq),0.0,273.15,101325.0,H2O(l),0.8992805755395683,0.902621722846442,1.0,ok,,SER_DG_000001,M_c68cdd0d8195,Serine__dG_m200(aq),0.0056588330044178,serine,deltaG_sweep,1.0,0.02,0.042,0.05,2.1,-200.0,1.068000000000001,0.964000000000001,3.3265109352064586e-15,C:1.06800000e+00;H:1.06800000e+00;N:1.06800000e+00;O:1.06800000e+00
SER_DG_000001,single_product_sensitivity,M_c68cdd0d8195.yaml,Serine(aq),0.0,273.15,101325.0,HCN(aq),0.0179856115107913,1.1879304542735202e-44,0.02,ok,,SER_DG_000001,M_c68cdd0d8195,Serine__dG_m200(aq),0.0056588330044178,serine,deltaG_sweep,1.0,0.02,0.042,0.05,2.1,-200.0,1.068000000000001,1.2687097251641207e-44,3.3265109352064586e-15,C:1.06800000e+00;H:1.06800000e+00;N:1.06800000e+00;O:1.06800000e+00
SER_DG_000001,single_product_sensitivity,M_c68cdd0d8195.yaml,Serine(aq),0.0,273.15,101325.0,C2H2(aq),0.0377697841726618,0.0318352059925093,0.042,ok,,SER_DG_000001,M_c68cdd0d8195,Serine__dG_m200(aq),0.0056588330044178,serine,deltaG_sweep,1.0,0.02,0.042,0.05,2.1,-200.0,1.068000000000001,0.03399999999999997,3.3265109352064586e-15,C:1.06800000e+00;H:1.06800000e+00;N:1.06800000e+00;O:1.06800000e+00
SER_DG_000001,single_product_sensitivity,M_c68cdd0d8195.yaml,Serine(aq),0.0,273.15,101325.0,NH3(aq),0.0449640287769784,0.0543071161048689,0.05,ok,,SER_DG_000001,M_c68cdd0d8195,Serine__dG_m200(aq),0.0056588330044178,serine,deltaG_sweep,1.0,0.02,0.042,0.05,2.1,-200.0,1.068000000000001,0.05800000000000004,3.3265109352064586e-15,C:1.06800000e+00;H:1.06800000e+00;N:1.06800000e+00;O:1.06800000e+00
SER_DG_000001,single_product_sensitivity,M_c68cdd0d8195.yaml,Serine(aq),0.0,273.15,101325.0,Serine__dG_m200(aq),0.0,0.0112359550561797,0.0,ok,,SER_DG_000001,M_c68cdd0d8195,Serine__dG_m200(aq),0.0056588330044178,serine,deltaG_sweep,1.0,0.02,0.042,0.05,2.1,-200.0,1.068000000000001,0.01199999999999993,3.3265109352064586e-15,C:1.06800000e+00;H:1.06800000e+00;N:1.06800000e+00;O:1.06800000e+00
SER_DG_000002,single_product_sensitivity,M_1b087787f2c4.yaml,Serine(aq),0.0,273.15,101325.0,H2O(l),0.8992805755395683,0.902621722846442,1.0,ok,,SER_DG_000002,M_1b087787f2c4,Serine__dG_m160(aq),0.0061345840076683,serine,deltaG_sweep,1.0,0.02,0.042,0.05,2.1,-160.0,1.068000000000001,0.964000000000001,3.3265109352064586e-15,C:1.06800000e+00;H:1.06800000e+00;N:1.06800000e+00;O:1.06800000e+00
SER_DG_000002,single_product_sensitivity,M_1b087787f2c4.yaml,Serine(aq),0.0,273.15,101325.0,HCN(aq),0.0179856115107913,4.615685672779155e-40,0.02,ok,,SER_DG_000002,M_1b087787f2c4,Serine__dG_m160(aq),0.0061345840076683,serine,deltaG_sweep,1.0,0.02,0.042,0.05,2.1,-160.0,1.068000000000001,4.929552298528142e-40,3.3265109352064586e-15,C:1.06800000e+00;H:1.06800000e+00;N:1.06800000e+00;O:1.06800000e+00
SER_DG_000002,single_product_sensitivity,M_1b087787f2c4.yaml,Serine(aq),0.0,273.15,101325.0,C2H2(aq),0.0377697841726618,0.0318352059925093,0.042,ok,,SER_DG_000002,M_1b087787f2c4,Serine__dG_m160(aq),0.0061345840076683,serine,deltaG_sweep,1.0,0.02,0.042,0.05,2.1,-160.0,1.068000000000001,0.03399999999999997,3.3265109352064586e-15,C:1.06800000e+00;H:1.06800000e+00;N:1.06800000e+00;O:1.06800000e+00
SER_DG_000002,single_product_sensitivity,M_1b087787f2c4.yaml,Serine(aq),0.0,273.15,101325.0,NH3(aq),0.0449640287769784,0.0543071161048689,0.05,ok,,SER_DG_000002,M_1b087787f2c4,Serine__dG_m160(aq),0.0061345840076683,serine,deltaG_sweep,1.0,0.02,0.042,0.05,2.1,-160.0,1.068000000000001,0.05800000000000004,3.3265109352064586e-15,C:1.06800000e+00;H:1.06800000e+00;N:1.06800000e+00;O:1.06800000e+00
SER_DG_000002,single_product_sensitivity,M_1b087787f2c4.yaml,Serine(aq),0.0,273.15,101325.0,Serine__dG_m160(aq),0.0,0.0112359550561797,0.0,ok,,SER_DG_000002,M_1b087787f2c4,Serine__dG_m160(aq),0.0061345840076683,serine,deltaG_sweep,1.0,0.02,0.042,0.05,2.1,-160.0,1.068000000000001,0.01199999999999993,3.3265109352064586e-15,C:1.06800000e+00;H:1.06800000e+00;N:1.06800000e+00;O:1.06800000e+00
SER_DG_000003,single_product_sensitivity,M_101c1b6765c1.yaml,Serine(aq),0.0,273.15,101325.0,H2O(l),0.8992805755395683,0.902621722846442,1.0,ok,,SER_DG_000003,M_101c1b6765c1,Serine__dG_m120(aq),0.005663584001013,serine,deltaG_sweep,1.0,0.02,0.042,0.05,2.1,-120.0,1.068000000000001,0.964000000000001,3.3265109352064586e-15,C:1.06800000e+00;H:1.06800000e+00;N:1.06800000e+00;O:1.06800000e+00
SER_DG_000003,single_product_sensitivity,M_101c1b6765c1.yaml,Serine(aq),0.0,273.15,101325.0,HCN(aq),0.0179856115107913,1.7934176632099974e-35,0.02,ok,,SER_DG_000003,M_101c1b6765c1,Serine__dG_m120(aq),0.005663584001013,serine,deltaG_sweep,1.0,0.02,0.042,0.05,2.1,-120.0,1.068000000000001,1.915370064308279e-35,3.3265109352064586e-15,C:1.06800000e+00;H:1.06800000e+00;N:1.06800000e+00;O:1.06800000e+00
SER_DG_000003,single_product_sensitivity,M_101c1b6765c1.yaml,Serine(aq),0.0,273.15,101325.0,C2H2(aq),0.0377697841726618,0.0318352059925093,0.042,ok,,SER_DG_000003,M_101c1b6765c1,Serine__dG_m120(aq),0.005663584001013,serine,deltaG_sweep,1.0,0.02,0.042,0.05,2.1,-120.0,1.068000000000001,0.03399999999999997,3.3265109352064586e-15,C:1.06800000e+00;H:1.06800000e+00;N:1.06800000e+00;O:1.06800000e+00
SER_DG_000003,single_product_sensitivity,M_101c1b6765c1.yaml,Serine(aq),0.0,273.15,101325.0,NH3(aq),0.0449640287769784,0.0543071161048689,0.05,ok,,SER_DG_000003,M_101c1b6765c1,Serine__dG_m120(aq),0.005663584001013,serine,deltaG_sweep,1.0,0.02,0.042,0.05,2.1,-120.0,1.068000000000001,0.05800000000000004,3.3265109352064586e-15,C:1.06800000e+00;H:1.06800000e+00;N:1.06800000e+00;O:1.06800000e+00
SER_DG_000003,single_product_sensitivity,M_101c1b6765c1.yaml,Serine(aq),0.0,273.15,101325.0,Serine__dG_m120(aq),0.0,0.0112359550561797,0.0,ok,,SER_DG_000003,M_101c1b6765c1,Serine__dG_m120(aq),0.005663584001013,serine,deltaG_sweep,1.0,0.02,0.042,0.05,2.1,-120.0,1.068000000000001,0.01199999999999993,3.3265109352064586e-15,C:1.06800000e+00;H:1.06800000e+00;N:1.06800000e+00;O:1.06800000e+00
