scenario,model_mode,yaml_file,target_product,T_C,T_K,P_Pa,species,X_initial,X_eq,initial_moles,solver_status,error_message,case_id,model_id,target_variant,runtime_seconds,study_id,substudy_id,H2O_mol,HCN_mol,C2H2_mol,NH3_mol,C2H2_over_HCN,deltaG_offset_kJ_mol
SER_INV_000001,single_product_sensitivity,M_daa244b2e9b7.yaml,Serine(aq),0.0,273.15,101325.0,H2O(l),0.9328358208955223,0.9377431906614785,1.0,ok,,SER_INV_000001,M_daa244b2e9b7,Serine(aq),0.006669084003078751,serine,inventory_landscape,1.0,0.02,0.042,0.01,2.1,0.0
SER_INV_000001,single_product_sensitivity,M_daa244b2e9b7.yaml,Serine(aq),0.0,273.15,101325.0,HCN(aq),0.018656716417910446,6.293049280309487e-22,0.02,ok,,SER_INV_000001,M_daa244b2e9b7,Serine(aq),0.006669084003078751,serine,inventory_landscape,1.0,0.02,0.042,0.01,2.1,0.0
SER_INV_000001,single_product_sensitivity,M_daa244b2e9b7.yaml,Serine(aq),0.0,273.15,101325.0,C2H2(aq),0.03917910447761194,0.0330739299610895,0.042,ok,,SER_INV_000001,M_daa244b2e9b7,Serine(aq),0.006669084003078751,serine,inventory_landscape,1.0,0.02,0.042,0.01,2.1,0.0
SER_INV_000001,single_product_sensitivity,M_daa244b2e9b7.yaml,Serine(aq),0.0,273.15,101325.0,NH3(aq),0.009328358208955223,0.01750972762645914,0.01,ok,,SER_INV_000001,M_daa244b2e9b7,Serine(aq),0.006669084003078751,serine,inventory_landscape,1.0,0.02,0.042,0.01,2.1,0.0
SER_INV_000001,single_product_sensitivity,M_daa244b2e9b7.yaml,Serine(aq),0.0,273.15,101325.0,Serine(aq),0.0,0.011673151750972763,0.0,ok,,SER_INV_000001,M_daa244b2e9b7,Serine(aq),0.006669084003078751,serine,inventory_landscape,1.0,0.02,0.042,0.01,2.1,0.0
SER_INV_000002,single_product_sensitivity,M_daa244b2e9b7.yaml,Serine(aq),0.0,273.15,101325.0,H2O(l),0.9242144177449167,0.928709055876686,1.0,ok,,SER_INV_000002,M_daa244b2e9b7,Serine(aq),0.001054540989571251,serine,inventory_landscape,1.0,0.02,0.042,0.02,2.1,0.0
SER_INV_000002,single_product_sensitivity,M_daa244b2e9b7.yaml,Serine(aq),0.0,273.15,101325.0,HCN(aq),0.018484288354898334,7.597320183313597e-22,0.02,ok,,SER_INV_000002,M_daa244b2e9b7,Serine(aq),0.001054540989571251,serine,inventory_landscape,1.0,0.02,0.042,0.02,2.1,0.0
SER_INV_000002,single_product_sensitivity,M_daa244b2e9b7.yaml,Serine(aq),0.0,273.15,101325.0,C2H2(aq),0.038817005545286505,0.03275529865125241,0.042,ok,,SER_INV_000002,M_daa244b2e9b7,Serine(aq),0.001054540989571251,serine,inventory_landscape,1.0,0.02,0.042,0.02,2.1,0.0
SER_INV_000002,single_product_sensitivity,M_daa244b2e9b7.yaml,Serine(aq),0.0,273.15,101325.0,NH3(aq),0.018484288354898334,0.026974951830443152,0.02,ok,,SER_INV_000002,M_daa244b2e9b7,Serine(aq),0.001054540989571251,serine,inventory_landscape,1.0,0.02,0.042,0.02,2.1,0.0
SER_INV_000002,single_product_sensitivity,M_daa244b2e9b7.yaml,Serine(aq),0.0,273.15,101325.0,Serine(aq),0.0,0.011560693641618497,0.0,ok,,SER_INV_000002,M_daa244b2e9b7,Serine(aq),0.001054540989571251,serine,inventory_landscape,1.0,0.02,0.042,0.02,2.1,0.0
