case_id,study_id,substudy_id,target_product,target_variant,H2O_mol,HCN_mol,C2H2_mol,NH3_mol,C2H2_over_HCN,deltaG_offset_kJ_mol,T_C,P_Pa,scenario_id,model_id,case_hash
THR_INV_000001,threonine,inventory_landscape,Threonine(aq),Threonine(aq),1.0,0.02,0.042,0.01,2.1,0.0,0.0,101325.0,THR_INV_000001,M_34d1e4e1238a,3af80c7ffcd6199e
THR_INV_000002,threonine,inventory_landscape,Threonine(aq),Threonine(aq),1.0,0.02,0.042,0.02,2.1,0.0,0.0,101325.0,THR_INV_000002,M_34d1e4e1238a,3f303880984f7fa8
THR_INV_000003,threonine,inventory_landscape,Threonine(aq),Threonine(aq),1.0,0.02,0.042,0.03,2.1,0.0,0.0,101325.0,THR_INV_000003,M_34d1e4e1238a,ed24b91cd81f6021
THR_INV_000004,threonine,inventory_landscape,Threonine(aq),Threonine(aq),1.0,0.02,0.042,0.04,2.1,0.0,0.0,101325.0,THR_INV_000004,M_34d1e4e1238a,89743c02c9b484c1
THR_INV_000005,threonine,inventory_landscape,Threonine(aq),Threonine(aq),1.0,0.02,0.042,0.05,2.1,0.0,0.0,101325.0,THR_INV_000005,M_34d1e4e1238a,ab2a78849a28848f
THR_INV_000006,threonine,inventory_landscape,Threonine(aq),Threonine(aq),1.0,0.02,0.042,0.1,2.1,0.0,0.0,101325.0,THR_INV_000006,M_34d1e4e1238a,e1f83b49c6753175
THR_DG_000001,threonine,deltaG_sweep,Threonine(aq),Threonine__dG_m200(aq),1.0,0.02,0.042,0.05,2.1,-200.0,0.0,101325.0,THR_DG_000001,M_66287c59ec03,048324ebae6c88ab
THR_DG_000002,threonine,deltaG_sweep,Threonine(aq),Threonine__dG_m160(aq),1.0,0.02,0.042,0.05,2.1,-160.0,0.0,101325.0,THR_DG_000002,M_972c5f483af4,5ee3ab657a0414e1
THR_DG_000003,threonine,deltaG_sweep,Threonine(aq),Threonine__dG_m120(aq),1.0,0.02,0.042,0.05,2.1,-120.0,0.0,101325.0,THR_DG_000003,M_ba06fb558436,f7c7262e38f051a8
THR_DG_000004,threonine,deltaG_sweep,Threonine(aq),Threonine__dG_m080(aq),1.0,0.02,0.042,0.05,2.1,-80.0,0.0,101325.0,THR_DG_000004,M_c373a1187e77,2fbb74c911115540
THR_DG_000005,threonine,deltaG_sweep,Threonine(aq),Threonine__dG_m040(aq),1.0,0.02,0.042,0.05,2.1,-40.0,0.0,101325.0,THR_DG_000005,M_f0eaa6ffd18d,4497b7fe45f78190
THR_DG_000006,threonine,deltaG_sweep,Threonine(aq),Threonine__dG_000(aq),1.0,0.02,0.042,0.05,2.1,0.0,0.0,101325.0,THR_DG_000006,M_35eb3b536cc9,fe4ecc94dd8b9037
THR_DG_000007,threonine,deltaG_sweep,Threonine(aq),Threonine__dG_p040(aq),1.0,0.02,0.042,0.05,2.1,40.0,0.0,101325.0,THR_DG_000007,M_36ce83775d0d,053b57cea74647eb
THR_DG_000008,threonine,deltaG_sweep,Threonine(aq),Threonine__dG_p080(aq),1.0,0.02,0.042,0.05,2.1,80.0,0.0,101325.0,THR_DG_000008,M_f17094babcbc,8726765742204611
THR_DG_000009,threonine,deltaG_sweep,Threonine(aq),Threonine__dG_p120(aq),1.0,0.02,0.042,0.05,2.1,120.0,0.0,101325.0,THR_DG_000009,M_07332a92c709,cbb223da447673a2
THR_DG_000010,threonine,deltaG_sweep,Threonine(aq),Threonine__dG_p160(aq),1.0,0.02,0.042,0.05,2.1,160.0,0.0,101325.0,THR_DG_000010,M_7914186e23d5,36efbb32f5208693
THR_DG_000011,threonine,deltaG_sweep,Threonine(aq),Threonine__dG_p200(aq),1.0,0.02,0.042,0.05,2.1,200.0,0.0,101325.0,THR_DG_000011,M_b4cce681f6c2,c1f4ca4604852924
