scenario,model_mode,yaml_file,target_product,T_C,T_K,P_Pa,species,X_initial,X_eq,initial_moles,solver_status,error_message,case_id,model_id,target_variant,runtime_seconds,study_id,substudy_id,H2O_mol,HCN_mol,C2H2_mol,NH3_mol,C2H2_over_HCN,deltaG_offset_kJ_mol
THR_INV_000001,single_product_sensitivity,M_34d1e4e1238a.yaml,Threonine(aq),0.0,273.15,101325.0,H2O(l),0.9328358208955223,0.9483614697120161,1.0,ok,,THR_INV_000001,M_34d1e4e1238a,Threonine(aq),0.007140165995224379,threonine,inventory_landscape,1.0,0.02,0.042,0.01,2.1,0.0
THR_INV_000001,single_product_sensitivity,M_34d1e4e1238a.yaml,Threonine(aq),0.0,273.15,101325.0,HCN(aq),0.018656716417910446,1.9359298519025515e-37,0.02,ok,,THR_INV_000001,M_34d1e4e1238a,Threonine(aq),0.007140165995224379,threonine,inventory_landscape,1.0,0.02,0.042,0.01,2.1,0.0
THR_INV_000001,single_product_sensitivity,M_34d1e4e1238a.yaml,Threonine(aq),0.0,273.15,101325.0,C2H2(aq),0.03917910447761194,0.021847070506454833,0.042,ok,,THR_INV_000001,M_34d1e4e1238a,Threonine(aq),0.007140165995224379,threonine,inventory_landscape,1.0,0.02,0.042,0.01,2.1,0.0
THR_INV_000001,single_product_sensitivity,M_34d1e4e1238a.yaml,Threonine(aq),0.0,273.15,101325.0,NH3(aq),0.009328358208955223,0.014895729890764651,0.01,ok,,THR_INV_000001,M_34d1e4e1238a,Threonine(aq),0.007140165995224379,threonine,inventory_landscape,1.0,0.02,0.042,0.01,2.1,0.0
THR_INV_000001,single_product_sensitivity,M_34d1e4e1238a.yaml,Threonine(aq),0.0,273.15,101325.0,Threonine(aq),0.0,0.01489572989076465,0.0,ok,,THR_INV_000001,M_34d1e4e1238a,Threonine(aq),0.007140165995224379,threonine,inventory_landscape,1.0,0.02,0.042,0.01,2.1,0.0
THR_INV_000002,single_product_sensitivity,M_34d1e4e1238a.yaml,Threonine(aq),0.0,273.15,101325.0,H2O(l),0.9242144177449167,0.9390363815142576,1.0,ok,,THR_INV_000002,M_34d1e4e1238a,Threonine(aq),0.0011106250021839514,threonine,inventory_landscape,1.0,0.02,0.042,0.02,2.1,0.0
THR_INV_000002,single_product_sensitivity,M_34d1e4e1238a.yaml,Threonine(aq),0.0,273.15,101325.0,HCN(aq),0.018484288354898334,2.24909416790125e-37,0.02,ok,,THR_INV_000002,M_34d1e4e1238a,Threonine(aq),0.0011106250021839514,threonine,inventory_landscape,1.0,0.02,0.042,0.02,2.1,0.0
THR_INV_000002,single_product_sensitivity,M_34d1e4e1238a.yaml,Threonine(aq),0.0,273.15,101325.0,C2H2(aq),0.038817005545286505,0.021632251720747297,0.042,ok,,THR_INV_000002,M_34d1e4e1238a,Threonine(aq),0.0011106250021839514,threonine,inventory_landscape,1.0,0.02,0.042,0.02,2.1,0.0
THR_INV_000002,single_product_sensitivity,M_34d1e4e1238a.yaml,Threonine(aq),0.0,273.15,101325.0,NH3(aq),0.018484288354898334,0.02458210422812193,0.02,ok,,THR_INV_000002,M_34d1e4e1238a,Threonine(aq),0.0011106250021839514,threonine,inventory_landscape,1.0,0.02,0.042,0.02,2.1,0.0
THR_INV_000002,single_product_sensitivity,M_34d1e4e1238a.yaml,Threonine(aq),0.0,273.15,101325.0,Threonine(aq),0.0,0.014749262536873156,0.0,ok,,THR_INV_000002,M_34d1e4e1238a,Threonine(aq),0.0011106250021839514,threonine,inventory_landscape,1.0,0.02,0.042,0.02,2.1,0.0
THR_INV_000003,single_product_sensitivity,M_34d1e4e1238a.yaml,Threonine(aq),0.0,273.15,101325.0,H2O(l),0.9157509157509157,0.9298928919182082,1.0,ok,,THR_INV_000003,M_34d1e4e1238a,Threonine(aq),0.0010353750112699345,threonine,inventory_landscape,1.0,0.02,0.042,0.03,2.1,0.0
THR_INV_000003,single_product_sensitivity,M_34d1e4e1238a.yaml,Threonine(aq),0.0,273.15,101325.0,HCN(aq),0.018315018315018312,2.500926925850064e-37,0.02,ok,,THR_INV_000003,M_34d1e4e1238a,Threonine(aq),0.0010353750112699345,threonine,inventory_landscape,1.0,0.02,0.042,0.03,2.1,0.0
THR_INV_000003,single_product_sensitivity,M_34d1e4e1238a.yaml,Threonine(aq),0.0,273.15,101325.0,C2H2(aq),0.038461538461538464,0.021421616358325228,0.042,ok,,THR_INV_000003,M_34d1e4e1238a,Threonine(aq),0.0010353750112699345,threonine,inventory_landscape,1.0,0.02,0.042,0.03,2.1,0.0
THR_INV_000003,single_product_sensitivity,M_34d1e4e1238a.yaml,Threonine(aq),0.0,273.15,101325.0,NH3(aq),0.02747252747252747,0.034079844206426485,0.03,ok,,THR_INV_000003,M_34d1e4e1238a,Threonine(aq),0.0010353750112699345,threonine,inventory_landscape,1.0,0.02,0.042,0.03,2.1,0.0
THR_INV_000003,single_product_sensitivity,M_34d1e4e1238a.yaml,Threonine(aq),0.0,273.15,101325.0,Threonine(aq),0.0,0.014605647517039922,0.0,ok,,THR_INV_000003,M_34d1e4e1238a,Threonine(aq),0.0010353750112699345,threonine,inventory_landscape,1.0,0.02,0.042,0.03,2.1,0.0
THR_INV_000004,single_product_sensitivity,M_34d1e4e1238a.yaml,Threonine(aq),0.0,273.15,101325.0,H2O(l),0.9074410163339383,0.9209257473481195,1.0,ok,,THR_INV_000004,M_34d1e4e1238a,Threonine(aq),0.0010005410003941506,threonine,inventory_landscape,1.0,0.02,0.042,0.04,2.1,0.0
