case_id,study_id,substudy_id,target_product,target_variant,model_id,NH3_mol,HCN_mol,C2H2_mol,C2H2_over_HCN,deltaG_offset_kJ_mol,T_C,P_Pa,X_eq,log10_X_eq,n_eq_mol,log10_n_eq_mol,formed_bool,formation_call,solver_status,runtime_seconds
THR_DG_000001,threonine,deltaG_sweep,Threonine(aq),Threonine__dG_m200(aq),M_66287c59ec03,0.05,0.02,0.042,2.1,-200.0,0.0,101325.0,0.0143266475644699,-1.8438554226231616,0.014999999999999993,-1.8239087409443189,True,significant,ok,0.0059321660082787
THR_DG_000002,threonine,deltaG_sweep,Threonine(aq),Threonine__dG_m160(aq),M_972c5f483af4,0.05,0.02,0.042,2.1,-160.0,0.0,101325.0,0.0143266475644699,-1.8438554226231616,0.014999999999999993,-1.8239087409443189,True,significant,ok,0.0056249580084113
THR_DG_000003,threonine,deltaG_sweep,Threonine(aq),Threonine__dG_m120(aq),M_ba06fb558436,0.05,0.02,0.042,2.1,-120.0,0.0,101325.0,0.0143266475644699,-1.8438554226231616,0.014999999999999993,-1.8239087409443189,True,significant,ok,0.0058017910050693
THR_DG_000004,threonine,deltaG_sweep,Threonine(aq),Threonine__dG_m080(aq),M_c373a1187e77,0.05,0.02,0.042,2.1,-80.0,0.0,101325.0,0.0143266475644699,-1.8438554226231616,0.014999999999999993,-1.8239087409443189,True,significant,ok,0.0055585420050192
THR_DG_000005,threonine,deltaG_sweep,Threonine(aq),Threonine__dG_m040(aq),M_f0eaa6ffd18d,0.05,0.02,0.042,2.1,-40.0,0.0,101325.0,0.0143266475644699,-1.8438554226231616,0.014999999999999993,-1.8239087409443189,True,significant,ok,0.0057732080022105
THR_DG_000006,threonine,deltaG_sweep,Threonine(aq),Threonine__dG_000(aq),M_35eb3b536cc9,0.05,0.02,0.042,2.1,0.0,0.0,101325.0,0.0143266475644699,-1.8438554226231616,0.014999999999999993,-1.8239087409443189,True,significant,ok,0.00553970799956
THR_DG_000007,threonine,deltaG_sweep,Threonine(aq),Threonine__dG_p040(aq),M_36ce83775d0d,0.05,0.02,0.042,2.1,40.0,0.0,101325.0,0.0143266475644699,-1.8438554226231616,0.014999999999999993,-1.8239087409443189,True,significant,ok,0.0055857499974081
THR_DG_000008,threonine,deltaG_sweep,Threonine(aq),Threonine__dG_p080(aq),M_f17094babcbc,0.05,0.02,0.042,2.1,80.0,0.0,101325.0,0.0143266475644699,-1.8438554226231616,0.014999999999999993,-1.8239087409443189,True,significant,ok,0.0058259590005036
THR_DG_000009,threonine,deltaG_sweep,Threonine(aq),Threonine__dG_p120(aq),M_07332a92c709,0.05,0.02,0.042,2.1,120.0,0.0,101325.0,0.0143266475644699,-1.8438554226231616,0.014999999999999993,-1.8239087409443189,True,significant,ok,0.0056113750033546
THR_DG_000010,threonine,deltaG_sweep,Threonine(aq),Threonine__dG_p160(aq),M_7914186e23d5,0.05,0.02,0.042,2.1,160.0,0.0,101325.0,0.0143266475644492,-1.843855422623789,0.01499999999997959,-1.8239087409449097,True,significant,ok,0.0058292499888921
THR_DG_000011,threonine,deltaG_sweep,Threonine(aq),Threonine__dG_p200(aq),M_b4cce681f6c2,0.05,0.02,0.042,2.1,200.0,0.0,101325.0,0.0143266363113578,-1.843855763747377,0.014999988906687646,-1.823909062128727,True,significant,ok,0.0055055839911801
THR_INV_000001,threonine,inventory_landscape,Threonine(aq),Threonine(aq),M_34d1e4e1238a,0.01,0.02,0.042,2.1,0.0,0.0,101325.0,0.0148957298907646,-1.8269382114979382,0.01499999999999997,-1.8239087409443195,True,significant,ok,0.0071401659952243
THR_INV_000002,threonine,inventory_landscape,Threonine(aq),Threonine(aq),M_34d1e4e1238a,0.02,0.02,0.042,2.1,0.0,0.0,101325.0,0.0147492625368731,-1.831229693867065,0.014999999999999961,-1.82390874094432,True,significant,ok,0.0011106250021839
THR_INV_000003,threonine,inventory_landscape,Threonine(aq),Threonine(aq),M_34d1e4e1238a,0.03,0.02,0.042,2.1,0.0,0.0,101325.0,0.0146056475170399,-1.8354791845415976,0.014999999999999993,-1.8239087409443189,True,significant,ok,0.0010353750112699
THR_INV_000004,threonine,inventory_landscape,Threonine(aq),Threonine(aq),M_34d1e4e1238a,0.04,0.02,0.042,2.1,0.0,0.0,101325.0,0.0144648023143683,-1.839687497333362,0.014999999999999939,-1.8239087409443204,True,significant,ok,0.0010005410003941
THR_INV_000005,threonine,inventory_landscape,Threonine(aq),Threonine(aq),M_34d1e4e1238a,0.05,0.02,0.042,2.1,0.0,0.0,101325.0,0.0143266475644699,-1.8438554226231616,0.014999999999999993,-1.8239087409443189,True,significant,ok,0.0009612090070731
THR_INV_000006,threonine,inventory_landscape,Threonine(aq),Threonine(aq),M_34d1e4e1238a,0.1,0.02,0.042,2.1,0.0,0.0,101325.0,0.0136736554238833,-1.8641153685190304,0.014999999999999986,-1.823908740944319,True,significant,ok,0.000958124990575
