case_id,scenario_id,model_id,yaml_path,target_product,target_variant,T_C,P_Pa,case_hash,status,runtime_seconds,error_message
THR_INV_000001,THR_INV_000001,M_34d1e4e1238a,models/M_34d1e4e1238a.yaml,Threonine(aq),Threonine(aq),0.0,101325.0,3af80c7ffcd6199e,ok,0.007140165995224379,
THR_INV_000002,THR_INV_000002,M_34d1e4e1238a,models/M_34d1e4e1238a.yaml,Threonine(aq),Threonine(aq),0.0,101325.0,3f303880984f7fa8,ok,0.0011106250021839514,
THR_INV_000003,THR_INV_000003,M_34d1e4e1238a,models/M_34d1e4e1238a.yaml,Threonine(aq),Threonine(aq),0.0,101325.0,ed24b91cd81f6021,ok,0.0010353750112699345,
THR_INV_000004,THR_INV_000004,M_34d1e4e1238a,models/M_34d1e4e1238a.yaml,Threonine(aq),Threonine(aq),0.0,101325.0,89743c02c9b484c1,ok,0.0010005410003941506,
THR_INV_000005,THR_INV_000005,M_34d1e4e1238a,models/M_34d1e4e1238a.yaml,Threonine(aq),Threonine(aq),0.0,101325.0,ab2a78849a28848f,ok,0.0009612090070731938,
THR_INV_000006,THR_INV_000006,M_34d1e4e1238a,models/M_34d1e4e1238a.yaml,Threonine(aq),Threonine(aq),0.0,101325.0,e1f83b49c6753175,ok,0.0009581249905750155,
THR_DG_000001,THR_DG_000001,M_66287c59ec03,models/M_66287c59ec03.yaml,Threonine(aq),Threonine__dG_m200(aq),0.0,101325.0,048324ebae6c88ab,ok,0.0059321660082787275,
THR_DG_000002,THR_DG_000002,M_972c5f483af4,models/M_972c5f483af4.yaml,Threonine(aq),Threonine__dG_m160(aq),0.0,101325.0,5ee3ab657a0414e1,ok,0.00562495800841134,
THR_DG_000003,THR_DG_000003,M_ba06fb558436,models/M_ba06fb558436.yaml,Threonine(aq),Threonine__dG_m120(aq),0.0,101325.0,f7c7262e38f051a8,ok,0.00580179100506939,
THR_DG_000004,THR_DG_000004,M_c373a1187e77,models/M_c373a1187e77.yaml,Threonine(aq),Threonine__dG_m080(aq),0.0,101325.0,2fbb74c911115540,ok,0.005558542005019262,
THR_DG_000005,THR_DG_000005,M_f0eaa6ffd18d,models/M_f0eaa6ffd18d.yaml,Threonine(aq),Threonine__dG_m040(aq),0.0,101325.0,4497b7fe45f78190,ok,0.005773208002210595,
THR_DG_000006,THR_DG_000006,M_35eb3b536cc9,models/M_35eb3b536cc9.yaml,Threonine(aq),Threonine__dG_000(aq),0.0,101325.0,fe4ecc94dd8b9037,ok,0.005539707999560051,
THR_DG_000007,THR_DG_000007,M_36ce83775d0d,models/M_36ce83775d0d.yaml,Threonine(aq),Threonine__dG_p040(aq),0.0,101325.0,053b57cea74647eb,ok,0.005585749997408129,
THR_DG_000008,THR_DG_000008,M_f17094babcbc,models/M_f17094babcbc.yaml,Threonine(aq),Threonine__dG_p080(aq),0.0,101325.0,8726765742204611,ok,0.005825959000503644,
THR_DG_000009,THR_DG_000009,M_07332a92c709,models/M_07332a92c709.yaml,Threonine(aq),Threonine__dG_p120(aq),0.0,101325.0,cbb223da447673a2,ok,0.005611375003354624,
THR_DG_000010,THR_DG_000010,M_7914186e23d5,models/M_7914186e23d5.yaml,Threonine(aq),Threonine__dG_p160(aq),0.0,101325.0,36efbb32f5208693,ok,0.005829249988892116,
THR_DG_000011,THR_DG_000011,M_b4cce681f6c2,models/M_b4cce681f6c2.yaml,Threonine(aq),Threonine__dG_p200(aq),0.0,101325.0,c1f4ca4604852924,ok,0.005505583991180174,
