case_id,study_id,substudy_id,target_product,target_variant,H2O_mol,HCN_mol,C2H2_mol,NH3_mol,C2H2_over_HCN,deltaG_offset_kJ_mol,T_C,P_Pa,scenario_id,model_id,case_hash
TRY_INV_000001,tryptophan,inventory_landscape,Tryptophan(aq),Tryptophan(aq),1.0,0.02,0.042,0.01,2.1,0.0,0.0,101325.0,TRY_INV_000001,M_9ee9ae6bb8b9,11695f8e71745b9e
TRY_INV_000002,tryptophan,inventory_landscape,Tryptophan(aq),Tryptophan(aq),1.0,0.02,0.042,0.02,2.1,0.0,0.0,101325.0,TRY_INV_000002,M_9ee9ae6bb8b9,720935da5fbebee8
TRY_INV_000003,tryptophan,inventory_landscape,Tryptophan(aq),Tryptophan(aq),1.0,0.02,0.042,0.03,2.1,0.0,0.0,101325.0,TRY_INV_000003,M_9ee9ae6bb8b9,2f35683a7f9fa122
TRY_INV_000004,tryptophan,inventory_landscape,Tryptophan(aq),Tryptophan(aq),1.0,0.02,0.042,0.04,2.1,0.0,0.0,101325.0,TRY_INV_000004,M_9ee9ae6bb8b9,7201fe52c655efa6
TRY_INV_000005,tryptophan,inventory_landscape,Tryptophan(aq),Tryptophan(aq),1.0,0.02,0.042,0.05,2.1,0.0,0.0,101325.0,TRY_INV_000005,M_9ee9ae6bb8b9,23ba622f60aee55d
TRY_INV_000006,tryptophan,inventory_landscape,Tryptophan(aq),Tryptophan(aq),1.0,0.02,0.042,0.1,2.1,0.0,0.0,101325.0,TRY_INV_000006,M_9ee9ae6bb8b9,6a659e164b6d165e
TRY_DG_000001,tryptophan,deltaG_sweep,Tryptophan(aq),Tryptophan__dG_m200(aq),1.0,0.02,0.042,0.05,2.1,-200.0,0.0,101325.0,TRY_DG_000001,M_dc970e3155d1,b617ba45f30b1c93
TRY_DG_000002,tryptophan,deltaG_sweep,Tryptophan(aq),Tryptophan__dG_m160(aq),1.0,0.02,0.042,0.05,2.1,-160.0,0.0,101325.0,TRY_DG_000002,M_b2d5819f765c,0deab6acd523fee1
TRY_DG_000003,tryptophan,deltaG_sweep,Tryptophan(aq),Tryptophan__dG_m120(aq),1.0,0.02,0.042,0.05,2.1,-120.0,0.0,101325.0,TRY_DG_000003,M_51c2edae6329,cf3195210a094bce
TRY_DG_000004,tryptophan,deltaG_sweep,Tryptophan(aq),Tryptophan__dG_m080(aq),1.0,0.02,0.042,0.05,2.1,-80.0,0.0,101325.0,TRY_DG_000004,M_4decb47a8056,3d30a9e9bdc818b1
TRY_DG_000005,tryptophan,deltaG_sweep,Tryptophan(aq),Tryptophan__dG_m040(aq),1.0,0.02,0.042,0.05,2.1,-40.0,0.0,101325.0,TRY_DG_000005,M_7a591a705c07,ccb11407ec2224f3
TRY_DG_000006,tryptophan,deltaG_sweep,Tryptophan(aq),Tryptophan__dG_000(aq),1.0,0.02,0.042,0.05,2.1,0.0,0.0,101325.0,TRY_DG_000006,M_72e38e92abc2,50bbd281235bc547
TRY_DG_000007,tryptophan,deltaG_sweep,Tryptophan(aq),Tryptophan__dG_p040(aq),1.0,0.02,0.042,0.05,2.1,40.0,0.0,101325.0,TRY_DG_000007,M_4a5cb2af884b,901995b2e53b3368
TRY_DG_000008,tryptophan,deltaG_sweep,Tryptophan(aq),Tryptophan__dG_p080(aq),1.0,0.02,0.042,0.05,2.1,80.0,0.0,101325.0,TRY_DG_000008,M_41f06b14c3a7,67e5349bc8b1e3f7
TRY_DG_000009,tryptophan,deltaG_sweep,Tryptophan(aq),Tryptophan__dG_p120(aq),1.0,0.02,0.042,0.05,2.1,120.0,0.0,101325.0,TRY_DG_000009,M_519427aae757,08a466caf180df2a
TRY_DG_000010,tryptophan,deltaG_sweep,Tryptophan(aq),Tryptophan__dG_p160(aq),1.0,0.02,0.042,0.05,2.1,160.0,0.0,101325.0,TRY_DG_000010,M_9e4fdf812b9a,1a7e5a8c60f226e3
TRY_DG_000011,tryptophan,deltaG_sweep,Tryptophan(aq),Tryptophan__dG_p200(aq),1.0,0.02,0.042,0.05,2.1,200.0,0.0,101325.0,TRY_DG_000011,M_a196c7e9cef8,2287b10cd0607507
