scenario,model_mode,yaml_file,target_product,T_C,T_K,P_Pa,species,X_initial,X_eq,initial_moles,solver_status,error_message,case_id,model_id,target_variant,runtime_seconds,study_id,substudy_id,H2O_mol,HCN_mol,C2H2_mol,NH3_mol,C2H2_over_HCN,deltaG_offset_kJ_mol
TRY_INV_000001,single_product_sensitivity,M_9ee9ae6bb8b9.yaml,Tryptophan(aq),0.0,273.15,101325.0,H2O(l),0.9328358208955223,0.9622886866059818,1.0,ok,,TRY_INV_000001,M_9ee9ae6bb8b9,Tryptophan(aq),0.006587750001926906,tryptophan,inventory_landscape,1.0,0.02,0.042,0.01,2.1,0.0
TRY_INV_000001,single_product_sensitivity,M_9ee9ae6bb8b9.yaml,Tryptophan(aq),0.0,273.15,101325.0,HCN(aq),0.018656716417910446,1.9861719579106058e-57,0.02,ok,,TRY_INV_000001,M_9ee9ae6bb8b9,Tryptophan(aq),0.006587750001926906,tryptophan,inventory_landscape,1.0,0.02,0.042,0.01,2.1,0.0
TRY_INV_000001,single_product_sensitivity,M_9ee9ae6bb8b9.yaml,Tryptophan(aq),0.0,273.15,101325.0,C2H2(aq),0.03917910447761194,0.014954486345903777,0.042,ok,,TRY_INV_000001,M_9ee9ae6bb8b9,Tryptophan(aq),0.006587750001926906,tryptophan,inventory_landscape,1.0,0.02,0.042,0.01,2.1,0.0
TRY_INV_000001,single_product_sensitivity,M_9ee9ae6bb8b9.yaml,Tryptophan(aq),0.0,273.15,101325.0,NH3(aq),0.009328358208955223,0.016254876462938883,0.01,ok,,TRY_INV_000001,M_9ee9ae6bb8b9,Tryptophan(aq),0.006587750001926906,tryptophan,inventory_landscape,1.0,0.02,0.042,0.01,2.1,0.0
TRY_INV_000001,single_product_sensitivity,M_9ee9ae6bb8b9.yaml,Tryptophan(aq),0.0,273.15,101325.0,Tryptophan(aq),0.0,0.0065019505851755515,0.0,ok,,TRY_INV_000001,M_9ee9ae6bb8b9,Tryptophan(aq),0.006587750001926906,tryptophan,inventory_landscape,1.0,0.02,0.042,0.01,2.1,0.0
TRY_INV_000002,single_product_sensitivity,M_9ee9ae6bb8b9.yaml,Tryptophan(aq),0.0,273.15,101325.0,H2O(l),0.9242144177449167,0.952994204764971,1.0,ok,,TRY_INV_000002,M_9ee9ae6bb8b9,Tryptophan(aq),0.001130167001974769,tryptophan,inventory_landscape,1.0,0.02,0.042,0.02,2.1,0.0
TRY_INV_000002,single_product_sensitivity,M_9ee9ae6bb8b9.yaml,Tryptophan(aq),0.0,273.15,101325.0,HCN(aq),0.018484288354898334,2.3532984052960887e-57,0.02,ok,,TRY_INV_000002,M_9ee9ae6bb8b9,Tryptophan(aq),0.001130167001974769,tryptophan,inventory_landscape,1.0,0.02,0.042,0.02,2.1,0.0
TRY_INV_000002,single_product_sensitivity,M_9ee9ae6bb8b9.yaml,Tryptophan(aq),0.0,273.15,101325.0,C2H2(aq),0.038817005545286505,0.014810045074050227,0.042,ok,,TRY_INV_000002,M_9ee9ae6bb8b9,Tryptophan(aq),0.001130167001974769,tryptophan,inventory_landscape,1.0,0.02,0.042,0.02,2.1,0.0
TRY_INV_000002,single_product_sensitivity,M_9ee9ae6bb8b9.yaml,Tryptophan(aq),0.0,273.15,101325.0,NH3(aq),0.018484288354898334,0.025756600128782992,0.02,ok,,TRY_INV_000002,M_9ee9ae6bb8b9,Tryptophan(aq),0.001130167001974769,tryptophan,inventory_landscape,1.0,0.02,0.042,0.02,2.1,0.0
TRY_INV_000002,single_product_sensitivity,M_9ee9ae6bb8b9.yaml,Tryptophan(aq),0.0,273.15,101325.0,Tryptophan(aq),0.0,0.006439150032195749,0.0,ok,,TRY_INV_000002,M_9ee9ae6bb8b9,Tryptophan(aq),0.001130167001974769,tryptophan,inventory_landscape,1.0,0.02,0.042,0.02,2.1,0.0
TRY_INV_000003,single_product_sensitivity,M_9ee9ae6bb8b9.yaml,Tryptophan(aq),0.0,273.15,101325.0,H2O(l),0.9157509157509157,0.9438775510204083,1.0,ok,,TRY_INV_000003,M_9ee9ae6bb8b9,Tryptophan(aq),0.0010041250061476603,tryptophan,inventory_landscape,1.0,0.02,0.042,0.03,2.1,0.0
TRY_INV_000003,single_product_sensitivity,M_9ee9ae6bb8b9.yaml,Tryptophan(aq),0.0,273.15,101325.0,HCN(aq),0.018315018315018312,2.6505990423614583e-57,0.02,ok,,TRY_INV_000003,M_9ee9ae6bb8b9,Tryptophan(aq),0.0010041250061476603,tryptophan,inventory_landscape,1.0,0.02,0.042,0.03,2.1,0.0
TRY_INV_000003,single_product_sensitivity,M_9ee9ae6bb8b9.yaml,Tryptophan(aq),0.0,273.15,101325.0,C2H2(aq),0.038461538461538464,0.01466836734693879,0.042,ok,,TRY_INV_000003,M_9ee9ae6bb8b9,Tryptophan(aq),0.0010041250061476603,tryptophan,inventory_landscape,1.0,0.02,0.042,0.03,2.1,0.0
TRY_INV_000003,single_product_sensitivity,M_9ee9ae6bb8b9.yaml,Tryptophan(aq),0.0,273.15,101325.0,NH3(aq),0.02747252747252747,0.0350765306122449,0.03,ok,,TRY_INV_000003,M_9ee9ae6bb8b9,Tryptophan(aq),0.0010041250061476603,tryptophan,inventory_landscape,1.0,0.02,0.042,0.03,2.1,0.0
TRY_INV_000003,single_product_sensitivity,M_9ee9ae6bb8b9.yaml,Tryptophan(aq),0.0,273.15,101325.0,Tryptophan(aq),0.0,0.006377551020408163,0.0,ok,,TRY_INV_000003,M_9ee9ae6bb8b9,Tryptophan(aq),0.0010041250061476603,tryptophan,inventory_landscape,1.0,0.02,0.042,0.03,2.1,0.0
TRY_INV_000004,single_product_sensitivity,M_9ee9ae6bb8b9.yaml,Tryptophan(aq),0.0,273.15,101325.0,H2O(l),0.9074410163339383,0.9349336702463679,1.0,ok,,TRY_INV_000004,M_9ee9ae6bb8b9,Tryptophan(aq),0.0010157910000998527,tryptophan,inventory_landscape,1.0,0.02,0.042,0.04,2.1,0.0
TRY_INV_000004,single_product_sensitivity,M_9ee9ae6bb8b9.yaml,Tryptophan(aq),0.0,273.15,101325.0,HCN(aq),0.018148820326678763,2.9091690747129013e-57,0.02,ok,,TRY_INV_000004,M_9ee9ae6bb8b9,Tryptophan(aq),0.0010157910000998527,tryptophan,inventory_landscape,1.0,0.02,0.042,0.04,2.1,0.0
TRY_INV_000004,single_product_sensitivity,M_9ee9ae6bb8b9.yaml,Tryptophan(aq),0.0,273.15,101325.0,C2H2(aq),0.038112522686025406,0.01452937460518005,0.042,ok,,TRY_INV_000004,M_9ee9ae6bb8b9,Tryptophan(aq),0.0010157910000998527,tryptophan,inventory_landscape,1.0,0.02,0.042,0.04,2.1,0.0
TRY_INV_000004,single_product_sensitivity,M_9ee9ae6bb8b9.yaml,Tryptophan(aq),0.0,273.15,101325.0,NH3(aq),0.03629764065335753,0.04421983575489578,0.04,ok,,TRY_INV_000004,M_9ee9ae6bb8b9,Tryptophan(aq),0.0010157910000998527,tryptophan,inventory_landscape,1.0,0.02,0.042,0.04,2.1,0.0
TRY_INV_000004,single_product_sensitivity,M_9ee9ae6bb8b9.yaml,Tryptophan(aq),0.0,273.15,101325.0,Tryptophan(aq),0.0,0.006317119393556538,0.0,ok,,TRY_INV_000004,M_9ee9ae6bb8b9,Tryptophan(aq),0.0010157910000998527,tryptophan,inventory_landscape,1.0,0.02,0.042,0.04,2.1,0.0
TRY_INV_000005,single_product_sensitivity,M_9ee9ae6bb8b9.yaml,Tryptophan(aq),0.0,273.15,101325.0,H2O(l),0.8992805755395683,0.9261576971214017,1.0,ok,,TRY_INV_000005,M_9ee9ae6bb8b9,Tryptophan(aq),0.00097795799956657,tryptophan,inventory_landscape,1.0,0.02,0.042,0.05,2.1,0.0
TRY_INV_000005,single_product_sensitivity,M_9ee9ae6bb8b9.yaml,Tryptophan(aq),0.0,273.15,101325.0,HCN(aq),0.017985611510791366,3.1429470974633836e-57,0.02,ok,,TRY_INV_000005,M_9ee9ae6bb8b9,Tryptophan(aq),0.00097795799956657,tryptophan,inventory_landscape,1.0,0.02,0.042,0.05,2.1,0.0
TRY_INV_000005,single_product_sensitivity,M_9ee9ae6bb8b9.yaml,Tryptophan(aq),0.0,273.15,101325.0,C2H2(aq),0.03776978417266187,0.014392991239048821,0.042,ok,,TRY_INV_000005,M_9ee9ae6bb8b9,Tryptophan(aq),0.00097795799956657,tryptophan,inventory_landscape,1.0,0.02,0.042,0.05,2.1,0.0
TRY_INV_000005,single_product_sensitivity,M_9ee9ae6bb8b9.yaml,Tryptophan(aq),0.0,273.15,101325.0,NH3(aq),0.044964028776978415,0.053191489361702135,0.05,ok,,TRY_INV_000005,M_9ee9ae6bb8b9,Tryptophan(aq),0.00097795799956657,tryptophan,inventory_landscape,1.0,0.02,0.042,0.05,2.1,0.0
TRY_INV_000005,single_product_sensitivity,M_9ee9ae6bb8b9.yaml,Tryptophan(aq),0.0,273.15,101325.0,Tryptophan(aq),0.0,0.006257822277847309,0.0,ok,,TRY_INV_000005,M_9ee9ae6bb8b9,Tryptophan(aq),0.00097795799956657,tryptophan,inventory_landscape,1.0,0.02,0.042,0.05,2.1,0.0
