case_id,scenario_id,model_id,yaml_path,target_product,target_variant,T_C,P_Pa,case_hash,status,runtime_seconds,error_message
TRY_INV_000001,TRY_INV_000001,M_9ee9ae6bb8b9,models/M_9ee9ae6bb8b9.yaml,Tryptophan(aq),Tryptophan(aq),0.0,101325.0,11695f8e71745b9e,ok,0.006587750001926906,
TRY_INV_000002,TRY_INV_000002,M_9ee9ae6bb8b9,models/M_9ee9ae6bb8b9.yaml,Tryptophan(aq),Tryptophan(aq),0.0,101325.0,720935da5fbebee8,ok,0.001130167001974769,
TRY_INV_000003,TRY_INV_000003,M_9ee9ae6bb8b9,models/M_9ee9ae6bb8b9.yaml,Tryptophan(aq),Tryptophan(aq),0.0,101325.0,2f35683a7f9fa122,ok,0.0010041250061476603,
TRY_INV_000004,TRY_INV_000004,M_9ee9ae6bb8b9,models/M_9ee9ae6bb8b9.yaml,Tryptophan(aq),Tryptophan(aq),0.0,101325.0,7201fe52c655efa6,ok,0.0010157910000998527,
TRY_INV_000005,TRY_INV_000005,M_9ee9ae6bb8b9,models/M_9ee9ae6bb8b9.yaml,Tryptophan(aq),Tryptophan(aq),0.0,101325.0,23ba622f60aee55d,ok,0.00097795799956657,
TRY_INV_000006,TRY_INV_000006,M_9ee9ae6bb8b9,models/M_9ee9ae6bb8b9.yaml,Tryptophan(aq),Tryptophan(aq),0.0,101325.0,6a659e164b6d165e,ok,0.0009663749951869249,
TRY_DG_000001,TRY_DG_000001,M_dc970e3155d1,models/M_dc970e3155d1.yaml,Tryptophan(aq),Tryptophan__dG_m200(aq),0.0,101325.0,b617ba45f30b1c93,ok,0.005638124988763593,
TRY_DG_000002,TRY_DG_000002,M_b2d5819f765c,models/M_b2d5819f765c.yaml,Tryptophan(aq),Tryptophan__dG_m160(aq),0.0,101325.0,0deab6acd523fee1,ok,0.006324332993244752,
TRY_DG_000003,TRY_DG_000003,M_51c2edae6329,models/M_51c2edae6329.yaml,Tryptophan(aq),Tryptophan__dG_m120(aq),0.0,101325.0,cf3195210a094bce,ok,0.005669167003361508,
TRY_DG_000004,TRY_DG_000004,M_4decb47a8056,models/M_4decb47a8056.yaml,Tryptophan(aq),Tryptophan__dG_m080(aq),0.0,101325.0,3d30a9e9bdc818b1,ok,0.006256749999010935,
TRY_DG_000005,TRY_DG_000005,M_7a591a705c07,models/M_7a591a705c07.yaml,Tryptophan(aq),Tryptophan__dG_m040(aq),0.0,101325.0,ccb11407ec2224f3,ok,0.0056230410118587315,
TRY_DG_000006,TRY_DG_000006,M_72e38e92abc2,models/M_72e38e92abc2.yaml,Tryptophan(aq),Tryptophan__dG_000(aq),0.0,101325.0,50bbd281235bc547,ok,0.0059232920029899105,
TRY_DG_000007,TRY_DG_000007,M_4a5cb2af884b,models/M_4a5cb2af884b.yaml,Tryptophan(aq),Tryptophan__dG_p040(aq),0.0,101325.0,901995b2e53b3368,ok,0.005682666000211611,
TRY_DG_000008,TRY_DG_000008,M_41f06b14c3a7,models/M_41f06b14c3a7.yaml,Tryptophan(aq),Tryptophan__dG_p080(aq),0.0,101325.0,67e5349bc8b1e3f7,ok,0.0057527909957570955,
TRY_DG_000009,TRY_DG_000009,M_519427aae757,models/M_519427aae757.yaml,Tryptophan(aq),Tryptophan__dG_p120(aq),0.0,101325.0,08a466caf180df2a,ok,0.0056259580014739186,
TRY_DG_000010,TRY_DG_000010,M_9e4fdf812b9a,models/M_9e4fdf812b9a.yaml,Tryptophan(aq),Tryptophan__dG_p160(aq),0.0,101325.0,1a7e5a8c60f226e3,ok,0.005565874991589226,
TRY_DG_000011,TRY_DG_000011,M_a196c7e9cef8,models/M_a196c7e9cef8.yaml,Tryptophan(aq),Tryptophan__dG_p200(aq),0.0,101325.0,2287b10cd0607507,ok,0.0055815829982748255,
