study_id,substudy_id,target_product,target_variant,model_id,T_C,P_Pa,runtime_seconds,H2O_mol,HCN_mol,C2H2_mol,NH3_mol,C2H2_over_HCN,deltaG_offset_kJ_mol,case_id,X_eq,log10_X_eq,n_eq_mol,log10_n_eq_mol,formed_bool,formation_call,solver_status,error_message,element_balance_relative_spread,suspect_balance
valine,deltaG_sweep,Valine(aq),Valine__dG_m200(aq),M_80444b1595d4,0.0,101325.0,0.0057738330069696,1.0,0.02,0.042,0.05,2.1,-200.0,VAL_DG_000001,0.0174081237911025,-1.759248033654618,0.018000000000000002,-1.744727494896694,True,significant,ok,nan,2.7916633114365613e-15,False
valine,deltaG_sweep,Valine(aq),Valine__dG_m160(aq),M_0035cba8debe,0.0,101325.0,0.0055766250006854,1.0,0.02,0.042,0.05,2.1,-160.0,VAL_DG_000002,0.0174081237911025,-1.759248033654618,0.018000000000000002,-1.744727494896694,True,significant,ok,nan,2.7916633114365613e-15,False
valine,deltaG_sweep,Valine(aq),Valine__dG_m120(aq),M_fb7de91f1429,0.0,101325.0,0.0062591669993707,1.0,0.02,0.042,0.05,2.1,-120.0,VAL_DG_000003,0.0174081237911025,-1.759248033654618,0.018000000000000002,-1.744727494896694,True,significant,ok,nan,2.7916633114365613e-15,False
valine,deltaG_sweep,Valine(aq),Valine__dG_m080(aq),M_c2009bfe7a34,0.0,101325.0,0.0056955420004669,1.0,0.02,0.042,0.05,2.1,-80.0,VAL_DG_000004,0.0174081237911025,-1.759248033654618,0.018000000000000002,-1.744727494896694,True,significant,ok,nan,2.7916633114365613e-15,False
valine,deltaG_sweep,Valine(aq),Valine__dG_m040(aq),M_65b30d1a9ac4,0.0,101325.0,0.0057756669993977,1.0,0.02,0.042,0.05,2.1,-40.0,VAL_DG_000005,0.0174081237911025,-1.759248033654618,0.018000000000000002,-1.744727494896694,True,significant,ok,nan,2.7916633114365613e-15,False
valine,deltaG_sweep,Valine(aq),Valine__dG_000(aq),M_29b3fc659885,0.0,101325.0,0.0055940830061445,1.0,0.02,0.042,0.05,2.1,0.0,VAL_DG_000006,0.0174081237911025,-1.759248033654618,0.018000000000000002,-1.744727494896694,True,significant,ok,nan,2.7916633114365613e-15,False
valine,deltaG_sweep,Valine(aq),Valine__dG_p040(aq),M_231dd85e143e,0.0,101325.0,0.0057197499991161,1.0,0.02,0.042,0.05,2.1,40.0,VAL_DG_000007,0.0174081237911025,-1.759248033654618,0.018000000000000002,-1.744727494896694,True,significant,ok,nan,2.7916633114365613e-15,False
valine,deltaG_sweep,Valine(aq),Valine__dG_p080(aq),M_dede39794103,0.0,101325.0,0.0055542920017614,1.0,0.02,0.042,0.05,2.1,80.0,VAL_DG_000008,0.0174081237911025,-1.759248033654618,0.018,-1.744727494896694,True,significant,ok,nan,1.503203321542764e-15,False
valine,deltaG_sweep,Valine(aq),Valine__dG_p120(aq),M_ad9e2413646a,0.0,101325.0,0.0055726249993313,1.0,0.02,0.042,0.05,2.1,120.0,VAL_DG_000009,0.0174081237911025,-1.759248033654618,0.018000000000000002,-1.744727494896694,True,significant,ok,nan,2.7916633114365613e-15,False
valine,deltaG_sweep,Valine(aq),Valine__dG_p160(aq),M_eaff919525fa,0.0,101325.0,0.0058961670001735,1.0,0.02,0.042,0.05,2.1,160.0,VAL_DG_000010,0.0174081237911025,-1.759248033654618,0.018000000000000002,-1.744727494896694,True,significant,ok,nan,1.5032033215427639e-15,False
valine,deltaG_sweep,Valine(aq),Valine__dG_p200(aq),M_f5fed93b2421,0.0,101325.0,0.0055221250077011,1.0,0.02,0.042,0.05,2.1,200.0,VAL_DG_000011,0.0174081237911025,-1.759248033654618,0.018000000000000002,-1.744727494896694,True,significant,ok,nan,2.7916633114365613e-15,False
valine,inventory_landscape,Valine(aq),Valine(aq),M_f9a31914e259,0.0,101325.0,0.0070860419946257,1.0,0.02,0.042,0.01,2.1,0.0,VAL_INV_000001,0.0148957298907646,-1.8269382114979382,0.014999999999999973,-1.8239087409443195,True,significant,ok,nan,4.189520847642094e-15,False
valine,inventory_landscape,Valine(aq),Valine(aq),M_f9a31914e259,0.0,101325.0,0.0011179580033058,1.0,0.02,0.042,0.02,2.1,0.0,VAL_INV_000002,0.0179282868525896,-1.7464612077056954,0.017999999999999985,-1.7447274948966942,True,significant,ok,nan,2.653919580777263e-15,False
valine,inventory_landscape,Valine(aq),Valine(aq),M_f9a31914e259,0.0,101325.0,0.0010118750069523,1.0,0.02,0.042,0.03,2.1,0.0,VAL_INV_000003,0.0177514792899408,-1.7507654498940117,0.017999999999999985,-1.7447274948966942,True,significant,ok,nan,1.5328523022438048e-15,False
valine,inventory_landscape,Valine(aq),Valine(aq),M_f9a31914e259,0.0,101325.0,0.001001874989015,1.0,0.02,0.042,0.04,2.1,0.0,VAL_INV_000004,0.017578125,-1.7550274515365059,0.01800000000000001,-1.7447274948966938,True,significant,ok,nan,3.4694469519536126e-15,False
valine,inventory_landscape,Valine(aq),Valine(aq),M_f9a31914e259,0.0,101325.0,0.0009574580035405,1.0,0.02,0.042,0.05,2.1,0.0,VAL_INV_000005,0.0174081237911025,-1.759248033654618,0.018000000000000002,-1.744727494896694,True,significant,ok,nan,2.7916633114365613e-15,False
valine,inventory_landscape,Valine(aq),Valine(aq),M_f9a31914e259,0.0,101325.0,0.0014506669976981,1.0,0.02,0.042,0.1,2.1,0.0,VAL_INV_000006,0.0166051660516605,-1.7797567770990625,0.017999999999999995,-1.744727494896694,True,significant,ok,nan,1.0241909821265274e-15,False
