study_id,substudy_id,target_product,target_variant,model_id,T_C,P_Pa,runtime_seconds,H2O_mol,HCN_mol,C2H2_mol,NH3_mol,C2H2_over_HCN,deltaG_offset_kJ_mol,case_id,X_eq,log10_X_eq,n_eq_mol,log10_n_eq_mol,formed_bool,formation_call,solver_status,error_message,element_balance_relative_spread,suspect_balance
alanine,deltaG_sweep,Alanine(aq),Alanine__dG_m200(aq),M_71c27d8880c9,0.0,101325.0,0.0052136250014882,1.0,0.02,0.042,0.0,2.1,-200.0,ALA_DG_000001,0.0199600798403193,-1.699837725867247,0.01999999999999996,-1.6989700043360196,True,significant,ok,nan,2.880818227570263e-15,False
alanine,deltaG_sweep,Alanine(aq),Alanine__dG_m160(aq),M_0c4ed732043f,0.0,101325.0,0.0048043340066215,1.0,0.02,0.042,0.0,2.1,-160.0,ALA_DG_000002,0.0199600798403193,-1.699837725867247,0.019999999999999973,-1.6989700043360194,True,significant,ok,nan,3.5456224339326296e-15,False
alanine,deltaG_sweep,Alanine(aq),Alanine__dG_m120(aq),M_5164e0f224d2,0.0,101325.0,0.0047197090025292,1.0,0.02,0.042,0.0,2.1,-120.0,ALA_DG_000003,0.0199600798403193,-1.699837725867247,0.01999999999999996,-1.6989700043360196,True,significant,ok,nan,2.880818227570263e-15,False
alanine,deltaG_sweep,Alanine(aq),Alanine__dG_m080(aq),M_022bcb9d6ccd,0.0,101325.0,0.0049108329985756,1.0,0.02,0.042,0.0,2.1,-80.0,ALA_DG_000004,0.0199600798403193,-1.699837725867247,0.01999999999999996,-1.6989700043360196,True,significant,ok,nan,2.880818227570263e-15,False
alanine,deltaG_sweep,Alanine(aq),Alanine__dG_m040(aq),M_8e9f165af642,0.0,101325.0,0.0059362500032875,1.0,0.02,0.042,0.0,2.1,-40.0,ALA_DG_000005,0.0199600798403193,-1.699837725867247,0.01999999999999996,-1.6989700043360196,True,significant,ok,nan,2.880818227570263e-15,False
alanine,deltaG_sweep,Alanine(aq),Alanine__dG_000(aq),M_ebbe56efa3f6,0.0,101325.0,0.0055194159940583,1.0,0.02,0.042,0.0,2.1,0.0,ALA_DG_000006,0.0199600798403193,-1.699837725867247,0.01999999999999996,-1.6989700043360196,True,significant,ok,nan,2.880818227570263e-15,False
alanine,deltaG_sweep,Alanine(aq),Alanine__dG_p040(aq),M_24fd08babd78,0.0,101325.0,0.0057710839901119,1.0,0.02,0.042,0.0,2.1,40.0,ALA_DG_000007,0.0199600798403193,-1.699837725867247,0.01999999999999996,-1.6989700043360196,True,significant,ok,nan,2.880818227570263e-15,False
alanine,deltaG_sweep,Alanine(aq),Alanine__dG_p080(aq),M_d399ff6dcee1,0.0,101325.0,0.0045938330003991,1.0,0.02,0.042,0.0,2.1,80.0,ALA_DG_000008,0.0199600798403193,-1.699837725867247,0.01999999999999996,-1.6989700043360196,True,significant,ok,nan,2.880818227570263e-15,False
alanine,deltaG_sweep,Alanine(aq),Alanine__dG_p120(aq),M_7086743321f2,0.0,101325.0,0.0050316249980824,1.0,0.02,0.042,0.0,2.1,120.0,ALA_DG_000009,0.0199600798403193,-1.699837725867247,0.019999999999999973,-1.6989700043360194,True,significant,ok,nan,3.5456224339326296e-15,False
alanine,deltaG_sweep,Alanine(aq),Alanine__dG_p160(aq),M_6889725eb5b4,0.0,101325.0,0.0046768339962,1.0,0.02,0.042,0.0,2.1,160.0,ALA_DG_000010,0.0199600798403186,-1.6998377258672623,0.019999999999999282,-1.6989700043360343,True,significant,ok,nan,1.5512098148455247e-15,False
alanine,deltaG_sweep,Alanine(aq),Alanine__dG_p200(aq),M_27b0c321acbf,0.0,101325.0,0.0046371249918593,1.0,0.02,0.042,0.0,2.1,200.0,ALA_DG_000011,0.0199600461350746,-1.6998384592317557,0.019999968135401357,-1.698970696267538,True,significant,ok,nan,3.7672234766490355e-15,False
alanine,inventory_landscape,Alanine(aq),Alanine(aq),M_25c207616ffd,0.0,101325.0,0.006837708002422,1.0,0.02,0.042,0.0,2.1,0.0,ALA_INV_000001,0.0199600798403193,-1.699837725867247,0.01999999999999996,-1.6989700043360196,True,significant,ok,nan,2.880818227570263e-15,False
