case_id,study_id,substudy_id,target_product,target_variant,H2O_mol,HCN_mol,C2H2_mol,NH3_mol,C2H2_over_HCN,deltaG_offset_kJ_mol,T_C,P_Pa,scenario_id,model_id,case_hash
ASP_INV_000001,asparagine,inventory_landscape,Asparagine(aq),Asparagine(aq),1.0,0.02,0.042,0.0,2.1,0.0,0.0,101325.0,ASP_INV_000001,M_c354fc1b9c8e,c8ad39d14b1f541b
ASP_DG_000001,asparagine,deltaG_sweep,Asparagine(aq),Asparagine__dG_m200(aq),1.0,0.02,0.042,0.0,2.1,-200.0,0.0,101325.0,ASP_DG_000001,M_8c2f2490fa53,5ba0c282ba9f6e17
ASP_DG_000002,asparagine,deltaG_sweep,Asparagine(aq),Asparagine__dG_m160(aq),1.0,0.02,0.042,0.0,2.1,-160.0,0.0,101325.0,ASP_DG_000002,M_82a85ae07985,dddad63bf46e360a
ASP_DG_000003,asparagine,deltaG_sweep,Asparagine(aq),Asparagine__dG_m120(aq),1.0,0.02,0.042,0.0,2.1,-120.0,0.0,101325.0,ASP_DG_000003,M_e4e053e5ba40,b86db0212135e4ec
ASP_DG_000004,asparagine,deltaG_sweep,Asparagine(aq),Asparagine__dG_m080(aq),1.0,0.02,0.042,0.0,2.1,-80.0,0.0,101325.0,ASP_DG_000004,M_d8f5dbd5fe13,6f53962b4dcffc29
ASP_DG_000005,asparagine,deltaG_sweep,Asparagine(aq),Asparagine__dG_m040(aq),1.0,0.02,0.042,0.0,2.1,-40.0,0.0,101325.0,ASP_DG_000005,M_7b4502af506c,206b250d32cabd35
ASP_DG_000006,asparagine,deltaG_sweep,Asparagine(aq),Asparagine__dG_000(aq),1.0,0.02,0.042,0.0,2.1,0.0,0.0,101325.0,ASP_DG_000006,M_188f0e335dd0,ca45f8166c6647d9
ASP_DG_000007,asparagine,deltaG_sweep,Asparagine(aq),Asparagine__dG_p040(aq),1.0,0.02,0.042,0.0,2.1,40.0,0.0,101325.0,ASP_DG_000007,M_edc9736db57f,f4c027b07799bef4
ASP_DG_000008,asparagine,deltaG_sweep,Asparagine(aq),Asparagine__dG_p080(aq),1.0,0.02,0.042,0.0,2.1,80.0,0.0,101325.0,ASP_DG_000008,M_42268cdf9e22,b9f353baf74cb76e
ASP_DG_000009,asparagine,deltaG_sweep,Asparagine(aq),Asparagine__dG_p120(aq),1.0,0.02,0.042,0.0,2.1,120.0,0.0,101325.0,ASP_DG_000009,M_6a3284cfd345,c02418a61e7de293
ASP_DG_000010,asparagine,deltaG_sweep,Asparagine(aq),Asparagine__dG_p160(aq),1.0,0.02,0.042,0.0,2.1,160.0,0.0,101325.0,ASP_DG_000010,M_ab1a251e40f1,9513fd837bb15cd8
ASP_DG_000011,asparagine,deltaG_sweep,Asparagine(aq),Asparagine__dG_p200(aq),1.0,0.02,0.042,0.0,2.1,200.0,0.0,101325.0,ASP_DG_000011,M_95592f0f6ec2,c2c1b858a5d9822c
