model_id,yaml_path,model_mode,target_variant,base_species,thermo_variant_id,species_set_hash,thermo_hash
M_c354fc1b9c8e,models/M_c354fc1b9c8e.yaml,single_product_sensitivity,Asparagine(aq),H2O(l);HCN(aq);C2H2(aq),base,1a4489ea1406,332ff7c063d3
M_8c2f2490fa53,models/M_8c2f2490fa53.yaml,single_product_sensitivity,Asparagine__dG_m200(aq),H2O(l);HCN(aq);C2H2(aq),dG_m200,2dfeb298cd46,e8a7327569c5
M_82a85ae07985,models/M_82a85ae07985.yaml,single_product_sensitivity,Asparagine__dG_m160(aq),H2O(l);HCN(aq);C2H2(aq),dG_m160,61672e992386,beb22b6e4fbf
M_e4e053e5ba40,models/M_e4e053e5ba40.yaml,single_product_sensitivity,Asparagine__dG_m120(aq),H2O(l);HCN(aq);C2H2(aq),dG_m120,866e4081367c,45bcd76b789a
M_d8f5dbd5fe13,models/M_d8f5dbd5fe13.yaml,single_product_sensitivity,Asparagine__dG_m080(aq),H2O(l);HCN(aq);C2H2(aq),dG_m080,d48843257562,d106328c37ab
M_7b4502af506c,models/M_7b4502af506c.yaml,single_product_sensitivity,Asparagine__dG_m040(aq),H2O(l);HCN(aq);C2H2(aq),dG_m040,edd0a52fa99f,9e4cb1bbaac8
M_188f0e335dd0,models/M_188f0e335dd0.yaml,single_product_sensitivity,Asparagine__dG_000(aq),H2O(l);HCN(aq);C2H2(aq),dG_000,d92819c26157,3f740cbd0a1d
M_edc9736db57f,models/M_edc9736db57f.yaml,single_product_sensitivity,Asparagine__dG_p040(aq),H2O(l);HCN(aq);C2H2(aq),dG_p040,fa5aca061899,ec9dad0ee16e
M_42268cdf9e22,models/M_42268cdf9e22.yaml,single_product_sensitivity,Asparagine__dG_p080(aq),H2O(l);HCN(aq);C2H2(aq),dG_p080,ba68159110e0,841589765152
M_6a3284cfd345,models/M_6a3284cfd345.yaml,single_product_sensitivity,Asparagine__dG_p120(aq),H2O(l);HCN(aq);C2H2(aq),dG_p120,f8d557a89f3a,1ee775c4c8b0
M_ab1a251e40f1,models/M_ab1a251e40f1.yaml,single_product_sensitivity,Asparagine__dG_p160(aq),H2O(l);HCN(aq);C2H2(aq),dG_p160,e42e82d4528d,0cb00ca42dde
M_95592f0f6ec2,models/M_95592f0f6ec2.yaml,single_product_sensitivity,Asparagine__dG_p200(aq),H2O(l);HCN(aq);C2H2(aq),dG_p200,34c7f4eb3866,8dc1eddb3a4a
