scenario,model_mode,yaml_file,target_product,T_C,T_K,P_Pa,species,X_initial,X_eq,initial_moles,solver_status,error_message,case_id,model_id,target_variant,runtime_seconds,study_id,substudy_id,H2O_mol,HCN_mol,C2H2_mol,NH3_mol,C2H2_over_HCN,deltaG_offset_kJ_mol
ASP_INV_000001,single_product_sensitivity,M_c354fc1b9c8e.yaml,Asparagine(aq),0.0,273.15,101325.0,H2O(l),0.9416195856873822,0.9416195856873825,1.0,ok,,ASP_INV_000001,M_c354fc1b9c8e,Asparagine(aq),0.006479292002040893,asparagine,inventory_landscape,1.0,0.02,0.042,0.0,2.1,0.0
ASP_INV_000001,single_product_sensitivity,M_c354fc1b9c8e.yaml,Asparagine(aq),0.0,273.15,101325.0,HCN(aq),0.018832391713747645,0.018832391713747648,0.02,ok,,ASP_INV_000001,M_c354fc1b9c8e,Asparagine(aq),0.006479292002040893,asparagine,inventory_landscape,1.0,0.02,0.042,0.0,2.1,0.0
ASP_INV_000001,single_product_sensitivity,M_c354fc1b9c8e.yaml,Asparagine(aq),0.0,273.15,101325.0,C2H2(aq),0.03954802259887006,0.03954802259887007,0.042,ok,,ASP_INV_000001,M_c354fc1b9c8e,Asparagine(aq),0.006479292002040893,asparagine,inventory_landscape,1.0,0.02,0.042,0.0,2.1,0.0
ASP_INV_000001,single_product_sensitivity,M_c354fc1b9c8e.yaml,Asparagine(aq),0.0,273.15,101325.0,Asparagine(aq),0.0,0.0,0.0,ok,,ASP_INV_000001,M_c354fc1b9c8e,Asparagine(aq),0.006479292002040893,asparagine,inventory_landscape,1.0,0.02,0.042,0.0,2.1,0.0
ASP_DG_000001,single_product_sensitivity,M_8c2f2490fa53.yaml,Asparagine(aq),0.0,273.15,101325.0,H2O(l),0.9416195856873822,0.9416195856873825,1.0,ok,,ASP_DG_000001,M_8c2f2490fa53,Asparagine__dG_m200(aq),0.005510082992259413,asparagine,deltaG_sweep,1.0,0.02,0.042,0.0,2.1,-200.0
ASP_DG_000001,single_product_sensitivity,M_8c2f2490fa53.yaml,Asparagine(aq),0.0,273.15,101325.0,HCN(aq),0.018832391713747645,0.018832391713747648,0.02,ok,,ASP_DG_000001,M_8c2f2490fa53,Asparagine__dG_m200(aq),0.005510082992259413,asparagine,deltaG_sweep,1.0,0.02,0.042,0.0,2.1,-200.0
ASP_DG_000001,single_product_sensitivity,M_8c2f2490fa53.yaml,Asparagine(aq),0.0,273.15,101325.0,C2H2(aq),0.03954802259887006,0.03954802259887007,0.042,ok,,ASP_DG_000001,M_8c2f2490fa53,Asparagine__dG_m200(aq),0.005510082992259413,asparagine,deltaG_sweep,1.0,0.02,0.042,0.0,2.1,-200.0
ASP_DG_000001,single_product_sensitivity,M_8c2f2490fa53.yaml,Asparagine(aq),0.0,273.15,101325.0,Asparagine__dG_m200(aq),0.0,0.0,0.0,ok,,ASP_DG_000001,M_8c2f2490fa53,Asparagine__dG_m200(aq),0.005510082992259413,asparagine,deltaG_sweep,1.0,0.02,0.042,0.0,2.1,-200.0
ASP_DG_000002,single_product_sensitivity,M_82a85ae07985.yaml,Asparagine(aq),0.0,273.15,101325.0,H2O(l),0.9416195856873822,0.9416195856873825,1.0,ok,,ASP_DG_000002,M_82a85ae07985,Asparagine__dG_m160(aq),0.004913333992590196,asparagine,deltaG_sweep,1.0,0.02,0.042,0.0,2.1,-160.0
ASP_DG_000002,single_product_sensitivity,M_82a85ae07985.yaml,Asparagine(aq),0.0,273.15,101325.0,HCN(aq),0.018832391713747645,0.018832391713747648,0.02,ok,,ASP_DG_000002,M_82a85ae07985,Asparagine__dG_m160(aq),0.004913333992590196,asparagine,deltaG_sweep,1.0,0.02,0.042,0.0,2.1,-160.0
ASP_DG_000002,single_product_sensitivity,M_82a85ae07985.yaml,Asparagine(aq),0.0,273.15,101325.0,C2H2(aq),0.03954802259887006,0.03954802259887007,0.042,ok,,ASP_DG_000002,M_82a85ae07985,Asparagine__dG_m160(aq),0.004913333992590196,asparagine,deltaG_sweep,1.0,0.02,0.042,0.0,2.1,-160.0
