study_id,substudy_id,target_product,target_variant,model_id,T_C,P_Pa,runtime_seconds,H2O_mol,HCN_mol,C2H2_mol,NH3_mol,C2H2_over_HCN,deltaG_offset_kJ_mol,case_id,X_eq,log10_X_eq,n_eq_mol,log10_n_eq_mol,formed_bool,formation_call,solver_status,error_message,element_balance_relative_spread,suspect_balance
asparagine,deltaG_sweep,Asparagine(aq),Asparagine__dG_m200(aq),M_8c2f2490fa53,0.0,101325.0,0.0055100829922594,1.0,0.02,0.042,0.0,2.1,-200.0,ASP_DG_000001,0.0,,0.0,,False,below_threshold,ok,nan,2.718060135617141e-15,False
asparagine,deltaG_sweep,Asparagine(aq),Asparagine__dG_m160(aq),M_82a85ae07985,0.0,101325.0,0.0049133339925901,1.0,0.02,0.042,0.0,2.1,-160.0,ASP_DG_000002,0.0,,0.0,,False,below_threshold,ok,nan,2.718060135617141e-15,False
asparagine,deltaG_sweep,Asparagine(aq),Asparagine__dG_m120(aq),M_e4e053e5ba40,0.0,101325.0,0.0048328330012736,1.0,0.02,0.042,0.0,2.1,-120.0,ASP_DG_000003,0.0,,0.0,,False,below_threshold,ok,nan,2.718060135617141e-15,False
asparagine,deltaG_sweep,Asparagine(aq),Asparagine__dG_m080(aq),M_d8f5dbd5fe13,0.0,101325.0,0.0049472500104457,1.0,0.02,0.042,0.0,2.1,-80.0,ASP_DG_000004,0.0,,0.0,,False,below_threshold,ok,nan,2.718060135617141e-15,False
asparagine,deltaG_sweep,Asparagine(aq),Asparagine__dG_m040(aq),M_7b4502af506c,0.0,101325.0,0.0053472089930437,1.0,0.02,0.042,0.0,2.1,-40.0,ASP_DG_000005,0.0,,0.0,,False,below_threshold,ok,nan,2.718060135617141e-15,False
asparagine,deltaG_sweep,Asparagine(aq),Asparagine__dG_000(aq),M_188f0e335dd0,0.0,101325.0,0.0050272500084247,1.0,0.02,0.042,0.0,2.1,0.0,ASP_DG_000006,0.0,,0.0,,False,below_threshold,ok,nan,2.718060135617141e-15,False
asparagine,deltaG_sweep,Asparagine(aq),Asparagine__dG_p040(aq),M_edc9736db57f,0.0,101325.0,0.0055074160045478,1.0,0.02,0.042,0.0,2.1,40.0,ASP_DG_000007,0.0,,0.0,,False,below_threshold,ok,nan,2.718060135617141e-15,False
asparagine,deltaG_sweep,Asparagine(aq),Asparagine__dG_p080(aq),M_42268cdf9e22,0.0,101325.0,0.0049834999954327,1.0,0.02,0.042,0.0,2.1,80.0,ASP_DG_000008,0.0,,0.0,,False,below_threshold,ok,nan,2.718060135617141e-15,False
asparagine,deltaG_sweep,Asparagine(aq),Asparagine__dG_p120(aq),M_6a3284cfd345,0.0,101325.0,0.0050647500029299,1.0,0.02,0.042,0.0,2.1,120.0,ASP_DG_000009,0.0,,0.0,,False,below_threshold,ok,nan,2.718060135617141e-15,False
asparagine,deltaG_sweep,Asparagine(aq),Asparagine__dG_p160(aq),M_ab1a251e40f1,0.0,101325.0,0.0049693329929141,1.0,0.02,0.042,0.0,2.1,160.0,ASP_DG_000010,0.0,,0.0,,False,below_threshold,ok,nan,2.718060135617141e-15,False
asparagine,deltaG_sweep,Asparagine(aq),Asparagine__dG_p200(aq),M_95592f0f6ec2,0.0,101325.0,0.0049395829992135,1.0,0.02,0.042,0.0,2.1,200.0,ASP_DG_000011,0.0,,0.0,,False,below_threshold,ok,nan,2.718060135617141e-15,False
asparagine,inventory_landscape,Asparagine(aq),Asparagine(aq),M_c354fc1b9c8e,0.0,101325.0,0.0064792920020408,1.0,0.02,0.042,0.0,2.1,0.0,ASP_INV_000001,0.0,,0.0,,False,below_threshold,ok,nan,2.718060135617141e-15,False
