study_id,substudy_id,target_product,target_variant,model_id,T_C,P_Pa,runtime_seconds,H2O_mol,HCN_mol,C2H2_mol,NH3_mol,C2H2_over_HCN,deltaG_offset_kJ_mol,case_id,X_eq,log10_X_eq,n_eq_mol,log10_n_eq_mol,formed_bool,formation_call,solver_status,error_message,element_balance_relative_spread,suspect_balance
asparticacid,deltaG_sweep,AsparticAcid(aq),AsparticAcid__dG_m200(aq),M_aa62807504ef,0.0,101325.0,0.0046212089946493,1.0,0.02,0.042,0.0,2.1,-200.0,ASP_DG_000001,0.0,,0.0,,False,below_threshold,ok,nan,2.718060135617141e-15,False
asparticacid,deltaG_sweep,AsparticAcid(aq),AsparticAcid__dG_m160(aq),M_14b3d9f882bb,0.0,101325.0,0.0051122500008204,1.0,0.02,0.042,0.0,2.1,-160.0,ASP_DG_000002,0.0,,0.0,,False,below_threshold,ok,nan,2.718060135617141e-15,False
asparticacid,deltaG_sweep,AsparticAcid(aq),AsparticAcid__dG_m120(aq),M_1063b90802d3,0.0,101325.0,0.0045932909997645,1.0,0.02,0.042,0.0,2.1,-120.0,ASP_DG_000003,0.0,,0.0,,False,below_threshold,ok,nan,2.718060135617141e-15,False
asparticacid,deltaG_sweep,AsparticAcid(aq),AsparticAcid__dG_m080(aq),M_1dec64a15217,0.0,101325.0,0.0045430419995682,1.0,0.02,0.042,0.0,2.1,-80.0,ASP_DG_000004,0.0,,0.0,,False,below_threshold,ok,nan,2.718060135617141e-15,False
asparticacid,deltaG_sweep,AsparticAcid(aq),AsparticAcid__dG_m040(aq),M_cf89d0e8e894,0.0,101325.0,0.0048002910043578,1.0,0.02,0.042,0.0,2.1,-40.0,ASP_DG_000005,0.0,,0.0,,False,below_threshold,ok,nan,2.718060135617141e-15,False
asparticacid,deltaG_sweep,AsparticAcid(aq),AsparticAcid__dG_000(aq),M_2936ebb3ccd6,0.0,101325.0,0.0045129170030122,1.0,0.02,0.042,0.0,2.1,0.0,ASP_DG_000006,0.0,,0.0,,False,below_threshold,ok,nan,2.718060135617141e-15,False
asparticacid,deltaG_sweep,AsparticAcid(aq),AsparticAcid__dG_p040(aq),M_20c07d505589,0.0,101325.0,0.0045976660039741,1.0,0.02,0.042,0.0,2.1,40.0,ASP_DG_000007,0.0,,0.0,,False,below_threshold,ok,nan,2.718060135617141e-15,False
asparticacid,deltaG_sweep,AsparticAcid(aq),AsparticAcid__dG_p080(aq),M_d2e525d1778e,0.0,101325.0,0.0047540829982608,1.0,0.02,0.042,0.0,2.1,80.0,ASP_DG_000008,0.0,,0.0,,False,below_threshold,ok,nan,2.718060135617141e-15,False
asparticacid,deltaG_sweep,AsparticAcid(aq),AsparticAcid__dG_p120(aq),M_10b9a4847049,0.0,101325.0,0.0045237080048536,1.0,0.02,0.042,0.0,2.1,120.0,ASP_DG_000009,0.0,,0.0,,False,below_threshold,ok,nan,2.718060135617141e-15,False
asparticacid,deltaG_sweep,AsparticAcid(aq),AsparticAcid__dG_p160(aq),M_677232a1e361,0.0,101325.0,0.0046377919934457,1.0,0.02,0.042,0.0,2.1,160.0,ASP_DG_000010,0.0,,0.0,,False,below_threshold,ok,nan,2.718060135617141e-15,False
asparticacid,deltaG_sweep,AsparticAcid(aq),AsparticAcid__dG_p200(aq),M_730a58f059e5,0.0,101325.0,0.0045128339988878,1.0,0.02,0.042,0.0,2.1,200.0,ASP_DG_000011,0.0,,0.0,,False,below_threshold,ok,nan,2.718060135617141e-15,False
asparticacid,inventory_landscape,AsparticAcid(aq),AsparticAcid(aq),M_6af61cbef57b,0.0,101325.0,0.0053831249970244,1.0,0.02,0.042,0.0,2.1,0.0,ASP_INV_000001,0.0,,0.0,,False,below_threshold,ok,nan,2.718060135617141e-15,False
