case_id,study_id,substudy_id,target_product,target_variant,H2O_mol,HCN_mol,C2H2_mol,NH3_mol,C2H2_over_HCN,deltaG_offset_kJ_mol,T_C,P_Pa,scenario_id,model_id,case_hash
GLU_INV_000001,glutamicacid,inventory_landscape,GlutamicAcid(aq),GlutamicAcid(aq),1.0,0.02,0.042,0.0,2.1,0.0,0.0,101325.0,GLU_INV_000001,M_31a821d98b00,ce763d60019ca1d3
GLU_DG_000001,glutamicacid,deltaG_sweep,GlutamicAcid(aq),GlutamicAcid__dG_m200(aq),1.0,0.02,0.042,0.0,2.1,-200.0,0.0,101325.0,GLU_DG_000001,M_70a6c8e22371,7e6c7803463133e3
GLU_DG_000002,glutamicacid,deltaG_sweep,GlutamicAcid(aq),GlutamicAcid__dG_m160(aq),1.0,0.02,0.042,0.0,2.1,-160.0,0.0,101325.0,GLU_DG_000002,M_3780cf991826,5b72083a4c39d4c3
GLU_DG_000003,glutamicacid,deltaG_sweep,GlutamicAcid(aq),GlutamicAcid__dG_m120(aq),1.0,0.02,0.042,0.0,2.1,-120.0,0.0,101325.0,GLU_DG_000003,M_811376ff5945,a0d822f2c45c5a08
GLU_DG_000004,glutamicacid,deltaG_sweep,GlutamicAcid(aq),GlutamicAcid__dG_m080(aq),1.0,0.02,0.042,0.0,2.1,-80.0,0.0,101325.0,GLU_DG_000004,M_8ee64ac99f91,09c29716fc054fff
GLU_DG_000005,glutamicacid,deltaG_sweep,GlutamicAcid(aq),GlutamicAcid__dG_m040(aq),1.0,0.02,0.042,0.0,2.1,-40.0,0.0,101325.0,GLU_DG_000005,M_19899125be23,31f6d15f446c7d02
GLU_DG_000006,glutamicacid,deltaG_sweep,GlutamicAcid(aq),GlutamicAcid__dG_000(aq),1.0,0.02,0.042,0.0,2.1,0.0,0.0,101325.0,GLU_DG_000006,M_09fa0120f07d,dfe34f14ae33bb6e
GLU_DG_000007,glutamicacid,deltaG_sweep,GlutamicAcid(aq),GlutamicAcid__dG_p040(aq),1.0,0.02,0.042,0.0,2.1,40.0,0.0,101325.0,GLU_DG_000007,M_d95427c597eb,64b107c2d7b9f623
GLU_DG_000008,glutamicacid,deltaG_sweep,GlutamicAcid(aq),GlutamicAcid__dG_p080(aq),1.0,0.02,0.042,0.0,2.1,80.0,0.0,101325.0,GLU_DG_000008,M_7de23c8ed6e8,df8e1915edf577b2
GLU_DG_000009,glutamicacid,deltaG_sweep,GlutamicAcid(aq),GlutamicAcid__dG_p120(aq),1.0,0.02,0.042,0.0,2.1,120.0,0.0,101325.0,GLU_DG_000009,M_cb4a3b575cfd,d10efb9aafb9b824
GLU_DG_000010,glutamicacid,deltaG_sweep,GlutamicAcid(aq),GlutamicAcid__dG_p160(aq),1.0,0.02,0.042,0.0,2.1,160.0,0.0,101325.0,GLU_DG_000010,M_1ddad49816ef,4b07911c7f6c3ee6
GLU_DG_000011,glutamicacid,deltaG_sweep,GlutamicAcid(aq),GlutamicAcid__dG_p200(aq),1.0,0.02,0.042,0.0,2.1,200.0,0.0,101325.0,GLU_DG_000011,M_06a4c136b2e8,8b7c396f19d91032
