scenario,model_mode,yaml_file,target_product,T_C,T_K,P_Pa,species,X_initial,X_eq,initial_moles,solver_status,error_message,case_id,model_id,target_variant,runtime_seconds,study_id,substudy_id,H2O_mol,HCN_mol,C2H2_mol,NH3_mol,C2H2_over_HCN,deltaG_offset_kJ_mol
GLU_INV_000001,single_product_sensitivity,M_31a821d98b00.yaml,GlutamicAcid(aq),0.0,273.15,101325.0,H2O(l),0.9416195856873822,0.9416195856873825,1.0,ok,,GLU_INV_000001,M_31a821d98b00,GlutamicAcid(aq),0.005254458999843337,glutamicacid,inventory_landscape,1.0,0.02,0.042,0.0,2.1,0.0
GLU_INV_000001,single_product_sensitivity,M_31a821d98b00.yaml,GlutamicAcid(aq),0.0,273.15,101325.0,HCN(aq),0.018832391713747645,0.018832391713747648,0.02,ok,,GLU_INV_000001,M_31a821d98b00,GlutamicAcid(aq),0.005254458999843337,glutamicacid,inventory_landscape,1.0,0.02,0.042,0.0,2.1,0.0
GLU_INV_000001,single_product_sensitivity,M_31a821d98b00.yaml,GlutamicAcid(aq),0.0,273.15,101325.0,C2H2(aq),0.03954802259887006,0.03954802259887007,0.042,ok,,GLU_INV_000001,M_31a821d98b00,GlutamicAcid(aq),0.005254458999843337,glutamicacid,inventory_landscape,1.0,0.02,0.042,0.0,2.1,0.0
GLU_INV_000001,single_product_sensitivity,M_31a821d98b00.yaml,GlutamicAcid(aq),0.0,273.15,101325.0,GlutamicAcid(aq),0.0,0.0,0.0,ok,,GLU_INV_000001,M_31a821d98b00,GlutamicAcid(aq),0.005254458999843337,glutamicacid,inventory_landscape,1.0,0.02,0.042,0.0,2.1,0.0
GLU_DG_000001,single_product_sensitivity,M_70a6c8e22371.yaml,GlutamicAcid(aq),0.0,273.15,101325.0,H2O(l),0.9416195856873822,0.9416195856873825,1.0,ok,,GLU_DG_000001,M_70a6c8e22371,GlutamicAcid__dG_m200(aq),0.004986291998648085,glutamicacid,deltaG_sweep,1.0,0.02,0.042,0.0,2.1,-200.0
GLU_DG_000001,single_product_sensitivity,M_70a6c8e22371.yaml,GlutamicAcid(aq),0.0,273.15,101325.0,HCN(aq),0.018832391713747645,0.018832391713747648,0.02,ok,,GLU_DG_000001,M_70a6c8e22371,GlutamicAcid__dG_m200(aq),0.004986291998648085,glutamicacid,deltaG_sweep,1.0,0.02,0.042,0.0,2.1,-200.0
GLU_DG_000001,single_product_sensitivity,M_70a6c8e22371.yaml,GlutamicAcid(aq),0.0,273.15,101325.0,C2H2(aq),0.03954802259887006,0.03954802259887007,0.042,ok,,GLU_DG_000001,M_70a6c8e22371,GlutamicAcid__dG_m200(aq),0.004986291998648085,glutamicacid,deltaG_sweep,1.0,0.02,0.042,0.0,2.1,-200.0
GLU_DG_000001,single_product_sensitivity,M_70a6c8e22371.yaml,GlutamicAcid(aq),0.0,273.15,101325.0,GlutamicAcid__dG_m200(aq),0.0,0.0,0.0,ok,,GLU_DG_000001,M_70a6c8e22371,GlutamicAcid__dG_m200(aq),0.004986291998648085,glutamicacid,deltaG_sweep,1.0,0.02,0.042,0.0,2.1,-200.0
GLU_DG_000002,single_product_sensitivity,M_3780cf991826.yaml,GlutamicAcid(aq),0.0,273.15,101325.0,H2O(l),0.9416195856873822,0.9416195856873825,1.0,ok,,GLU_DG_000002,M_3780cf991826,GlutamicAcid__dG_m160(aq),0.004595209000399336,glutamicacid,deltaG_sweep,1.0,0.02,0.042,0.0,2.1,-160.0
GLU_DG_000002,single_product_sensitivity,M_3780cf991826.yaml,GlutamicAcid(aq),0.0,273.15,101325.0,HCN(aq),0.018832391713747645,0.018832391713747648,0.02,ok,,GLU_DG_000002,M_3780cf991826,GlutamicAcid__dG_m160(aq),0.004595209000399336,glutamicacid,deltaG_sweep,1.0,0.02,0.042,0.0,2.1,-160.0
GLU_DG_000002,single_product_sensitivity,M_3780cf991826.yaml,GlutamicAcid(aq),0.0,273.15,101325.0,C2H2(aq),0.03954802259887006,0.03954802259887007,0.042,ok,,GLU_DG_000002,M_3780cf991826,GlutamicAcid__dG_m160(aq),0.004595209000399336,glutamicacid,deltaG_sweep,1.0,0.02,0.042,0.0,2.1,-160.0
GLU_DG_000002,single_product_sensitivity,M_3780cf991826.yaml,GlutamicAcid(aq),0.0,273.15,101325.0,GlutamicAcid__dG_m160(aq),0.0,0.0,0.0,ok,,GLU_DG_000002,M_3780cf991826,GlutamicAcid__dG_m160(aq),0.004595209000399336,glutamicacid,deltaG_sweep,1.0,0.02,0.042,0.0,2.1,-160.0
GLU_DG_000003,single_product_sensitivity,M_811376ff5945.yaml,GlutamicAcid(aq),0.0,273.15,101325.0,H2O(l),0.9416195856873822,0.9416195856873825,1.0,ok,,GLU_DG_000003,M_811376ff5945,GlutamicAcid__dG_m120(aq),0.00456233300792519,glutamicacid,deltaG_sweep,1.0,0.02,0.042,0.0,2.1,-120.0
GLU_DG_000003,single_product_sensitivity,M_811376ff5945.yaml,GlutamicAcid(aq),0.0,273.15,101325.0,HCN(aq),0.018832391713747645,0.018832391713747648,0.02,ok,,GLU_DG_000003,M_811376ff5945,GlutamicAcid__dG_m120(aq),0.00456233300792519,glutamicacid,deltaG_sweep,1.0,0.02,0.042,0.0,2.1,-120.0
GLU_DG_000003,single_product_sensitivity,M_811376ff5945.yaml,GlutamicAcid(aq),0.0,273.15,101325.0,C2H2(aq),0.03954802259887006,0.03954802259887007,0.042,ok,,GLU_DG_000003,M_811376ff5945,GlutamicAcid__dG_m120(aq),0.00456233300792519,glutamicacid,deltaG_sweep,1.0,0.02,0.042,0.0,2.1,-120.0
GLU_DG_000003,single_product_sensitivity,M_811376ff5945.yaml,GlutamicAcid(aq),0.0,273.15,101325.0,GlutamicAcid__dG_m120(aq),0.0,0.0,0.0,ok,,GLU_DG_000003,M_811376ff5945,GlutamicAcid__dG_m120(aq),0.00456233300792519,glutamicacid,deltaG_sweep,1.0,0.02,0.042,0.0,2.1,-120.0
