case_id,scenario_id,model_id,yaml_path,target_product,target_variant,T_C,P_Pa,case_hash,status,runtime_seconds,error_message
GLY_INV_000001,GLY_INV_000001,M_fd585a28ae83,models/M_fd585a28ae83.yaml,Glycine(aq),Glycine(aq),0.0,101325.0,7f8b78154be29d1e,ok,0.013727583005675115,
GLY_DG_000001,GLY_DG_000001,M_941c33478081,models/M_941c33478081.yaml,Glycine(aq),Glycine__dG_m200(aq),0.0,101325.0,af304c94ee33286f,ok,0.00500441700569354,
GLY_DG_000002,GLY_DG_000002,M_6aa5c8f8b581,models/M_6aa5c8f8b581.yaml,Glycine(aq),Glycine__dG_m160(aq),0.0,101325.0,d823e6627477c968,ok,0.00509224999404978,
GLY_DG_000003,GLY_DG_000003,M_1c6233b310ac,models/M_1c6233b310ac.yaml,Glycine(aq),Glycine__dG_m120(aq),0.0,101325.0,5db0842fa30c246a,ok,0.004965250001987442,
GLY_DG_000004,GLY_DG_000004,M_59889c0c0415,models/M_59889c0c0415.yaml,Glycine(aq),Glycine__dG_m080(aq),0.0,101325.0,6dab771b22e02549,ok,0.004614332996425219,
GLY_DG_000005,GLY_DG_000005,M_7ad1c218c125,models/M_7ad1c218c125.yaml,Glycine(aq),Glycine__dG_m040(aq),0.0,101325.0,46edbe9934814a19,ok,0.004612625009031035,
GLY_DG_000006,GLY_DG_000006,M_a93047354a8f,models/M_a93047354a8f.yaml,Glycine(aq),Glycine__dG_000(aq),0.0,101325.0,f7bca47777642deb,ok,0.004679292003856972,
GLY_DG_000007,GLY_DG_000007,M_1404202326c6,models/M_1404202326c6.yaml,Glycine(aq),Glycine__dG_p040(aq),0.0,101325.0,81204683e2592393,ok,0.004591958990204148,
GLY_DG_000008,GLY_DG_000008,M_c734cb64f667,models/M_c734cb64f667.yaml,Glycine(aq),Glycine__dG_p080(aq),0.0,101325.0,4e01292d21f5e03e,ok,0.004760458003147505,
GLY_DG_000009,GLY_DG_000009,M_43695fe267df,models/M_43695fe267df.yaml,Glycine(aq),Glycine__dG_p120(aq),0.0,101325.0,dbab8b4fd2ef55e4,ok,0.004752541004563682,
GLY_DG_000010,GLY_DG_000010,M_09570386979c,models/M_09570386979c.yaml,Glycine(aq),Glycine__dG_p160(aq),0.0,101325.0,3f6e13cf7593f435,ok,0.005129042008775286,
GLY_DG_000011,GLY_DG_000011,M_563b6b25b33d,models/M_563b6b25b33d.yaml,Glycine(aq),Glycine__dG_p200(aq),0.0,101325.0,8c15fb4dfe8cce1d,ok,0.004898082988802344,
