study_id,substudy_id,target_product,target_variant,model_id,T_C,P_Pa,runtime_seconds,H2O_mol,HCN_mol,C2H2_mol,NH3_mol,C2H2_over_HCN,deltaG_offset_kJ_mol,case_id,X_eq,log10_X_eq,n_eq_mol,log10_n_eq_mol,formed_bool,formation_call,solver_status,error_message,element_balance_relative_spread,suspect_balance
isoleucine,deltaG_sweep,Isoleucine(aq),Isoleucine__dG_m200(aq),M_94833c315665,0.0,101325.0,0.005423749986221,1.0,0.02,0.042,0.0,2.1,-200.0,ISO_DG_000001,0.0,,0.0,,False,below_threshold,ok,nan,2.718060135617141e-15,False
isoleucine,deltaG_sweep,Isoleucine(aq),Isoleucine__dG_m160(aq),M_bec6fc80b6e7,0.0,101325.0,0.0054623750038445,1.0,0.02,0.042,0.0,2.1,-160.0,ISO_DG_000002,0.0,,0.0,,False,below_threshold,ok,nan,2.718060135617141e-15,False
isoleucine,deltaG_sweep,Isoleucine(aq),Isoleucine__dG_m120(aq),M_f9467c700dd1,0.0,101325.0,0.0050722500018309,1.0,0.02,0.042,0.0,2.1,-120.0,ISO_DG_000003,0.0,,0.0,,False,below_threshold,ok,nan,2.718060135617141e-15,False
isoleucine,deltaG_sweep,Isoleucine(aq),Isoleucine__dG_m080(aq),M_654a3ce1800f,0.0,101325.0,0.0046128340036375,1.0,0.02,0.042,0.0,2.1,-80.0,ISO_DG_000004,0.0,,0.0,,False,below_threshold,ok,nan,2.718060135617141e-15,False
isoleucine,deltaG_sweep,Isoleucine(aq),Isoleucine__dG_m040(aq),M_c196dee483e1,0.0,101325.0,0.0045978329872014,1.0,0.02,0.042,0.0,2.1,-40.0,ISO_DG_000005,0.0,,0.0,,False,below_threshold,ok,nan,2.718060135617141e-15,False
isoleucine,deltaG_sweep,Isoleucine(aq),Isoleucine__dG_000(aq),M_4242b6c93a22,0.0,101325.0,0.0049710830062394,1.0,0.02,0.042,0.0,2.1,0.0,ISO_DG_000006,0.0,,0.0,,False,below_threshold,ok,nan,2.718060135617141e-15,False
isoleucine,deltaG_sweep,Isoleucine(aq),Isoleucine__dG_p040(aq),M_846a3e625d8b,0.0,101325.0,0.0046619579952675,1.0,0.02,0.042,0.0,2.1,40.0,ISO_DG_000007,0.0,,0.0,,False,below_threshold,ok,nan,2.718060135617141e-15,False
isoleucine,deltaG_sweep,Isoleucine(aq),Isoleucine__dG_p080(aq),M_1bd956b20d01,0.0,101325.0,0.0045486250019166,1.0,0.02,0.042,0.0,2.1,80.0,ISO_DG_000008,0.0,,0.0,,False,below_threshold,ok,nan,2.718060135617141e-15,False
isoleucine,deltaG_sweep,Isoleucine(aq),Isoleucine__dG_p120(aq),M_c324085c6c4b,0.0,101325.0,0.0049030829977709,1.0,0.02,0.042,0.0,2.1,120.0,ISO_DG_000009,0.0,,0.0,,False,below_threshold,ok,nan,2.718060135617141e-15,False
isoleucine,deltaG_sweep,Isoleucine(aq),Isoleucine__dG_p160(aq),M_8bcded5611dd,0.0,101325.0,0.0050222909922013,1.0,0.02,0.042,0.0,2.1,160.0,ISO_DG_000010,0.0,,0.0,,False,below_threshold,ok,nan,2.718060135617141e-15,False
isoleucine,deltaG_sweep,Isoleucine(aq),Isoleucine__dG_p200(aq),M_fc374e8cae1c,0.0,101325.0,0.005059541988885,1.0,0.02,0.042,0.0,2.1,200.0,ISO_DG_000011,0.0,,0.0,,False,below_threshold,ok,nan,2.718060135617141e-15,False
isoleucine,inventory_landscape,Isoleucine(aq),Isoleucine(aq),M_d10749d93c61,0.0,101325.0,0.0053453330037882,1.0,0.02,0.042,0.0,2.1,0.0,ISO_INV_000001,0.0,,0.0,,False,below_threshold,ok,nan,2.718060135617141e-15,False
