case_id,scenario_id,model_id,yaml_path,target_product,target_variant,T_C,P_Pa,case_hash,status,runtime_seconds,error_message
ISO_INV_000001,ISO_INV_000001,M_d10749d93c61,models/M_d10749d93c61.yaml,Isoleucine(aq),Isoleucine(aq),0.0,101325.0,5ca720aefb1be3e5,ok,0.005345333003788255,
ISO_DG_000001,ISO_DG_000001,M_94833c315665,models/M_94833c315665.yaml,Isoleucine(aq),Isoleucine__dG_m200(aq),0.0,101325.0,e5540495849b5a33,ok,0.0054237499862210825,
ISO_DG_000002,ISO_DG_000002,M_bec6fc80b6e7,models/M_bec6fc80b6e7.yaml,Isoleucine(aq),Isoleucine__dG_m160(aq),0.0,101325.0,69fc534c21797ba3,ok,0.0054623750038445,
ISO_DG_000003,ISO_DG_000003,M_f9467c700dd1,models/M_f9467c700dd1.yaml,Isoleucine(aq),Isoleucine__dG_m120(aq),0.0,101325.0,9caa1178aa1b2908,ok,0.00507225000183098,
ISO_DG_000004,ISO_DG_000004,M_654a3ce1800f,models/M_654a3ce1800f.yaml,Isoleucine(aq),Isoleucine__dG_m080(aq),0.0,101325.0,af06b02958d6b009,ok,0.004612834003637545,
ISO_DG_000005,ISO_DG_000005,M_c196dee483e1,models/M_c196dee483e1.yaml,Isoleucine(aq),Isoleucine__dG_m040(aq),0.0,101325.0,47b7d5474f968a76,ok,0.0045978329872014,
ISO_DG_000006,ISO_DG_000006,M_4242b6c93a22,models/M_4242b6c93a22.yaml,Isoleucine(aq),Isoleucine__dG_000(aq),0.0,101325.0,7c0d85de59cbf4a3,ok,0.004971083006239496,
ISO_DG_000007,ISO_DG_000007,M_846a3e625d8b,models/M_846a3e625d8b.yaml,Isoleucine(aq),Isoleucine__dG_p040(aq),0.0,101325.0,aa7f03b5d3860fd2,ok,0.004661957995267585,
ISO_DG_000008,ISO_DG_000008,M_1bd956b20d01,models/M_1bd956b20d01.yaml,Isoleucine(aq),Isoleucine__dG_p080(aq),0.0,101325.0,aa635e51473c41f7,ok,0.004548625001916662,
ISO_DG_000009,ISO_DG_000009,M_c324085c6c4b,models/M_c324085c6c4b.yaml,Isoleucine(aq),Isoleucine__dG_p120(aq),0.0,101325.0,3c936bff384980e7,ok,0.00490308299777098,
ISO_DG_000010,ISO_DG_000010,M_8bcded5611dd,models/M_8bcded5611dd.yaml,Isoleucine(aq),Isoleucine__dG_p160(aq),0.0,101325.0,c64dc8c6bed32c9e,ok,0.005022290992201306,
ISO_DG_000011,ISO_DG_000011,M_fc374e8cae1c,models/M_fc374e8cae1c.yaml,Isoleucine(aq),Isoleucine__dG_p200(aq),0.0,101325.0,71f9081ed2276bec,ok,0.00505954198888503,
