scenario,model_mode,yaml_file,target_product,T_C,T_K,P_Pa,species,X_initial,X_eq,initial_moles,solver_status,error_message,case_id,model_id,target_variant,runtime_seconds,study_id,substudy_id,H2O_mol,HCN_mol,C2H2_mol,NH3_mol,C2H2_over_HCN,deltaG_offset_kJ_mol
LEU_INV_000001,single_product_sensitivity,M_2a835c89809e.yaml,Leucine(aq),0.0,273.15,101325.0,H2O(l),0.9416195856873822,0.9416195856873825,1.0,ok,,LEU_INV_000001,M_2a835c89809e,Leucine(aq),0.008609167009126395,leucine,inventory_landscape,1.0,0.02,0.042,0.0,2.1,0.0
LEU_INV_000001,single_product_sensitivity,M_2a835c89809e.yaml,Leucine(aq),0.0,273.15,101325.0,HCN(aq),0.018832391713747645,0.018832391713747648,0.02,ok,,LEU_INV_000001,M_2a835c89809e,Leucine(aq),0.008609167009126395,leucine,inventory_landscape,1.0,0.02,0.042,0.0,2.1,0.0
LEU_INV_000001,single_product_sensitivity,M_2a835c89809e.yaml,Leucine(aq),0.0,273.15,101325.0,C2H2(aq),0.03954802259887006,0.03954802259887007,0.042,ok,,LEU_INV_000001,M_2a835c89809e,Leucine(aq),0.008609167009126395,leucine,inventory_landscape,1.0,0.02,0.042,0.0,2.1,0.0
LEU_INV_000001,single_product_sensitivity,M_2a835c89809e.yaml,Leucine(aq),0.0,273.15,101325.0,Leucine(aq),0.0,0.0,0.0,ok,,LEU_INV_000001,M_2a835c89809e,Leucine(aq),0.008609167009126395,leucine,inventory_landscape,1.0,0.02,0.042,0.0,2.1,0.0
LEU_DG_000001,single_product_sensitivity,M_46badc090e0c.yaml,Leucine(aq),0.0,273.15,101325.0,H2O(l),0.9416195856873822,0.9416195856873825,1.0,ok,,LEU_DG_000001,M_46badc090e0c,Leucine__dG_m200(aq),0.006363082997268066,leucine,deltaG_sweep,1.0,0.02,0.042,0.0,2.1,-200.0
LEU_DG_000001,single_product_sensitivity,M_46badc090e0c.yaml,Leucine(aq),0.0,273.15,101325.0,HCN(aq),0.018832391713747645,0.018832391713747648,0.02,ok,,LEU_DG_000001,M_46badc090e0c,Leucine__dG_m200(aq),0.006363082997268066,leucine,deltaG_sweep,1.0,0.02,0.042,0.0,2.1,-200.0
LEU_DG_000001,single_product_sensitivity,M_46badc090e0c.yaml,Leucine(aq),0.0,273.15,101325.0,C2H2(aq),0.03954802259887006,0.03954802259887007,0.042,ok,,LEU_DG_000001,M_46badc090e0c,Leucine__dG_m200(aq),0.006363082997268066,leucine,deltaG_sweep,1.0,0.02,0.042,0.0,2.1,-200.0
LEU_DG_000001,single_product_sensitivity,M_46badc090e0c.yaml,Leucine(aq),0.0,273.15,101325.0,Leucine__dG_m200(aq),0.0,0.0,0.0,ok,,LEU_DG_000001,M_46badc090e0c,Leucine__dG_m200(aq),0.006363082997268066,leucine,deltaG_sweep,1.0,0.02,0.042,0.0,2.1,-200.0
LEU_DG_000002,single_product_sensitivity,M_cc2df8c8963f.yaml,Leucine(aq),0.0,273.15,101325.0,H2O(l),0.9416195856873822,0.9416195856873825,1.0,ok,,LEU_DG_000002,M_cc2df8c8963f,Leucine__dG_m160(aq),0.0050073750026058406,leucine,deltaG_sweep,1.0,0.02,0.042,0.0,2.1,-160.0
LEU_DG_000002,single_product_sensitivity,M_cc2df8c8963f.yaml,Leucine(aq),0.0,273.15,101325.0,HCN(aq),0.018832391713747645,0.018832391713747648,0.02,ok,,LEU_DG_000002,M_cc2df8c8963f,Leucine__dG_m160(aq),0.0050073750026058406,leucine,deltaG_sweep,1.0,0.02,0.042,0.0,2.1,-160.0
