scenario,model_mode,yaml_file,target_product,T_C,T_K,P_Pa,species,X_initial,X_eq,initial_moles,solver_status,error_message,case_id,model_id,target_variant,runtime_seconds,study_id,substudy_id,H2O_mol,HCN_mol,C2H2_mol,NH3_mol,C2H2_over_HCN,deltaG_offset_kJ_mol
PRO_INV_000001,single_product_sensitivity,M_af61d52f110a.yaml,Proline(aq),0.0,273.15,101325.0,H2O(l),0.9416195856873822,0.9775967413441955,1.0,ok,,PRO_INV_000001,M_af61d52f110a,Proline(aq),0.008266167002147995,proline,inventory_landscape,1.0,0.02,0.042,0.0,2.1,0.0
PRO_INV_000001,single_product_sensitivity,M_af61d52f110a.yaml,Proline(aq),0.0,273.15,101325.0,HCN(aq),0.018832391713747645,2.0869011820758062e-72,0.02,ok,,PRO_INV_000001,M_af61d52f110a,Proline(aq),0.008266167002147995,proline,inventory_landscape,1.0,0.02,0.042,0.0,2.1,0.0
PRO_INV_000001,single_product_sensitivity,M_af61d52f110a.yaml,Proline(aq),0.0,273.15,101325.0,C2H2(aq),0.03954802259887006,0.002036659877800413,0.042,ok,,PRO_INV_000001,M_af61d52f110a,Proline(aq),0.008266167002147995,proline,inventory_landscape,1.0,0.02,0.042,0.0,2.1,0.0
PRO_INV_000001,single_product_sensitivity,M_af61d52f110a.yaml,Proline(aq),0.0,273.15,101325.0,Proline(aq),0.0,0.02036659877800407,0.0,ok,,PRO_INV_000001,M_af61d52f110a,Proline(aq),0.008266167002147995,proline,inventory_landscape,1.0,0.02,0.042,0.0,2.1,0.0
PRO_DG_000001,single_product_sensitivity,M_997e1841b649.yaml,Proline(aq),0.0,273.15,101325.0,H2O(l),0.9416195856873822,0.9775967413441955,1.0,ok,,PRO_DG_000001,M_997e1841b649,Proline__dG_m200(aq),0.005243416002485901,proline,deltaG_sweep,1.0,0.02,0.042,0.0,2.1,-200.0
PRO_DG_000001,single_product_sensitivity,M_997e1841b649.yaml,Proline(aq),0.0,273.15,101325.0,HCN(aq),0.018832391713747645,1.1861102989864956e-110,0.02,ok,,PRO_DG_000001,M_997e1841b649,Proline__dG_m200(aq),0.005243416002485901,proline,deltaG_sweep,1.0,0.02,0.042,0.0,2.1,-200.0
PRO_DG_000001,single_product_sensitivity,M_997e1841b649.yaml,Proline(aq),0.0,273.15,101325.0,C2H2(aq),0.03954802259887006,0.002036659877800413,0.042,ok,,PRO_DG_000001,M_997e1841b649,Proline__dG_m200(aq),0.005243416002485901,proline,deltaG_sweep,1.0,0.02,0.042,0.0,2.1,-200.0
PRO_DG_000001,single_product_sensitivity,M_997e1841b649.yaml,Proline(aq),0.0,273.15,101325.0,Proline__dG_m200(aq),0.0,0.02036659877800407,0.0,ok,,PRO_DG_000001,M_997e1841b649,Proline__dG_m200(aq),0.005243416002485901,proline,deltaG_sweep,1.0,0.02,0.042,0.0,2.1,-200.0
PRO_DG_000002,single_product_sensitivity,M_aae86ae946bc.yaml,Proline(aq),0.0,273.15,101325.0,H2O(l),0.9416195856873822,0.9775967413441955,1.0,ok,,PRO_DG_000002,M_aae86ae946bc,Proline__dG_m160(aq),0.006495416993857361,proline,deltaG_sweep,1.0,0.02,0.042,0.0,2.1,-160.0
PRO_DG_000002,single_product_sensitivity,M_aae86ae946bc.yaml,Proline(aq),0.0,273.15,101325.0,HCN(aq),0.018832391713747645,5.28689199693733e-103,0.02,ok,,PRO_DG_000002,M_aae86ae946bc,Proline__dG_m160(aq),0.006495416993857361,proline,deltaG_sweep,1.0,0.02,0.042,0.0,2.1,-160.0
PRO_DG_000002,single_product_sensitivity,M_aae86ae946bc.yaml,Proline(aq),0.0,273.15,101325.0,C2H2(aq),0.03954802259887006,0.002036659877800413,0.042,ok,,PRO_DG_000002,M_aae86ae946bc,Proline__dG_m160(aq),0.006495416993857361,proline,deltaG_sweep,1.0,0.02,0.042,0.0,2.1,-160.0
PRO_DG_000002,single_product_sensitivity,M_aae86ae946bc.yaml,Proline(aq),0.0,273.15,101325.0,Proline__dG_m160(aq),0.0,0.02036659877800407,0.0,ok,,PRO_DG_000002,M_aae86ae946bc,Proline__dG_m160(aq),0.006495416993857361,proline,deltaG_sweep,1.0,0.02,0.042,0.0,2.1,-160.0
