study_id,substudy_id,target_product,target_variant,model_id,T_C,P_Pa,runtime_seconds,H2O_mol,HCN_mol,C2H2_mol,NH3_mol,C2H2_over_HCN,deltaG_offset_kJ_mol,case_id,X_eq,log10_X_eq,n_eq_mol,log10_n_eq_mol,formed_bool,formation_call,solver_status,error_message,element_balance_relative_spread,suspect_balance
proline,deltaG_sweep,Proline(aq),Proline__dG_m200(aq),M_997e1841b649,0.0,101325.0,0.0052434160024859,1.0,0.02,0.042,0.0,2.1,-200.0,PRO_DG_000001,0.020366598778004,-1.69108149212297,0.019999999999999966,-1.6989700043360196,True,significant,ok,nan,3.504777368979612e-15,False
proline,deltaG_sweep,Proline(aq),Proline__dG_m160(aq),M_aae86ae946bc,0.0,101325.0,0.0064954169938573,1.0,0.02,0.042,0.0,2.1,-160.0,PRO_DG_000002,0.020366598778004,-1.69108149212297,0.019999999999999966,-1.6989700043360196,True,significant,ok,nan,3.504777368979612e-15,False
proline,deltaG_sweep,Proline(aq),Proline__dG_m120(aq),M_0d887b96b030,0.0,101325.0,0.0049019170110113,1.0,0.02,0.042,0.0,2.1,-120.0,PRO_DG_000003,0.020366598778004,-1.69108149212297,0.019999999999999966,-1.6989700043360196,True,significant,ok,nan,3.504777368979612e-15,False
proline,deltaG_sweep,Proline(aq),Proline__dG_m080(aq),M_42895e6bd8b7,0.0,101325.0,0.0049339580000378,1.0,0.02,0.042,0.0,2.1,-80.0,PRO_DG_000004,0.020366598778004,-1.69108149212297,0.019999999999999966,-1.6989700043360196,True,significant,ok,nan,3.504777368979612e-15,False
proline,deltaG_sweep,Proline(aq),Proline__dG_m040(aq),M_66e816dcc08b,0.0,101325.0,0.0060523749998537,1.0,0.02,0.042,0.0,2.1,-40.0,PRO_DG_000005,0.020366598778004,-1.69108149212297,0.019999999999999966,-1.6989700043360196,True,significant,ok,nan,3.504777368979612e-15,False
proline,deltaG_sweep,Proline(aq),Proline__dG_000(aq),M_41bccb3fc0c4,0.0,101325.0,0.0052748750022146,1.0,0.02,0.042,0.0,2.1,0.0,PRO_DG_000006,0.020366598778004,-1.69108149212297,0.019999999999999966,-1.6989700043360196,True,significant,ok,nan,3.504777368979612e-15,False
proline,deltaG_sweep,Proline(aq),Proline__dG_p040(aq),M_00be063fd2b6,0.0,101325.0,0.0060650410014204,1.0,0.02,0.042,0.0,2.1,40.0,PRO_DG_000007,0.020366598778004,-1.69108149212297,0.019999999999999966,-1.6989700043360196,True,significant,ok,nan,3.504777368979612e-15,False
proline,deltaG_sweep,Proline(aq),Proline__dG_p080(aq),M_ce83b3479037,0.0,101325.0,0.0054448750015581,1.0,0.02,0.042,0.0,2.1,80.0,PRO_DG_000008,0.020366598778004,-1.69108149212297,0.019999999999999966,-1.6989700043360196,True,significant,ok,nan,3.504777368979612e-15,False
proline,deltaG_sweep,Proline(aq),Proline__dG_p120(aq),M_1369a108dd6c,0.0,101325.0,0.0069689160009147,1.0,0.02,0.042,0.0,2.1,120.0,PRO_DG_000009,0.020366598778004,-1.69108149212297,0.019999999999999966,-1.6989700043360196,True,significant,ok,nan,3.504777368979612e-15,False
proline,deltaG_sweep,Proline(aq),Proline__dG_p160(aq),M_3fccadd55635,0.0,101325.0,0.0049251669988734,1.0,0.02,0.042,0.0,2.1,160.0,PRO_DG_000010,0.020366598778004,-1.69108149212297,0.019999999999999966,-1.6989700043360196,True,significant,ok,nan,3.504777368979612e-15,False
proline,deltaG_sweep,Proline(aq),Proline__dG_p200(aq),M_6d35a404beed,0.0,101325.0,0.0050315839907852,1.0,0.02,0.042,0.0,2.1,200.0,PRO_DG_000011,0.020366598778004,-1.69108149212297,0.019999999999999966,-1.6989700043360196,True,significant,ok,nan,3.504777368979612e-15,False
proline,inventory_landscape,Proline(aq),Proline(aq),M_af61d52f110a,0.0,101325.0,0.0082661670021479,1.0,0.02,0.042,0.0,2.1,0.0,PRO_INV_000001,0.020366598778004,-1.69108149212297,0.019999999999999966,-1.6989700043360196,True,significant,ok,nan,3.504777368979612e-15,False
