scenario,model_mode,yaml_file,target_product,T_C,T_K,P_Pa,species,X_initial,X_eq,initial_moles,solver_status,error_message,case_id,model_id,target_variant,runtime_seconds,study_id,substudy_id,H2O_mol,HCN_mol,C2H2_mol,NH3_mol,C2H2_over_HCN,deltaG_offset_kJ_mol
SER_INV_000001,single_product_sensitivity,M_07624ddcdcb4.yaml,Serine(aq),0.0,273.15,101325.0,H2O(l),0.9416195856873822,0.9416195856873825,1.0,ok,,SER_INV_000001,M_07624ddcdcb4,Serine(aq),0.00563004199648276,serine,inventory_landscape,1.0,0.02,0.042,0.0,2.1,0.0
SER_INV_000001,single_product_sensitivity,M_07624ddcdcb4.yaml,Serine(aq),0.0,273.15,101325.0,HCN(aq),0.018832391713747645,0.018832391713747648,0.02,ok,,SER_INV_000001,M_07624ddcdcb4,Serine(aq),0.00563004199648276,serine,inventory_landscape,1.0,0.02,0.042,0.0,2.1,0.0
SER_INV_000001,single_product_sensitivity,M_07624ddcdcb4.yaml,Serine(aq),0.0,273.15,101325.0,C2H2(aq),0.03954802259887006,0.03954802259887007,0.042,ok,,SER_INV_000001,M_07624ddcdcb4,Serine(aq),0.00563004199648276,serine,inventory_landscape,1.0,0.02,0.042,0.0,2.1,0.0
SER_INV_000001,single_product_sensitivity,M_07624ddcdcb4.yaml,Serine(aq),0.0,273.15,101325.0,Serine(aq),0.0,0.0,0.0,ok,,SER_INV_000001,M_07624ddcdcb4,Serine(aq),0.00563004199648276,serine,inventory_landscape,1.0,0.02,0.042,0.0,2.1,0.0
SER_DG_000001,single_product_sensitivity,M_12bb5cd0866b.yaml,Serine(aq),0.0,273.15,101325.0,H2O(l),0.9416195856873822,0.9416195856873825,1.0,ok,,SER_DG_000001,M_12bb5cd0866b,Serine__dG_m200(aq),0.004702999998698942,serine,deltaG_sweep,1.0,0.02,0.042,0.0,2.1,-200.0
SER_DG_000001,single_product_sensitivity,M_12bb5cd0866b.yaml,Serine(aq),0.0,273.15,101325.0,HCN(aq),0.018832391713747645,0.018832391713747648,0.02,ok,,SER_DG_000001,M_12bb5cd0866b,Serine__dG_m200(aq),0.004702999998698942,serine,deltaG_sweep,1.0,0.02,0.042,0.0,2.1,-200.0
SER_DG_000001,single_product_sensitivity,M_12bb5cd0866b.yaml,Serine(aq),0.0,273.15,101325.0,C2H2(aq),0.03954802259887006,0.03954802259887007,0.042,ok,,SER_DG_000001,M_12bb5cd0866b,Serine__dG_m200(aq),0.004702999998698942,serine,deltaG_sweep,1.0,0.02,0.042,0.0,2.1,-200.0
SER_DG_000001,single_product_sensitivity,M_12bb5cd0866b.yaml,Serine(aq),0.0,273.15,101325.0,Serine__dG_m200(aq),0.0,0.0,0.0,ok,,SER_DG_000001,M_12bb5cd0866b,Serine__dG_m200(aq),0.004702999998698942,serine,deltaG_sweep,1.0,0.02,0.042,0.0,2.1,-200.0
SER_DG_000002,single_product_sensitivity,M_9e5f96880d0f.yaml,Serine(aq),0.0,273.15,101325.0,H2O(l),0.9416195856873822,0.9416195856873825,1.0,ok,,SER_DG_000002,M_9e5f96880d0f,Serine__dG_m160(aq),0.005294040995067917,serine,deltaG_sweep,1.0,0.02,0.042,0.0,2.1,-160.0
SER_DG_000002,single_product_sensitivity,M_9e5f96880d0f.yaml,Serine(aq),0.0,273.15,101325.0,HCN(aq),0.018832391713747645,0.018832391713747648,0.02,ok,,SER_DG_000002,M_9e5f96880d0f,Serine__dG_m160(aq),0.005294040995067917,serine,deltaG_sweep,1.0,0.02,0.042,0.0,2.1,-160.0
