case_id,study_id,substudy_id,target_product,target_variant,H2O_mol,HCN_mol,C2H2_mol,NH3_mol,C2H2_over_HCN,deltaG_offset_kJ_mol,T_C,P_Pa,scenario_id,model_id,case_hash
THR_INV_000001,threonine,inventory_landscape,Threonine(aq),Threonine(aq),1.0,0.02,0.042,0.0,2.1,0.0,0.0,101325.0,THR_INV_000001,M_2f9766376563,adf0b4e417b4bedf
THR_DG_000001,threonine,deltaG_sweep,Threonine(aq),Threonine__dG_m200(aq),1.0,0.02,0.042,0.0,2.1,-200.0,0.0,101325.0,THR_DG_000001,M_94aecd2438b9,bf162d1be2924092
THR_DG_000002,threonine,deltaG_sweep,Threonine(aq),Threonine__dG_m160(aq),1.0,0.02,0.042,0.0,2.1,-160.0,0.0,101325.0,THR_DG_000002,M_8fb51f4c70bb,58dbb7d5b74d9333
THR_DG_000003,threonine,deltaG_sweep,Threonine(aq),Threonine__dG_m120(aq),1.0,0.02,0.042,0.0,2.1,-120.0,0.0,101325.0,THR_DG_000003,M_25af2a4f8037,e5ac805d6d4d3fa9
THR_DG_000004,threonine,deltaG_sweep,Threonine(aq),Threonine__dG_m080(aq),1.0,0.02,0.042,0.0,2.1,-80.0,0.0,101325.0,THR_DG_000004,M_9c0882dbf10d,2b953266535ca8a5
THR_DG_000005,threonine,deltaG_sweep,Threonine(aq),Threonine__dG_m040(aq),1.0,0.02,0.042,0.0,2.1,-40.0,0.0,101325.0,THR_DG_000005,M_3e1eef217b08,3882de52a49bea1b
THR_DG_000006,threonine,deltaG_sweep,Threonine(aq),Threonine__dG_000(aq),1.0,0.02,0.042,0.0,2.1,0.0,0.0,101325.0,THR_DG_000006,M_2b9981fcb4d2,8895eb195c4f98d7
THR_DG_000007,threonine,deltaG_sweep,Threonine(aq),Threonine__dG_p040(aq),1.0,0.02,0.042,0.0,2.1,40.0,0.0,101325.0,THR_DG_000007,M_0e7d4508245f,12c48e9da5648b28
THR_DG_000008,threonine,deltaG_sweep,Threonine(aq),Threonine__dG_p080(aq),1.0,0.02,0.042,0.0,2.1,80.0,0.0,101325.0,THR_DG_000008,M_e0ccaf07d54d,097ff32a02aa918f
THR_DG_000009,threonine,deltaG_sweep,Threonine(aq),Threonine__dG_p120(aq),1.0,0.02,0.042,0.0,2.1,120.0,0.0,101325.0,THR_DG_000009,M_9dd79293b418,57b7a286cd34252c
THR_DG_000010,threonine,deltaG_sweep,Threonine(aq),Threonine__dG_p160(aq),1.0,0.02,0.042,0.0,2.1,160.0,0.0,101325.0,THR_DG_000010,M_bb3bfc4e9f01,0c859bc209b86c32
THR_DG_000011,threonine,deltaG_sweep,Threonine(aq),Threonine__dG_p200(aq),1.0,0.02,0.042,0.0,2.1,200.0,0.0,101325.0,THR_DG_000011,M_2923a1d93922,13b4974872c5d024
