scenario,model_mode,yaml_file,target_product,T_C,T_K,P_Pa,species,X_initial,X_eq,initial_moles,solver_status,error_message,case_id,model_id,target_variant,runtime_seconds,study_id,substudy_id,H2O_mol,HCN_mol,C2H2_mol,NH3_mol,C2H2_over_HCN,deltaG_offset_kJ_mol
THR_INV_000001,single_product_sensitivity,M_2f9766376563.yaml,Threonine(aq),0.0,273.15,101325.0,H2O(l),0.9416195856873822,0.9416195856873825,1.0,ok,,THR_INV_000001,M_2f9766376563,Threonine(aq),0.006068084010621533,threonine,inventory_landscape,1.0,0.02,0.042,0.0,2.1,0.0
THR_INV_000001,single_product_sensitivity,M_2f9766376563.yaml,Threonine(aq),0.0,273.15,101325.0,HCN(aq),0.018832391713747645,0.018832391713747648,0.02,ok,,THR_INV_000001,M_2f9766376563,Threonine(aq),0.006068084010621533,threonine,inventory_landscape,1.0,0.02,0.042,0.0,2.1,0.0
THR_INV_000001,single_product_sensitivity,M_2f9766376563.yaml,Threonine(aq),0.0,273.15,101325.0,C2H2(aq),0.03954802259887006,0.03954802259887007,0.042,ok,,THR_INV_000001,M_2f9766376563,Threonine(aq),0.006068084010621533,threonine,inventory_landscape,1.0,0.02,0.042,0.0,2.1,0.0
THR_INV_000001,single_product_sensitivity,M_2f9766376563.yaml,Threonine(aq),0.0,273.15,101325.0,Threonine(aq),0.0,0.0,0.0,ok,,THR_INV_000001,M_2f9766376563,Threonine(aq),0.006068084010621533,threonine,inventory_landscape,1.0,0.02,0.042,0.0,2.1,0.0
THR_DG_000001,single_product_sensitivity,M_94aecd2438b9.yaml,Threonine(aq),0.0,273.15,101325.0,H2O(l),0.9416195856873822,0.9416195856873825,1.0,ok,,THR_DG_000001,M_94aecd2438b9,Threonine__dG_m200(aq),0.004978541997843422,threonine,deltaG_sweep,1.0,0.02,0.042,0.0,2.1,-200.0
THR_DG_000001,single_product_sensitivity,M_94aecd2438b9.yaml,Threonine(aq),0.0,273.15,101325.0,HCN(aq),0.018832391713747645,0.018832391713747648,0.02,ok,,THR_DG_000001,M_94aecd2438b9,Threonine__dG_m200(aq),0.004978541997843422,threonine,deltaG_sweep,1.0,0.02,0.042,0.0,2.1,-200.0
THR_DG_000001,single_product_sensitivity,M_94aecd2438b9.yaml,Threonine(aq),0.0,273.15,101325.0,C2H2(aq),0.03954802259887006,0.03954802259887007,0.042,ok,,THR_DG_000001,M_94aecd2438b9,Threonine__dG_m200(aq),0.004978541997843422,threonine,deltaG_sweep,1.0,0.02,0.042,0.0,2.1,-200.0
THR_DG_000001,single_product_sensitivity,M_94aecd2438b9.yaml,Threonine(aq),0.0,273.15,101325.0,Threonine__dG_m200(aq),0.0,0.0,0.0,ok,,THR_DG_000001,M_94aecd2438b9,Threonine__dG_m200(aq),0.004978541997843422,threonine,deltaG_sweep,1.0,0.02,0.042,0.0,2.1,-200.0
THR_DG_000002,single_product_sensitivity,M_8fb51f4c70bb.yaml,Threonine(aq),0.0,273.15,101325.0,H2O(l),0.9416195856873822,0.9416195856873825,1.0,ok,,THR_DG_000002,M_8fb51f4c70bb,Threonine__dG_m160(aq),0.00571562499681022,threonine,deltaG_sweep,1.0,0.02,0.042,0.0,2.1,-160.0
THR_DG_000002,single_product_sensitivity,M_8fb51f4c70bb.yaml,Threonine(aq),0.0,273.15,101325.0,HCN(aq),0.018832391713747645,0.018832391713747648,0.02,ok,,THR_DG_000002,M_8fb51f4c70bb,Threonine__dG_m160(aq),0.00571562499681022,threonine,deltaG_sweep,1.0,0.02,0.042,0.0,2.1,-160.0
THR_DG_000002,single_product_sensitivity,M_8fb51f4c70bb.yaml,Threonine(aq),0.0,273.15,101325.0,C2H2(aq),0.03954802259887006,0.03954802259887007,0.042,ok,,THR_DG_000002,M_8fb51f4c70bb,Threonine__dG_m160(aq),0.00571562499681022,threonine,deltaG_sweep,1.0,0.02,0.042,0.0,2.1,-160.0
THR_DG_000002,single_product_sensitivity,M_8fb51f4c70bb.yaml,Threonine(aq),0.0,273.15,101325.0,Threonine__dG_m160(aq),0.0,0.0,0.0,ok,,THR_DG_000002,M_8fb51f4c70bb,Threonine__dG_m160(aq),0.00571562499681022,threonine,deltaG_sweep,1.0,0.02,0.042,0.0,2.1,-160.0
THR_DG_000003,single_product_sensitivity,M_25af2a4f8037.yaml,Threonine(aq),0.0,273.15,101325.0,H2O(l),0.9416195856873822,0.9416195856873825,1.0,ok,,THR_DG_000003,M_25af2a4f8037,Threonine__dG_m120(aq),0.004883333996986039,threonine,deltaG_sweep,1.0,0.02,0.042,0.0,2.1,-120.0
THR_DG_000003,single_product_sensitivity,M_25af2a4f8037.yaml,Threonine(aq),0.0,273.15,101325.0,HCN(aq),0.018832391713747645,0.018832391713747648,0.02,ok,,THR_DG_000003,M_25af2a4f8037,Threonine__dG_m120(aq),0.004883333996986039,threonine,deltaG_sweep,1.0,0.02,0.042,0.0,2.1,-120.0
THR_DG_000003,single_product_sensitivity,M_25af2a4f8037.yaml,Threonine(aq),0.0,273.15,101325.0,C2H2(aq),0.03954802259887006,0.03954802259887007,0.042,ok,,THR_DG_000003,M_25af2a4f8037,Threonine__dG_m120(aq),0.004883333996986039,threonine,deltaG_sweep,1.0,0.02,0.042,0.0,2.1,-120.0
THR_DG_000003,single_product_sensitivity,M_25af2a4f8037.yaml,Threonine(aq),0.0,273.15,101325.0,Threonine__dG_m120(aq),0.0,0.0,0.0,ok,,THR_DG_000003,M_25af2a4f8037,Threonine__dG_m120(aq),0.004883333996986039,threonine,deltaG_sweep,1.0,0.02,0.042,0.0,2.1,-120.0
THR_DG_000004,single_product_sensitivity,M_9c0882dbf10d.yaml,Threonine(aq),0.0,273.15,101325.0,H2O(l),0.9416195856873822,0.9416195856873825,1.0,ok,,THR_DG_000004,M_9c0882dbf10d,Threonine__dG_m080(aq),0.005371833001845516,threonine,deltaG_sweep,1.0,0.02,0.042,0.0,2.1,-80.0
THR_DG_000004,single_product_sensitivity,M_9c0882dbf10d.yaml,Threonine(aq),0.0,273.15,101325.0,HCN(aq),0.018832391713747645,0.018832391713747648,0.02,ok,,THR_DG_000004,M_9c0882dbf10d,Threonine__dG_m080(aq),0.005371833001845516,threonine,deltaG_sweep,1.0,0.02,0.042,0.0,2.1,-80.0
