study_id,substudy_id,target_product,target_variant,model_id,T_C,P_Pa,runtime_seconds,H2O_mol,HCN_mol,C2H2_mol,NH3_mol,C2H2_over_HCN,deltaG_offset_kJ_mol,case_id,X_eq,log10_X_eq,n_eq_mol,log10_n_eq_mol,formed_bool,formation_call,solver_status,error_message,element_balance_relative_spread,suspect_balance
tryptophan,deltaG_sweep,Tryptophan(aq),Tryptophan__dG_m200(aq),M_c23ad6ba9760,0.0,101325.0,0.0047511669981759,1.0,0.02,0.042,0.0,2.1,-200.0,TRY_DG_000001,0.0,,0.0,,False,below_threshold,ok,nan,2.718060135617141e-15,False
tryptophan,deltaG_sweep,Tryptophan(aq),Tryptophan__dG_m160(aq),M_95bf39609032,0.0,101325.0,0.004694292001659,1.0,0.02,0.042,0.0,2.1,-160.0,TRY_DG_000002,0.0,,0.0,,False,below_threshold,ok,nan,2.718060135617141e-15,False
tryptophan,deltaG_sweep,Tryptophan(aq),Tryptophan__dG_m120(aq),M_840bce44ea9e,0.0,101325.0,0.0045707079989369,1.0,0.02,0.042,0.0,2.1,-120.0,TRY_DG_000003,0.0,,0.0,,False,below_threshold,ok,nan,2.718060135617141e-15,False
tryptophan,deltaG_sweep,Tryptophan(aq),Tryptophan__dG_m080(aq),M_962ab3fffa4f,0.0,101325.0,0.0047964580007828,1.0,0.02,0.042,0.0,2.1,-80.0,TRY_DG_000004,0.0,,0.0,,False,below_threshold,ok,nan,2.718060135617141e-15,False
tryptophan,deltaG_sweep,Tryptophan(aq),Tryptophan__dG_m040(aq),M_3d153095db2f,0.0,101325.0,0.0046447079948848,1.0,0.02,0.042,0.0,2.1,-40.0,TRY_DG_000005,0.0,,0.0,,False,below_threshold,ok,nan,2.718060135617141e-15,False
tryptophan,deltaG_sweep,Tryptophan(aq),Tryptophan__dG_000(aq),M_b2358965eaa2,0.0,101325.0,0.0050437080062692,1.0,0.02,0.042,0.0,2.1,0.0,TRY_DG_000006,0.0,,0.0,,False,below_threshold,ok,nan,2.718060135617141e-15,False
tryptophan,deltaG_sweep,Tryptophan(aq),Tryptophan__dG_p040(aq),M_770bf431ab81,0.0,101325.0,0.0048175840056501,1.0,0.02,0.042,0.0,2.1,40.0,TRY_DG_000007,0.0,,0.0,,False,below_threshold,ok,nan,2.718060135617141e-15,False
tryptophan,deltaG_sweep,Tryptophan(aq),Tryptophan__dG_p080(aq),M_20ec47f0dead,0.0,101325.0,0.0045908340107416,1.0,0.02,0.042,0.0,2.1,80.0,TRY_DG_000008,0.0,,0.0,,False,below_threshold,ok,nan,2.718060135617141e-15,False
tryptophan,deltaG_sweep,Tryptophan(aq),Tryptophan__dG_p120(aq),M_d63c5450caac,0.0,101325.0,0.0048241659969789,1.0,0.02,0.042,0.0,2.1,120.0,TRY_DG_000009,0.0,,0.0,,False,below_threshold,ok,nan,2.718060135617141e-15,False
tryptophan,deltaG_sweep,Tryptophan(aq),Tryptophan__dG_p160(aq),M_81dedef9fa51,0.0,101325.0,0.0046838330017635,1.0,0.02,0.042,0.0,2.1,160.0,TRY_DG_000010,0.0,,0.0,,False,below_threshold,ok,nan,2.718060135617141e-15,False
tryptophan,deltaG_sweep,Tryptophan(aq),Tryptophan__dG_p200(aq),M_0e329b59d5d1,0.0,101325.0,0.004581708999467,1.0,0.02,0.042,0.0,2.1,200.0,TRY_DG_000011,0.0,,0.0,,False,below_threshold,ok,nan,2.718060135617141e-15,False
tryptophan,inventory_landscape,Tryptophan(aq),Tryptophan(aq),M_4c83a72d8783,0.0,101325.0,0.0054161250009201,1.0,0.02,0.042,0.0,2.1,0.0,TRY_INV_000001,0.0,,0.0,,False,below_threshold,ok,nan,2.718060135617141e-15,False
